measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,19879.0,203580.84,203580.84
2003-02-01,17844.0,182740.4,182740.4
2003-03-01,19471.0,199402.51,199402.51
2003-04-01,18969.0,194261.53,194261.53
2003-05-01,19069.0,195285.63,195285.63
2003-06-01,19069.0,195285.63,195285.63
2003-07-01,19495.0,199648.3,199648.3
2003-08-01,19215.0,196780.82,196780.82
2003-09-01,18441.0,188854.28,188854.28
2003-10-01,18636.0,190851.28,190851.28
2003-11-01,18401.0,188444.64,188444.64
2003-12-01,18971.0,194282.01,194282.01
2004-01-01,18556.0,185968.23,185968.23
2004-02-01,17488.0,175264.74,175264.74
2004-03-01,18539.0,185797.86,185797.86
2004-04-01,17940.0,179794.68,179794.68
2004-05-01,18583.0,186238.83,186238.83
2004-06-01,17096.0,171336.11,171336.11
2004-07-01,18501.0,185417.02,185417.02
2004-08-01,18456.0,184966.03,184966.03
2004-09-01,15943.0,159780.75,159780.75
2004-10-01,17679.0,177178.94,177178.94
2004-11-01,17899.0,179383.78,179383.78
2004-12-01,18058.0,180977.28,180977.28
2005-01-01,15530.0,155284.47,155284.47
2005-02-01,16780.0,167783.22,167783.22
2005-03-01,18464.0,184621.54,184621.54
2005-04-01,17338.0,173362.66,173362.66
2005-05-01,18137.0,181351.86,181351.86
2005-06-01,17384.0,173822.62,173822.62
2005-07-01,17564.0,175622.44,175622.44
2005-08-01,17626.0,176242.37,176242.37
2005-09-01,12714.0,127127.29,127127.29
2005-10-01,10385.0,103839.62,103839.62
2005-11-01,9160.0,91590.84,91590.84
2005-12-01,10995.0,109939.01,109939.01
2006-01-01,18972.0,188183.27,188183.27
2006-02-01,16668.0,165329.89,165329.89
2006-03-01,17804.0,176597.88,176597.88
2006-04-01,14654.0,145353.03,145353.03
2006-05-01,18004.0,178581.68,178581.68
2006-06-01,17184.0,170448.1,170448.1
2006-07-01,17526.0,173840.39,173840.39
2006-08-01,17724.0,175804.36,175804.36
2006-09-01,16905.0,167680.7,167680.7
2006-10-01,16621.0,164863.7,164863.7
2006-11-01,17494.0,173522.99,173522.99
2006-12-01,17624.0,174812.46,174812.46
2007-01-01,17106.0,169075.7,169075.7
2007-02-01,15768.0,155850.91,155850.91
2007-03-01,18005.0,177961.42,177961.42
2007-04-01,17017.0,168196.03,168196.03
2007-05-01,18079.0,178692.84,178692.84
2007-06-01,17411.0,172090.32,172090.32
2007-07-01,17669.0,174640.4,174640.4
2007-08-01,17659.0,174541.56,174541.56
2007-09-01,17409.0,172070.56,172070.56
2007-10-01,16909.0,167128.56,167128.56
2007-11-01,16303.0,161138.85,161138.85
2007-12-01,16889.0,166930.88,166930.88
2008-01-01,18317.538,180501.02,180501.02
2008-02-01,16568.943,163270.36000000002,163270.36000000002
2008-03-01,17423.167,171687.89,171687.89
2008-04-01,16801.861,165565.54,165565.54
2008-05-01,17407.268,171531.22,171531.22
2008-06-01,17673.988,174159.48,174159.48
2008-07-01,18012.119,177491.42,177491.42
2008-08-01,17795.88,175360.6,175360.6
2008-09-01,17284.307,170319.56,170319.56
2008-10-01,17876.31,176153.16,176153.16
2008-11-01,17073.88,168246.01,168246.01
2008-12-01,17376.739,171230.39,171230.39
2009-01-01,18937.733,184832.27,184832.27
2009-02-01,17154.745,167430.31,167430.31
2009-03-01,19073.881,186161.08,186161.08
2009-04-01,18176.159,177399.31,177399.31
2009-05-01,18543.545,180985.0,180985.0
2009-06-01,17951.639,175208.0,175208.0
2009-07-01,18922.617,184684.74,184684.74
2009-08-01,18749.782,182997.87,182997.87
2009-09-01,18240.586000000003,178028.12,178028.12
2009-10-01,18740.663,182908.87,182908.87
2009-11-01,18361.832000000002,179211.48,179211.48
2009-12-01,19632.818,191616.3,191616.3
2010-01-01,19620.006999999998,191413.0,191413.0
2010-02-01,17624.743000000002,171947.0,171947.0
2010-03-01,19211.851000000002,187431.0,187431.0
2010-04-01,18182.097,177385.0,177385.0
2010-05-01,19093.961000000003,186281.0,186281.0
2010-06-01,18497.606,180463.0,180463.0
2010-07-01,19024.612,185604.0,185604.0
2010-08-01,19148.927,186817.0,186817.0
2010-09-01,18574.577,181214.0,181214.0
2010-10-01,17793.260000000002,173591.0,173591.0
2010-11-01,18620.674,181663.0,181663.0
2010-12-01,19469.685,189946.0,189946.0
2011-01-01,19269.128,187219.0,187219.0
2011-02-01,17482.966,169864.0,169864.0
2011-03-01,19266.408,187192.0,187192.0
2011-04-01,17649.325,171481.0,171481.0
2011-05-01,18938.019,184002.0,184002.0
2011-06-01,17490.133,169934.0,169934.0
2011-07-01,18604.332,180760.0,180760.0
2011-08-01,18612.776,180842.0,180842.0
2011-09-01,17810.29,173045.0,173045.0
2011-10-01,18700.036,181690.0,181690.0
2011-11-01,18290.254,177708.0,177708.0
2011-12-01,19024.333,184840.0,184840.0
2012-01-01,18134.776,172571.0,172571.0
2012-02-01,17048.509,162234.0,162234.0
2012-03-01,18536.377,176392.0,176392.0
2012-04-01,18180.43,173005.0,173005.0
2012-05-01,18723.574,178174.0,178174.0
2012-06-01,18055.797,171819.0,171819.0
2012-07-01,18851.594,179392.0,179392.0
2012-08-01,18648.772,177462.0,177462.0
2012-09-01,18410.142,175191.0,175191.0
2012-10-01,18751.097,178435.0,178435.0
2012-11-01,18700.003,177949.0,177949.0
2012-12-01,19358.929,184220.0,184220.0
2013-01-01,18035.393,172076.0,172076.0
2013-02-01,16026.603,152910.0,152910.0
2013-03-01,18194.255,173591.0,173591.0
2013-04-01,16622.067,158591.0,158591.0
2013-05-01,17500.314,166970.0,166970.0
2013-06-01,16968.06,161892.0,161892.0
2013-07-01,18094.562,172640.0,172640.0
2013-08-01,17970.119,171453.0,171453.0
2013-09-01,17380.435,165827.0,165827.0
2013-10-01,17861.886,170420.0,170420.0
2013-11-01,15618.878,149020.0,149020.0
2013-12-01,17206.428,164167.0,164167.0
2014-01-01,17039.424,162045.0,162045.0
2014-02-01,15378.634,146251.0,146251.0
2014-03-01,17089.091,162517.0,162517.0
2014-04-01,17050.635,162152.0,162152.0
2014-05-01,17458.433,166030.0,166030.0
2014-06-01,17204.791,163618.0,163618.0
2014-07-01,17939.827,170608.0,170608.0
2014-08-01,17883.467,170072.0,170072.0
2014-09-01,17317.8,164692.0,164692.0
2014-10-01,17794.79,169228.0,169228.0
2014-11-01,17533.409,166743.0,166743.0
2014-12-01,17534.699,166755.0,166755.0
2015-01-01,12083.165,112603.0,112603.0
2015-02-01,11011.08,102612.0,102612.0
2015-03-01,12060.549,112392.0,112392.0
2015-04-01,10854.422,101152.0,101152.0
2015-05-01,12153.101,113255.0,113255.0
2015-06-01,11793.821,109907.0,109907.0
2015-07-01,12149.767,113224.0,113224.0
2015-08-01,12084.931,112619.0,112619.0
2015-09-01,10122.105,94328.0,94328.0
2015-10-01,11311.017,105407.0,105407.0
2015-11-01,10863.235,101234.0,101234.0
2015-12-01,11179.807,104185.0,104185.0
