measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,74.408,747.0,747.0,,,,0.83,9.0,9.0
2003-02-01,65.59400000000001,658.0,658.0,,,,0.732,8.0,8.0
2003-03-01,65.143,654.0,654.0,,,,0.727,8.0,8.0
2003-04-01,65.69800000000001,659.0,659.0,,,,0.733,8.0,8.0
2003-05-01,78.174,784.0,784.0,,,,0.872,10.0,10.0
2003-06-01,81.613,819.0,819.0,,,,0.911,10.0,10.0
2003-07-01,89.036,893.0,893.0,,,,0.994,11.0,11.0
2003-08-01,94.113,944.0,944.0,,,,1.05,12.0,12.0
2003-09-01,77.266,775.0,775.0,,,,0.862,10.0,10.0
2003-10-01,70.042,703.0,703.0,,,,0.782,9.0,9.0
2003-11-01,66.32,665.0,665.0,,,,0.74,8.0,8.0
2003-12-01,68.592,688.0,688.0,,,,0.766,9.0,9.0
2004-01-01,-3.954,85.0,85.0,,,,171.001,6476.0,6476.0
2004-02-01,-2.337,50.0,50.0,,,,176.573,6687.0,6687.0
2004-03-01,-2.905,63.0,63.0,,,,172.102,6517.0,6517.0
2004-04-01,-3.879,83.0,83.0,,,,188.18900000000002,7127.0,7127.0
2004-05-01,-2.23,48.0,48.0,,,,242.185,9171.0,9171.0
2004-06-01,-4.407,95.0,95.0,,,,303.601,11497.0,11497.0
2004-07-01,-1.979,43.0,43.0,,,,399.221,15118.0,15118.0
2004-08-01,-1.202,26.0,26.0,,,,380.15,14396.0,14396.0
2004-09-01,-2.0060000000000002,43.0,43.0,,,,268.332,10162.0,10162.0
2004-10-01,-1.947,42.0,42.0,,,,246.53,9336.0,9336.0
2004-11-01,-3.697,80.0,80.0,,,,131.823,4992.0,4992.0
2004-12-01,-7.456,160.0,160.0,,,,148.293,5616.0,5616.0
2005-01-01,22.076,317.83,317.83,,,,2781.13,41257.05,41257.05
2005-02-01,11.204,161.31,161.31,,,,2308.7360000000003,34249.26,34249.26
2005-03-01,13.56,195.23,195.23,,,,2859.181,42414.91,42414.91
2005-04-01,14.13,203.44,203.44,,,,2817.177,41791.79,41791.79
2005-05-01,16.65,239.71,239.71,,,,3320.9970000000003,49265.77,49265.77
