measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1311.0,17639.0,17639.0,66641.0,893333.0,893333.0
2003-02-01,1679.0,24374.0,24374.0,45154.0,659634.0,659634.0
2003-03-01,2449.0,29864.0,29864.0,70013.0,874208.0,874208.0
2003-04-01,1546.0,25861.0,25861.0,67545.0,773160.0,773160.0
2003-05-01,2107.0,36381.0,36381.0,56105.0,662864.0,662864.0
2003-06-01,5.0,23.0,23.0,52502.0,608039.0,608039.0
2003-07-01,2158.0,26342.0,26342.0,62130.0,720018.0,720018.0
2003-08-01,1939.0,25392.0,25392.0,56347.0,700638.0,700638.0
2003-09-01,2945.0,39629.0,39629.0,39940.0,510187.0,510187.0
2003-10-01,1882.0,31493.0,31493.0,18806.0,215271.0,215271.0
2003-11-01,2339.0,34061.0,34061.0,52320.0,723350.0,723350.0
2003-12-01,2024.0,31134.0,31134.0,53114.0,775744.0,775744.0
2004-01-01,5277.576,72985.0,72985.0,63474.718,869622.0,869622.0
2004-02-01,2692.897,37241.0,37241.0,63570.13,870930.0,870930.0
2004-03-01,2800.569,38730.0,38730.0,53735.298,736189.0,736189.0
2004-04-01,3025.1710000000003,41836.0,41836.0,50322.391,689432.0,689432.0
2004-05-01,2004.508,27721.0,27721.0,46598.966,638420.0,638420.0
2004-06-01,2679.947,37062.0,37062.0,57690.471,790376.0,790376.0
2004-07-01,3112.15,43039.0,43039.0,63286.524,867044.0,867044.0
2004-08-01,2291.969,31696.0,31696.0,63097.165,864450.0,864450.0
2004-09-01,2085.775,28845.0,28845.0,61501.965,842595.0,842595.0
2004-10-01,2575.167,35613.0,35613.0,60813.023,833156.0,833156.0
2004-11-01,1164.938,16110.0,16110.0,56448.62,773363.0,773363.0
2004-12-01,3116.3340000000003,43097.0,43097.0,60650.728,830933.0,830933.0
2005-01-01,1402.392,19362.28,19362.28,56066.718,753199.1,753199.1
2005-02-01,1121.923,15489.95,15489.95,48815.389,655784.9,655784.9
2005-03-01,1556.876,21495.18,21495.18,50645.831,680375.02,680375.02
2005-04-01,1477.874,20404.43,20404.43,45135.398,606347.99,606347.99
2005-05-01,1413.199,19511.49,19511.49,49549.593,665648.18,665648.18
2005-06-01,2667.715,36832.11,36832.11,55187.971,741394.03,741394.03
2005-07-01,3511.9210000000003,48487.73,48487.73,58339.525,783731.93,783731.93
2005-08-01,3488.7430000000004,48167.72,48167.72,58988.607,792451.7,792451.7
2005-09-01,2112.21,29162.46,29162.46,54058.141,726215.92,726215.92
2005-10-01,1497.682,20677.92,20677.92,51047.79,685774.94,685774.94
2005-11-01,1312.5990000000002,18122.55,18122.55,49769.23,668598.78,668598.78
2005-12-01,1640.865,22654.78,22654.78,55581.807,746684.81,746684.81
2006-01-01,928.92,13573.0,13573.0,50514.43,728073.0,728073.0
2006-02-01,1050.059,15343.0,15343.0,48109.45,693410.0,693410.0
2006-03-01,1383.726,20218.0,20218.0,49158.957,708536.0,708536.0
2006-04-01,1145.082,16731.0,16731.0,41823.326,602807.0,602807.0
2006-05-01,1508.365,22039.0,22039.0,44695.746,644207.0,644207.0
2006-06-01,1942.9460000000001,28389.0,28389.0,48421.133,697902.0,697902.0
2006-07-01,3476.8360000000002,50801.0,50801.0,55078.951,793862.0,793862.0
2006-08-01,3089.4750000000004,45141.0,45141.0,55476.376000000004,799591.0,799591.0
2006-09-01,1817.2920000000001,26553.0,26553.0,46094.173,664363.0,664363.0
2006-10-01,1968.488,28762.0,28762.0,47677.162,687179.0,687179.0
2006-11-01,1323.3980000000001,19336.0,19336.0,47141.111000000004,679453.0,679453.0
2006-12-01,1343.415,19629.0,19629.0,51034.185,735564.0,735564.0
2007-01-01,1493.076,21979.0,21979.0,62267.924,916606.0,916606.0
2007-02-01,824.38,11909.0,11909.0,65742.62,949752.0,949752.0
2007-03-01,1665.7160000000001,22410.0,22410.0,66535.284,895154.0,895154.0
2007-04-01,1320.683,17887.0,17887.0,57110.317,773476.0,773476.0
2007-05-01,784.6360000000001,9353.0,9353.0,65067.364,775647.0,775647.0
2007-06-01,1963.155,28542.0,28542.0,44043.845,640348.0,640348.0
2007-07-01,2306.8520000000003,29012.0,29012.0,56127.148,705868.0,705868.0
2007-08-01,2010.489,24503.0,24503.0,59470.511,724801.0,724801.0
2007-09-01,1638.1290000000001,20828.0,20828.0,52781.871,671108.0,671108.0
2007-10-01,1857.7060000000001,22609.0,22609.0,63523.294,773104.0,773104.0
2007-11-01,2600.945,35219.0,35219.0,55659.055,753674.0,753674.0
2007-12-01,2614.2980000000002,38818.0,38818.0,61357.702,911069.0,911069.0
2008-01-01,3174.976,46512.0,46512.0,63664.024,932660.0,932660.0
2008-02-01,1887.152,28262.0,28262.0,62388.848,934350.0,934350.0
2008-03-01,1247.665,18154.0,18154.0,63391.335,922368.0,922368.0
2008-04-01,371.269,4885.0,4885.0,57862.731,761279.0,761279.0
2008-05-01,3120.304,44371.0,44371.0,36101.695999999996,513367.0,513367.0
2008-06-01,2762.9190000000003,36649.0,36649.0,50912.081,675331.0,675331.0
2008-07-01,1017.1110000000001,12756.0,12756.0,60876.889,763455.0,763455.0
2008-08-01,1778.545,21522.0,21522.0,58607.455,709195.0,709195.0
2008-09-01,2211.2560000000003,28064.0,28064.0,53903.744,684114.0,684114.0
2008-10-01,1680.8480000000002,22643.0,22643.0,58863.152,792959.0,792959.0
2008-11-01,2534.672,35872.0,35872.0,48904.328,692127.0,692127.0
2008-12-01,1729.758,27584.0,27584.0,58994.242,940777.0,940777.0
2009-01-01,1728.452,26274.0,26274.0,61880.548,940646.0,940646.0
2009-02-01,1647.486,27943.0,27943.0,33767.514,572735.0,572735.0
2009-03-01,1411.055,22390.0,22390.0,45446.945,721116.0,721116.0
2009-04-01,1687.746,22963.0,22963.0,55915.254,760768.0,760768.0
2009-05-01,2163.4210000000003,28633.0,28633.0,58274.579,771279.0,771279.0
2009-06-01,2015.07,25147.0,25147.0,52081.93,649957.0,649957.0
2009-07-01,2235.675,30471.0,30471.0,52661.325,717745.0,717745.0
2009-08-01,1381.0890000000002,18316.0,18316.0,56354.911,747374.0,747374.0
2009-09-01,1516.151,19088.0,19088.0,66422.849,836264.0,836264.0
2009-10-01,2452.978,33671.0,33671.0,60802.022,834610.0,834610.0
2009-11-01,1286.473,34716.0,34716.0,11169.527,301410.0,301410.0
2009-12-01,7274.006,140061.0,140061.0,22130.994,426132.0,426132.0
2010-01-01,6302.467000000001,89967.0,89967.0,76105.533,1086395.0,1086395.0
2010-02-01,2099.773,28505.0,28505.0,73742.227,1001064.0,1001064.0
2010-03-01,3456.3160000000003,45053.0,45053.0,68177.684,888699.0,888699.0
2010-04-01,5039.573,59601.0,59601.0,67365.427,796700.0,796700.0
2010-05-01,3539.221,43702.0,43702.0,62521.779,772010.0,772010.0
2010-06-01,1685.559,21656.0,21656.0,76035.441,976884.0,976884.0
2010-07-01,2395.5170000000003,30624.0,30624.0,75087.48300000001,959909.0,959909.0
2010-08-01,1992.785,25170.0,25170.0,73101.215,923301.0,923301.0
2010-09-01,1136.7350000000001,13468.0,13468.0,70329.265,833267.0,833267.0
2010-10-01,1302.7910000000002,15907.0,15907.0,65948.209,805218.0,805218.0
