measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,3988.0,47953.0,47953.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,10699.0,119072.0,119072.0
2003-06-01,0.0,0.0,0.0,20731.0,225386.0,225386.0
2003-07-01,0.0,0.0,0.0,85576.0,907602.0,907602.0
2003-08-01,0.0,0.0,0.0,48439.0,522721.0,522721.0
2003-09-01,0.0,0.0,0.0,13465.0,150845.0,150845.0
2003-10-01,0.0,0.0,0.0,10800.0,102669.0,102669.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,2459.0,31095.0,31095.0
2004-03-01,0.0,0.0,0.0,358.0,7148.0,7148.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,1185.0,16108.0,16108.0
2004-06-01,0.0,0.0,0.0,3047.0,35061.0,35061.0
2004-07-01,0.0,0.0,0.0,13430.0,132001.0,132001.0
2004-08-01,0.0,0.0,0.0,9800.0,97784.0,97784.0
2004-09-01,0.0,0.0,0.0,14339.0,158426.0,158426.0
2004-10-01,0.0,0.0,0.0,12725.0,141851.0,141851.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,1712.0,20916.0,20916.0
2005-01-01,0.0,0.0,0.0,6909.0,80583.78,80583.78
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,9490.0,114071.09,114071.09
2005-06-01,0.0,0.0,0.0,6986.0,76947.89,76947.89
2005-07-01,0.0,0.0,0.0,50927.0,552997.4,552997.4
2005-08-01,0.0,0.0,0.0,48796.0,513328.71,513328.71
2005-09-01,0.0,0.0,0.0,13931.0,152296.14,152296.14
2005-10-01,0.0,0.0,0.0,5023.0,58227.63,58227.63
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,10081.0,109699.13,109699.13
2006-01-01,0.0,0.0,0.0,326.0,4007.0,4007.0
2006-02-01,0.0,0.0,0.0,7214.0,80097.0,80097.0
2006-03-01,0.0,0.0,0.0,2236.0,26583.0,26583.0
2006-04-01,0.0,0.0,0.0,40724.0,428756.0,428756.0
2006-05-01,0.0,0.0,0.0,3061.0,37752.0,37752.0
2006-06-01,0.0,0.0,0.0,46448.0,504296.0,504296.0
2006-07-01,0.0,0.0,0.0,72238.0,770830.0,770830.0
2006-08-01,0.0,0.0,0.0,92435.0,983253.0,983253.0
2006-09-01,0.0,0.0,0.0,4430.0,51571.0,51571.0
2006-10-01,0.0,0.0,0.0,20135.0,218284.0,218284.0
2006-11-01,0.0,0.0,0.0,4982.0,51417.0,51417.0
2006-12-01,0.0,0.0,0.0,5942.0,66021.0,66021.0
2007-01-01,0.0,0.0,0.0,10632.0,118317.0,118317.0
2007-02-01,0.0,0.0,0.0,9252.0,105666.0,105666.0
2007-03-01,0.0,0.0,0.0,6592.0,83038.0,83038.0
2007-04-01,0.0,0.0,0.0,16197.0,201429.0,201429.0
2007-05-01,0.0,0.0,0.0,5458.0,71418.0,71418.0
2007-06-01,0.0,0.0,0.0,16717.0,214403.0,214403.0
2007-07-01,0.0,0.0,0.0,21596.0,272106.0,272106.0
2007-08-01,0.0,0.0,0.0,60821.0,687953.0,687953.0
2007-09-01,0.0,0.0,0.0,21426.0,247080.0,247080.0
2007-10-01,0.0,0.0,0.0,16972.0,185782.0,185782.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,30512.0,349462.0,349462.0
2008-01-01,0.0,0.0,0.0,17434.0,206589.0,206589.0
2008-02-01,0.0,0.0,0.0,20414.0,241201.0,241201.0
2008-03-01,0.0,0.0,0.0,31007.0,343911.0,343911.0
2008-04-01,0.0,0.0,0.0,26437.0,271448.0,271448.0
2008-05-01,0.0,0.0,0.0,7936.0,95172.0,95172.0
2008-06-01,0.0,0.0,0.0,24751.0,290115.0,290115.0
2008-07-01,0.0,0.0,0.0,78360.0,849977.0,849977.0
2008-08-01,0.0,0.0,0.0,37282.0,428539.0,428539.0
2008-09-01,0.0,0.0,0.0,10060.0,124287.0,124287.0
2008-10-01,0.0,0.0,0.0,39454.0,445612.0,445612.0
2008-11-01,0.0,0.0,0.0,25738.0,302304.0,302304.0
2008-12-01,0.0,0.0,0.0,43953.0,505249.0,505249.0
2009-01-01,,,,44773.0,504950.0,504950.0
2009-02-01,,,,34241.0,404050.0,404050.0
2009-03-01,,,,25847.0,300158.0,300158.0
2009-04-01,,,,25314.0,294832.0,294832.0
2009-05-01,,,,43863.0,505821.0,505821.0
2009-06-01,,,,62652.0,703179.0,703179.0
2009-07-01,,,,69244.0,800842.0,800842.0
2009-08-01,,,,64020.0,744690.0,744690.0
2009-09-01,,,,25144.0,306398.0,306398.0
2009-10-01,,,,32000.0,372683.0,372683.0
2009-11-01,,,,21994.0,260638.0,260638.0
2009-12-01,,,,28690.0,347064.0,347064.0
2010-01-01,,,,33738.0,402183.0,402183.0
2010-02-01,,,,24832.0,286225.0,286225.0
2010-03-01,,,,28730.0,329300.0,329300.0
2010-04-01,,,,50147.0,592822.0,592822.0
2010-05-01,,,,46543.0,550538.0,550538.0
2010-06-01,,,,58557.0,669687.0,669687.0
2010-07-01,,,,71927.0,826449.0,826449.0
2010-08-01,,,,78588.0,890086.0,890086.0
2010-09-01,,,,33596.0,390250.0,390250.0
2010-10-01,,,,28287.0,324774.0,324774.0
2010-11-01,,,,0.0,0.0,0.0
2010-12-01,,,,14688.0,173848.0,173848.0
2011-01-01,,,,34978.0,417767.0,417767.0
2011-02-01,,,,41772.0,468178.0,468178.0
2011-03-01,,,,27953.0,314605.0,314605.0
2011-04-01,,,,29642.0,333464.0,333464.0
2011-05-01,,,,7554.0,89437.0,89437.0
2011-06-01,,,,36537.0,418833.0,418833.0
2011-07-01,,,,89212.0,982894.0,982894.0
2011-08-01,,,,95756.0,1036301.0,1036301.0
2011-09-01,,,,41505.0,477387.0,477387.0
2011-10-01,,,,24796.0,295053.0,295053.0
2011-11-01,,,,0.0,0.0,0.0
