measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,85.065,878.98,878.98
2001-02-01,74.49600000000001,769.77,769.77
2001-03-01,74.046,765.12,765.12
2001-04-01,68.46600000000001,707.46,707.46
2001-05-01,31.518,325.68,325.68
2001-06-01,76.263,788.03,788.03
2001-07-01,76.807,793.65,793.65
2001-08-01,77.86200000000001,804.55,804.55
2001-09-01,75.179,776.82,776.82
2001-10-01,77.653,802.39,802.39
2001-11-01,77.232,798.04,798.04
2001-12-01,72.415,748.26,748.26
