measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,415.0,11214.0,11214.0,0.0,0.0,0.0,,,,,,,-70.0,0.0,0.0,-1024.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,276.45,6125.0,6125.0,,,,,,,-81.48,0.0,0.0,-864.27,0.0,0.0,,,
2003-03-01,866.0,15584.0,15584.0,0.0,0.0,0.0,,,,,,,-88.0,0.0,0.0,-761.0,0.0,0.0,,,
2003-04-01,494.0,8932.0,8932.0,0.0,0.0,0.0,,,,,,,510.0,8648.0,8648.0,-445.0,736.0,736.0,,,
2003-05-01,,,,0.0,0.0,0.0,,,,,,,891.0,17103.0,17103.0,-73.0,103.0,103.0,,,
2003-06-01,-33.0,0.0,0.0,0.0,0.0,0.0,,,,,,,536.0,12215.0,12215.0,-185.0,633.0,633.0,,,
2003-07-01,185.0,4388.0,4388.0,0.0,0.0,0.0,,,,,,,1422.0,23595.0,23595.0,40.0,1742.0,1742.0,,,
2003-08-01,145.0,3762.0,3762.0,0.0,0.0,0.0,,,,,,,5543.0,84328.0,84328.0,1987.0,8568.0,8568.0,,,
2003-09-01,-25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-90.0,0.0,0.0,-448.0,0.0,0.0,,,
2003-10-01,241.0,5417.0,5417.0,0.0,0.0,0.0,,,,,,,-85.0,0.0,0.0,-530.0,0.0,0.0,,,
2003-11-01,,,,0.0,0.0,0.0,,,,,,,-90.0,0.0,0.0,-602.0,0.0,0.0,,,
2003-12-01,-85.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-877.0,1.0,1.0,,,
2004-01-01,1640.0,25787.0,25787.0,0.0,0.0,0.0,,,,,,,701.0,13966.0,13966.0,-826.0,103.0,103.0,,,
2004-02-01,0.0,0.0,0.0,232.0,5306.0,5306.0,,,,,,,-87.0,0.0,0.0,-835.0,0.0,0.0,,,
2004-03-01,-9.0,1170.0,1170.0,0.0,0.0,0.0,,,,,,,-93.0,0.0,0.0,-659.0,0.0,0.0,,,
2004-04-01,-1.0,0.0,0.0,-1.0,1305.0,1305.0,,,,,,,0.0,0.0,0.0,-497.0,0.0,0.0,,,
2004-05-01,674.0,12987.0,12987.0,0.0,0.0,0.0,,,,,,,5332.0,81698.0,81698.0,1503.0,4766.0,4766.0,,,
2004-06-01,-61.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1475.0,24702.0,24702.0,-13.0,641.0,641.0,,,
2004-07-01,96.0,1960.0,1960.0,0.0,0.0,0.0,,,,,,,571.0,11655.0,11655.0,-257.0,537.0,537.0,,,
2004-08-01,-63.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-93.0,0.0,0.0,-456.0,0.0,0.0,,,
2004-09-01,37.0,1749.0,1749.0,0.0,0.0,0.0,,,,,,,-90.0,0.0,0.0,-458.0,0.0,0.0,,,
2004-10-01,-133.0,146.0,146.0,-533.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,-29.0,708.0,708.0,0.0,0.0,0.0,,,,,,,-90.0,0.0,0.0,-377.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-93.0,0.0,0.0,-778.0,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,-844.0,0.0,0.0,300.0,5972.85,5972.85,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,-746.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-780.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,-471.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-470.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,0.0,0.0,0.0,0.0,935.0,16801.36,16801.36,-108.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,900.9,900.9,0.0,0.0,0.0,3304.0,55991.83,55991.83,796.0,2066.18,2066.18,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,153.0,3632.85,3632.85,0.0,0.0,0.0,3396.0,53926.68,53926.68,1031.0,4191.07,4191.07,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,-501.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,0.0,3313.0,49581.33,49581.33,605.0,103.4,103.4,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,361.0,9126.1,9126.1,-459.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,-657.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,,,,-93.0,0.0,0.0,-482.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,959.0,959.0,,,,-84.0,0.0,0.0,-510.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0,0.0,,,,-93.0,0.0,0.0,-453.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0,0.0,,,,-90.0,0.0,0.0,-222.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,249.0,5324.0,5324.0,,,,-92.0,0.0,0.0,-477.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,195.0,4165.0,4165.0,,,,-90.0,0.0,0.0,-534.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1814.0,1814.0,,,,3505.0,57414.0,57414.0,1020.0,1229.0,1229.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,528.0,10132.0,10132.0,,,,4900.0,77827.0,77827.0,1986.0,4706.0,4706.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0,,,,-90.0,0.0,0.0,-509.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,,,,-93.0,0.0,0.0,-554.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,0.0,0.0,,,,50.0,2427.0,2427.0,-489.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,,,,0.0,0.0,0.0,-625.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-47.5,0.0,0.0,,,,2318.0,37726.0,37726.0,112.0,1194.0,1194.0,-47.5,0.0,0.0
2007-02-01,-42.0,0.0,0.0,-406.5,0.0,0.0,151.0,3552.0,3552.0,,,,-42.0,0.0,0.0,-406.5,0.0,0.0,0.0,0.0,0.0
2007-03-01,-46.5,0.0,0.0,-302.5,0.0,0.0,-41.5,0.0,0.0,,,,-46.5,0.0,0.0,-302.5,0.0,0.0,-41.5,0.0,0.0
2007-04-01,-45.0,0.0,0.0,-254.5,0.0,0.0,1453.0,23441.0,23441.0,,,,-45.0,0.0,0.0,-254.5,0.0,0.0,0.0,0.0,0.0
2007-05-01,-46.5,0.0,0.0,-168.0,0.0,0.0,-31.5,0.0,0.0,,,,-46.5,0.0,0.0,-168.0,0.0,0.0,-31.5,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,102.0,2696.0,2696.0,,,,2041.0,43489.0,43489.0,408.0,55.0,55.0,0.0,0.0,0.0
2007-07-01,-46.5,0.0,0.0,-158.0,0.0,0.0,-62.0,130.0,130.0,,,,-46.5,0.0,0.0,-158.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,629.0,11434.0,11434.0,,,,3275.0,54739.0,54739.0,925.0,61.0,61.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,,,,343.0,9823.0,9823.0,-156.0,0.0,0.0,-30.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,-169.5,0.0,0.0,-32.5,0.0,0.0,,,,0.0,0.0,0.0,-169.5,0.0,0.0,-32.5,0.0,0.0
2007-11-01,-45.0,0.0,0.0,-243.5,0.0,0.0,-38.5,0.0,0.0,,,,-45.0,0.0,0.0,-243.5,0.0,0.0,-38.5,0.0,0.0
2007-12-01,-46.5,0.0,0.0,-347.5,0.0,0.0,-44.0,0.0,0.0,,,,-46.5,0.0,0.0,-347.5,0.0,0.0,-44.0,0.0,0.0
2008-01-01,,,,,,,-91.0,0.0,0.0,,,,-93.0,0.0,0.0,-754.0,0.0,0.0,,,
2008-02-01,,,,,,,-87.0,0.0,0.0,,,,-87.0,0.0,0.0,-652.0,0.0,0.0,,,
2008-03-01,,,,,,,-93.0,0.0,0.0,,,,-88.0,0.0,0.0,-577.0,0.0,0.0,,,
2008-04-01,,,,,,,-73.0,35.0,35.0,,,,-364.0,0.0,0.0,-90.0,0.0,0.0,,,
2008-05-01,,,,,,,-62.0,0.0,0.0,,,,-68.0,0.0,0.0,-238.0,0.0,0.0,,,
2008-06-01,,,,,,,53.0,1623.0,1623.0,,,,1015.0,23236.0,23236.0,149.0,0.0,0.0,,,
2008-07-01,,,,,,,-61.0,153.0,153.0,,,,1028.0,13208.0,13208.0,302.0,547.0,547.0,0.0,0.0,0.0
2008-08-01,-151.5,0.0,0.0,0.0,0.0,0.0,-4.0,1050.0,1050.0,,,,-151.5,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,-45.0,0.0,0.0,-97.0,0.0,0.0,742.0,13228.0,13228.0,,,,-45.0,0.0,0.0,-97.0,0.0,0.0,,,
