measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2008-01-01,730.123,5777.0,5777.0,2211.4880000000003,17491.0,17491.0,3.362,32.0,32.0
2008-02-01,286.089,2262.0,2262.0,1937.8500000000001,15327.0,15327.0,2.9450000000000003,24.0,24.0
2008-03-01,41.31,325.0,325.0,1781.972,14094.0,14094.0,2.708,20.0,20.0
2008-04-01,86.28500000000001,684.0,684.0,2129.437,16842.0,16842.0,3.236,24.0,24.0
2008-05-01,72.114,568.0,568.0,2427.554,19200.0,19200.0,3.689,28.0,28.0
2008-06-01,774.54,6125.0,6125.0,2540.5750000000003,20094.0,20094.0,3.861,32.0,32.0
2008-07-01,377.982,2987.0,2987.0,2475.656,19580.0,19580.0,3.7630000000000003,28.0,28.0
2008-08-01,149.977,1189.0,1189.0,2441.8,19312.0,19312.0,3.7110000000000003,28.0,28.0
2008-09-01,191.929,1520.0,1520.0,2103.475,16637.0,16637.0,3.197,24.0,24.0
2008-10-01,55.107,435.0,435.0,2200.6710000000003,17406.0,17406.0,3.345,28.0,28.0
2008-11-01,822.489,6508.0,6508.0,2270.034,17954.0,17954.0,3.45,28.0,28.0
2008-12-01,662.433,5237.0,5237.0,2433.1440000000002,19244.0,19244.0,3.6980000000000004,28.0,28.0
2009-01-01,622.571,5837.0,5837.0,1337.261,12551.0,12551.0,0.0,0.0,0.0
2009-02-01,228.52,2143.0,2143.0,1161.3990000000001,10900.0,10900.0,0.0,0.0,0.0
2009-03-01,180.579,1693.0,1693.0,1152.238,10815.0,10815.0,0.0,0.0,0.0
2009-04-01,16.734,160.0,160.0,1346.6370000000002,12639.0,12639.0,0.0,0.0,0.0
2009-05-01,47.269000000000005,445.0,445.0,1372.534,12882.0,12882.0,0.0,0.0,0.0
2009-06-01,32.58,308.0,308.0,1369.159,12850.0,12850.0,0.0,0.0,0.0
2009-07-01,58.82,553.0,553.0,1250.14,11733.0,11733.0,0.0,0.0,0.0
2009-08-01,116.48700000000001,1094.0,1094.0,1285.67,12067.0,12067.0,0.0,0.0,0.0
2009-09-01,14.935,143.0,143.0,1118.925,10502.0,10502.0,0.0,0.0,0.0
2009-10-01,19.152,182.0,182.0,1139.63,10696.0,10696.0,0.0,0.0,0.0
2009-11-01,24.589000000000002,228.0,228.0,1140.44,10703.0,10703.0,0.0,0.0,0.0
2009-12-01,30.339000000000002,285.0,285.0,1134.392,10647.0,10647.0,0.0,0.0,0.0
2010-01-01,151.22400000000002,1711.0,1711.0,1776.31,20109.0,20109.0,0.0,0.0,0.0
2010-02-01,80.64,911.0,911.0,1305.912,14784.0,14784.0,0.0,0.0,0.0
2010-03-01,18.914,215.0,215.0,1519.7350000000001,17204.0,17204.0,0.0,0.0,0.0
2010-04-01,18.73,215.0,215.0,1962.439,22216.0,22216.0,0.0,0.0,0.0
2010-05-01,44.109,499.0,499.0,2126.179,24070.0,24070.0,0.0,0.0,0.0
