measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,,,,183.26,2770.0,2770.0
2001-02-01,0.0,0.0,0.0,,,,59.78,901.0,901.0
2001-03-01,0.0,0.0,0.0,,,,10.78,245.0,245.0
2001-04-01,0.0,0.0,0.0,,,,72.52,1252.0,1252.0
2001-05-01,0.0,0.0,0.0,,,,83.3,1570.0,1570.0
2001-06-01,0.0,0.0,0.0,,,,3.92,118.0,118.0
2001-07-01,0.0,0.0,0.0,,,,173.46,1716.0,1716.0
2001-08-01,0.0,0.0,0.0,,,,158.76,2494.0,2494.0
2001-09-01,0.0,0.0,0.0,,,,48.02,988.0,988.0
2001-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,,,,45.0,944.0,944.0
2002-01-01,0.0,0.0,0.0,,,,10.0,152.0,152.0
2002-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,,,,86.0,1795.0,1795.0
2002-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,,,,338.0,5014.0,5014.0
2002-11-01,0.0,0.0,0.0,,,,7.0,170.0,170.0
2002-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,43.0,605.0,605.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17.0,423.0,423.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,37.0
2003-08-01,55.0,502.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,96.528,1529.0,1529.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,60.011,950.0,950.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,57.279,907.0,907.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,49.43,783.0,783.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,198.471,3143.0,3143.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,239.40400000000002,3792.0,3792.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,321.538,5093.0,5093.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,227.48100000000002,3603.0,3603.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,154.562,2448.0,2448.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,56.443000000000005,894.0,894.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,53.164,842.0,842.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,95.69,1516.0,1516.0
