measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,142349.0,1631243.0,1631243.0,248.0,2820.0,2820.0,0.0,0.0,0.0
2003-02-01,153688.0,1762980.0,1762980.0,132.0,1505.0,1505.0,0.0,0.0,0.0
2003-03-01,134533.0,1518433.0,1518433.0,169.0,1864.0,1864.0,0.0,0.0,0.0
2003-04-01,138657.0,1561882.0,1561882.0,497.0,5512.0,5512.0,0.0,0.0,0.0
2003-05-01,166826.0,1837607.0,1837607.0,198.0,2197.0,2197.0,0.0,0.0,0.0
2003-06-01,123359.0,1394179.0,1394179.0,219.0,2422.0,2422.0,0.0,0.0,0.0
2003-07-01,130111.0,1241572.0,1241572.0,174.0,1652.0,1652.0,0.0,0.0,0.0
2003-08-01,166849.0,1861566.0,1861566.0,172.0,1900.0,1900.0,0.0,0.0,0.0
2003-09-01,127214.0,1467957.0,1467957.0,376.0,4313.0,4313.0,20.0,230.0,230.0
2003-10-01,124404.0,1443165.0,1443165.0,611.0,7121.0,7121.0,84.0,976.0,976.0
2003-11-01,123162.0,1405738.0,1405738.0,477.0,5522.0,5522.0,53.0,600.0,600.0
2003-12-01,134674.0,1542858.0,1542858.0,124.0,1446.0,1446.0,0.0,0.0,0.0
2004-01-01,121834.0,1452615.0,1452615.0,396.0,4809.0,4809.0,0.0,0.0,0.0
2004-02-01,143339.0,1651124.0,1651124.0,278.0,3251.0,3251.0,0.0,0.0,0.0
2004-03-01,122846.0,1425131.0,1425131.0,607.0,7100.0,7100.0,11.0,132.0,132.0
2004-04-01,143425.0,1636189.0,1636189.0,292.0,3405.0,3405.0,120.0,1394.0,1394.0
2004-05-01,123606.0,1455015.0,1455015.0,308.0,3743.0,3743.0,67.0,804.0,804.0
2004-06-01,50573.0,585281.0,585281.0,500.0,5833.0,5833.0,105.0,1190.0,1190.0
2004-07-01,60364.0,671613.0,671613.0,331.0,3737.0,3737.0,65.0,733.0,733.0
2004-08-01,16853.0,196270.0,196270.0,64.0,758.0,758.0,0.0,0.0,0.0
2004-09-01,22063.0,257247.0,257247.0,224.0,2635.0,2635.0,84.0,977.0,977.0
2004-10-01,101809.0,1153606.0,1153606.0,425.0,4921.0,4921.0,81.0,936.0,936.0
2004-11-01,49561.0,594303.0,594303.0,452.0,5472.0,5472.0,19.0,234.0,234.0
2004-12-01,18275.0,247075.0,247075.0,256.0,3540.0,3540.0,0.0,0.0,0.0
2005-01-01,29214.0,372410.6,372410.6,516.0,6739.24,6739.24,0.0,0.0,0.0
2005-02-01,32619.0,411685.82,411685.82,470.0,6147.04,6147.04,0.0,0.0,0.0
2005-03-01,133322.0,1533732.71,1533732.71,227.0,2700.43,2700.43,68.0,803.75,803.75
2005-04-01,97773.0,1132335.91,1132335.91,353.0,4228.31,4228.31,64.0,763.05,763.05
2005-05-01,10744.0,125834.76,125834.76,99.0,1196.24,1196.24,0.0,0.0,0.0
2005-06-01,63891.0,755775.92,755775.92,737.0,8888.92,8888.92,0.0,0.0,0.0
2005-07-01,117627.0,1273245.95,1273245.95,475.0,5347.57,5347.57,20.0,223.83,223.83
2005-08-01,130790.0,1489770.53,1489770.53,363.0,4340.83,4340.83,39.0,457.83,457.83
2005-09-01,123675.0,1430319.44,1430319.44,372.0,4559.94,4559.94,162.0,1973.76,1973.76
2005-10-01,129067.0,1453817.56,1453817.56,303.0,3636.11,3636.11,84.0,997.05,997.05
2005-11-01,113940.0,1309690.2,1309690.2,304.0,3636.11,3636.11,23.0,274.7,274.7
2005-12-01,80029.0,958253.18,958253.18,402.0,5104.76,5104.76,0.0,0.0,0.0
2006-01-01,17914.0,233845.0,233845.0,339.0,4696.0,4696.0,0.0,0.0,0.0
2006-02-01,73872.0,816943.0,816943.0,426.0,4992.0,4992.0,0.0,0.0,0.0
2006-03-01,124988.0,1428472.0,1428472.0,518.0,6224.0,6224.0,0.0,0.0,0.0
2006-04-01,147548.0,1645806.0,1645806.0,182.0,2185.0,2185.0,0.0,0.0,0.0
2006-05-01,125309.0,1386521.0,1386521.0,183.0,2126.0,2126.0,0.0,0.0,0.0
2006-06-01,59169.0,674648.0,674648.0,340.0,4110.0,4110.0,0.0,0.0,0.0
2006-07-01,77027.0,893597.0,893597.0,404.0,4886.0,4886.0,0.0,0.0,0.0
2006-08-01,68348.0,804685.0,804685.0,501.0,6123.0,6123.0,0.0,0.0,0.0
2006-09-01,1899.0,38849.0,38849.0,23.0,497.0,497.0,0.0,0.0,0.0
2006-10-01,117602.0,1348089.0,1348089.0,386.0,4584.0,4584.0,0.0,0.0,0.0
2006-11-01,115589.0,1306951.0,1306951.0,404.0,4803.0,4803.0,0.0,0.0,0.0
