measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed
2003-01-01,393.897,4900.0,4900.0,,,
2003-02-01,348.238,4332.0,4332.0,,,
2003-03-01,333.4,4148.0,4148.0,,,
2003-04-01,286.994,3570.0,3570.0,,,
2003-05-01,287.622,3578.0,3578.0,,,
2003-06-01,317.826,3954.0,3954.0,,,
2003-07-01,413.144,5140.0,5140.0,,,
2003-08-01,424.959,5287.0,5287.0,,,
2003-09-01,359.67,4474.0,4474.0,,,
2003-10-01,359.71700000000004,4475.0,4475.0,,,
2003-11-01,343.627,4275.0,4275.0,,,
2003-12-01,408.442,5081.0,5081.0,,,
2004-01-01,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,,,
2005-01-01,684.278,4800.24,4800.24,,,
2005-02-01,235.096,1649.21,1649.21,,,
2005-03-01,260.575,1827.94,1827.94,,,
2005-04-01,315.63,2214.16,2214.16,,,
2005-05-01,293.14,2056.39,2056.39,,,
2005-06-01,380.46700000000004,2668.99,2668.99,,,
2005-07-01,387.269,2716.71,2716.71,,,
2005-08-01,454.947,3191.47,3191.47,,,
2005-09-01,297.813,2089.17,2089.17,,,
2005-10-01,330.726,2320.05,2320.05,,,
2005-11-01,265.875,1865.12,1865.12,,,
2005-12-01,562.185,3943.75,3943.75,,,
2006-01-01,243.62800000000001,2429.0,2429.0,112.40400000000001,823.0,823.0
2006-02-01,127.483,1271.0,1271.0,103.878,761.0,761.0
2006-03-01,107.087,1068.0,1068.0,114.585,839.0,839.0
2006-04-01,205.12900000000002,2045.0,2045.0,84.307,618.0,618.0
2006-05-01,191.744,1912.0,1912.0,103.072,755.0,755.0
2006-06-01,174.282,1738.0,1738.0,107.97200000000001,791.0,791.0
2006-07-01,252.452,2517.0,2517.0,112.057,821.0,821.0
2006-08-01,244.877,2442.0,2442.0,111.38300000000001,816.0,816.0
2006-09-01,112.5,1122.0,1122.0,106.54100000000001,780.0,780.0
2006-10-01,118.837,1185.0,1185.0,110.554,810.0,810.0
2006-11-01,139.934,1395.0,1395.0,111.659,818.0,818.0
2006-12-01,155.049,1546.0,1546.0,107.58800000000001,788.0,788.0
2007-01-01,230.824,2308.0,2308.0,0.0,0.0,0.0
2007-02-01,181.747,1815.0,1815.0,0.0,0.0,0.0
2007-03-01,137.76600000000002,1375.0,1375.0,0.0,0.0,0.0
2007-04-01,336.934,3364.0,3364.0,0.0,0.0,0.0
2007-05-01,167.434,1670.0,1670.0,0.0,0.0,0.0
2007-06-01,191.745,1914.0,1914.0,0.0,0.0,0.0
2007-07-01,229.71300000000002,2297.0,2297.0,0.0,0.0,0.0
2007-08-01,118.042,1177.0,1177.0,0.0,0.0,0.0
2007-09-01,88.50800000000001,882.0,882.0,0.0,0.0,0.0
2007-10-01,167.999,1676.0,1676.0,0.0,0.0,0.0
2007-11-01,126.79100000000001,1264.0,1264.0,0.0,0.0,0.0
2007-12-01,238.497,2384.0,2384.0,0.0,0.0,0.0
2008-01-01,82.12,824.0,824.0,0.0,0.0,0.0
2008-02-01,71.998,725.0,725.0,0.0,0.0,0.0
2008-03-01,63.093,632.0,632.0,0.0,0.0,0.0
2008-04-01,117.62400000000001,1183.0,1183.0,0.0,0.0,0.0
2008-05-01,95.712,963.0,963.0,0.0,0.0,0.0
2008-06-01,51.076,510.0,510.0,0.0,0.0,0.0
