measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,,,,,,,29188.589,296163.0,296163.0,,,,,,
2001-02-01,,,,,,,,,,22850.418,231853.0,231853.0,,,,,,
2001-03-01,,,,,,,,,,25513.208,258871.0,258871.0,,,,,,
2001-04-01,,,,,,,,,,22542.409,228728.0,228728.0,,,,,,
2001-05-01,,,,,,,,,,23978.499,243299.0,243299.0,,,,,,
2001-06-01,,,,,,,,,,25132.6,255009.0,255009.0,,,,,,
2001-07-01,,,,,,,,,,27124.739,275223.0,275223.0,,,,,,
2001-08-01,,,,,,,,,,28262.720999999998,286769.0,286769.0,,,,,,
2001-09-01,,,,,,,,,,23988.414,243400.0,243400.0,,,,,,
2001-10-01,,,,,,,,,,23118.061,234569.0,234569.0,,,,,,
2001-11-01,,,,,,,,,,23037.297,233749.0,233749.0,,,,,,
2001-12-01,,,,,,,,,,26014.044,263953.0,263953.0,,,,,,
2002-01-01,,,,,,,,,,22698.305,249978.0,249978.0,,,,,,
2002-02-01,,,,,,,,,,19984.359,220089.0,220089.0,,,,,,
2002-03-01,,,,,,,,,,19441.057,214106.0,214106.0,,,,,,
2002-04-01,,,,,,,,,,19894.269,219097.0,219097.0,,,,,,
2002-05-01,,,,,,,,,,20520.045,225989.0,225989.0,,,,,,
2002-06-01,,,,,,,,,,22265.802,245215.0,245215.0,,,,,,
2002-07-01,,,,,,,,,,25544.165,281320.0,281320.0,,,,,,
2002-08-01,,,,,,,,,,25810.997,284259.0,284259.0,,,,,,
2002-09-01,,,,,,,,,,21689.131,238864.0,238864.0,,,,,,
2002-10-01,,,,,,,,,,22195.581,244442.0,244442.0,,,,,,
2002-11-01,,,,,,,,,,21827.84,240392.0,240392.0,,,,,,
2002-12-01,,,,,,,,,,24167.448,266158.0,266158.0,,,,,,
2003-01-01,,,,,,,,,,24619.089,284180.0,284180.0,,,,,,
2003-02-01,,,,,,,,,,21247.033,245256.0,245256.0,,,,,,
2003-03-01,,,,,,,,,,20067.189,231637.0,231637.0,,,,,,
2003-04-01,,,,,,,,,,19617.388,226445.0,226445.0,,,,,,
2003-05-01,,,,,,,,,,20624.122,238065.0,238065.0,,,,,,
2003-06-01,,,,,,,,,,21683.329,250292.0,250292.0,,,,,,
2003-07-01,,,,,,,,,,24161.708,278900.0,278900.0,,,,,,
2003-08-01,,,,,,,,,,25155.227,290368.0,290368.0,,,,,,
2003-09-01,,,,,,,,,,20576.005,237510.0,237510.0,,,,,,
2003-10-01,,,,,,,,,,20682.899,238744.0,238744.0,,,,,,
2003-11-01,,,,,,,,,,20675.472,238658.0,238658.0,,,,,,
2003-12-01,,,,,,,,,,23873.538,275574.0,275574.0,,,,,,
2004-01-01,172.348,1848.0,1848.0,,,,,,,21063.875,225911.0,225911.0,,,,,,
2004-02-01,100.013,1072.0,1072.0,,,,,,,19085.794,204696.0,204696.0,,,,,,
2004-03-01,79.684,854.0,854.0,,,,,,,19419.994,208280.0,208280.0,,,,,,
2004-04-01,69.269,743.0,743.0,,,,,,,18673.786,200277.0,200277.0,,,,,,
2004-05-01,100.443,1077.0,1077.0,,,,,,,16769.234,179851.0,179851.0,,,,,,
2004-06-01,84.441,905.0,905.0,,,,,,,13221.423,141800.0,141800.0,,,,,,
2004-07-01,59.987,643.0,643.0,,,,,,,19083.528,204672.0,204672.0,,,,,,
2004-08-01,41.246,442.0,442.0,,,,,,,16608.853,178131.0,178131.0,,,,,,
2004-09-01,76.334,818.0,818.0,,,,,,,17599.323,188754.0,188754.0,,,,,,
2004-10-01,67.401,723.0,723.0,,,,,,,18679.691,200341.0,200341.0,,,,,,
2004-11-01,52.546,563.0,563.0,,,,,,,35104.153,376494.0,376494.0,,,,,,
2004-12-01,91.28800000000001,979.0,979.0,,,,,,,44136.344,473365.0,473365.0,,,,,,
2005-01-01,191.816,2061.42,2061.42,,,,,,,23419.421000000002,251781.19,251781.19,,,,,,
2005-02-01,44.152,474.5,474.5,,,,,,,21263.768,228605.87,228605.87,,,,,,
2005-03-01,37.888000000000005,407.18,407.18,,,,,,,22793.392,245050.79,245050.79,,,,,,
2005-04-01,37.909,407.41,407.41,,,,,,,18751.742,201599.18,201599.18,,,,,,
2005-05-01,38.222,410.77,410.77,,,,,,,17814.646,191524.5,191524.5,,,,,,
2005-06-01,46.301,497.59,497.59,,,,,,,22834.605,245493.86,245493.86,,,,,,
2005-07-01,87.688,942.37,942.37,,,,,,,25476.754,273899.49,273899.49,,,,,,
2005-08-01,77.666,834.67,834.67,,,,,,,25234.332000000002,271293.22,271293.22,,,,,,
2005-09-01,43.215,464.43,464.43,,,,,,,22732.242,244393.35,244393.35,,,,,,
2005-10-01,60.589000000000006,651.14,651.14,,,,,,,21287.757,228863.76,228863.76,,,,,,
2005-11-01,40.798,438.45,438.45,,,,,,,20905.373,224752.77,224752.77,,,,,,
2005-12-01,111.755,1201.01,1201.01,,,,,,,24113.969,259248.25,259248.25,,,,,,
2006-01-01,80.034,599.0,599.0,,,,0.0,0.0,0.0,23221.144,173780.0,173780.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,41.879000000000005,313.0,313.0,,,,0.0,0.0,0.0,22115.591,165506.0,165506.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,35.179,263.0,263.0,,,,0.0,0.0,0.0,22598.042,169117.0,169117.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,67.387,504.0,504.0,,,,0.0,0.0,0.0,19225.902000000002,143881.0,143881.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,62.99,471.0,471.0,,,,0.0,0.0,0.0,20546.334,153763.0,153763.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,57.253,428.0,428.0,,,,0.0,0.0,0.0,22258.87,166579.0,166579.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,82.933,621.0,621.0,,,,0.0,0.0,0.0,25319.424,189483.0,189483.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,80.444,602.0,602.0,,,,0.0,0.0,0.0,25502.117,190850.0,190850.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,36.957,277.0,277.0,,,,0.0,0.0,0.0,21189.182,158573.0,158573.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,39.039,292.0,292.0,,,,0.0,0.0,0.0,21916.871,164019.0,164019.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,45.97,344.0,344.0,,,,0.0,0.0,0.0,21670.452,162175.0,162175.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,50.935,381.0,381.0,,,,0.0,0.0,0.0,23460.072,175568.0,175568.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,,,,,,,22461.0,254201.0,254201.0,,,,,,
2007-02-01,0.0,0.0,0.0,,,,,,,21748.0,245683.0,245683.0,,,,,,
2007-03-01,0.0,0.0,0.0,,,,,,,24193.0,273043.0,273043.0,,,,,,
2007-04-01,0.0,0.0,0.0,,,,,,,20802.0,232556.0,232556.0,,,,,,
2007-05-01,0.0,0.0,0.0,,,,,,,17857.0,201133.0,201133.0,,,,,,
2007-06-01,0.0,0.0,0.0,,,,,,,23215.0,255035.0,255035.0,,,,,,
2007-07-01,0.0,0.0,0.0,,,,,,,20628.0,225485.0,225485.0,,,,,,
2007-08-01,0.0,0.0,0.0,,,,,,,23317.0,258189.0,258189.0,,,,,,
2007-09-01,0.0,0.0,0.0,,,,,,,22315.0,245040.0,245040.0,,,,,,
2007-10-01,0.0,0.0,0.0,,,,,,,23961.0,262436.0,262436.0,,,,,,
2007-11-01,0.0,0.0,0.0,,,,,,,23407.0,260620.0,260620.0,,,,,,
2007-12-01,0.0,0.0,0.0,,,,,,,23844.0,268113.0,268113.0,,,,,,
2008-01-01,42.884,601.0,601.0,151.31400000000002,2121.0,2121.0,,,,23605.802,330823.0,330823.0,,,,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,249.121,3456.0,3456.0,,,,22078.879,306296.0,306296.0,,,,,,
2008-03-01,147.389,2079.0,2079.0,391.543,5524.0,5524.0,,,,18884.068,266429.0,266429.0,,,,,,
2008-04-01,0.0,0.0,0.0,589.022,8180.0,8180.0,,,,22584.978,313637.0,313637.0,,,,,,
2008-05-01,91.36800000000001,1256.0,1256.0,70.983,976.0,976.0,,,,16288.649000000001,223929.0,223929.0,,,,,,
2008-06-01,16.461000000000002,228.0,228.0,152.717,2119.0,2119.0,,,,22795.822,316262.0,316262.0,,,,,,
2008-07-01,0.0,0.0,0.0,,,,,,,24077.0,321746.0,321746.0,,,,,,
2008-08-01,6.625,90.0,90.0,,,,,,,22429.904,305220.0,305220.0,,,,24.471,333.0,333.0
2008-09-01,45.59,631.0,631.0,,,,,,,20619.107,285404.0,285404.0,,,,633.302,8766.0,8766.0
2008-10-01,49.325,673.0,673.0,33.649,459.0,459.0,,,,23355.99,318731.0,318731.0,,,,457.035,6237.0,6237.0
2008-11-01,16.11,216.0,216.0,,,,,,,23268.89,312515.0,312515.0,,,,,,
2008-12-01,13.555000000000001,186.0,186.0,,,,,,,23840.445,327675.0,327675.0,,,,,,
2009-01-01,74.482,1040.0,1040.0,,,,,,,23780.518,331962.0,331962.0,,,,,,
2009-02-01,0.0,0.0,0.0,,,,,,,21655.0,300463.0,300463.0,,,,,,
2009-03-01,0.0,0.0,0.0,,,,,,,24031.0,333430.0,333430.0,,,,,,
2009-04-01,7.398000000000001,102.0,102.0,,,,,,,23222.602,320725.0,320725.0,,,,,,
2009-05-01,93.212,1304.0,1304.0,,,,,,,16523.788,231192.0,231192.0,,,,,,
