measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,404.0,6780.0,6780.0
2003-02-01,,,,517.0,5807.0,5807.0
2003-03-01,,,,815.0,9036.0,9036.0
2003-04-01,,,,329.0,3799.0,3799.0
2003-05-01,,,,-15.0,0.0,0.0
2003-06-01,,,,394.0,4429.0,4429.0
2003-07-01,,,,696.0,7380.0,7380.0
2003-08-01,,,,787.0,8726.0,8726.0
2003-09-01,,,,345.0,3640.0,3640.0
2003-10-01,,,,198.0,2248.0,2248.0
2003-11-01,,,,89.0,1133.0,1133.0
2003-12-01,,,,209.0,2312.0,2312.0
2004-01-01,,,,256.75,4088.0,4088.0
2004-02-01,,,,256.75,4088.0,4088.0
2004-03-01,,,,256.75,4088.0,4088.0
2004-04-01,,,,256.75,4088.0,4088.0
2004-05-01,,,,256.75,4088.0,4088.0
2004-06-01,,,,256.75,4088.0,4088.0
2004-07-01,,,,256.75,4088.0,4088.0
2004-08-01,,,,256.75,4088.0,4088.0
2004-09-01,,,,256.75,4088.0,4088.0
2004-10-01,,,,256.75,4088.0,4088.0
2004-11-01,,,,256.75,4088.0,4088.0
2004-12-01,,,,256.75,4088.0,4088.0
2005-01-01,,,,1948.335,18956.23,18956.23
2005-02-01,,,,475.401,4625.39,4625.39
2005-03-01,,,,679.296,6609.18,6609.18
2005-04-01,,,,557.972,5428.76,5428.76
