measured_on,"Solar-Energy Storage, Concentrated Solar Power Generation","Solar-Energy Storage, Concentrated Solar Power Quantity Consumed For Electricity","Solar-Energy Storage, Concentrated Solar Power Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2013-01-01,63.775,608.0,608.0,0.0,0.0,0.0
2013-02-01,92.596,883.0,883.0,0.0,0.0,0.0
2013-03-01,129.812,1239.0,1239.0,0.0,0.0,0.0
2013-04-01,140.153,1337.0,1337.0,0.0,0.0,0.0
2013-05-01,158.723,1514.0,1514.0,0.0,0.0,0.0
2013-06-01,183.286,1749.0,1749.0,0.0,0.0,0.0
2013-07-01,170.614,1628.0,1628.0,0.0,0.0,0.0
2013-08-01,197.913,1888.0,1888.0,0.0,0.0,0.0
2013-09-01,197.214,1882.0,1882.0,0.0,0.0,0.0
2013-10-01,207.679,1981.0,1981.0,0.0,0.0,0.0
2013-11-01,170.684,1628.0,1628.0,0.0,0.0,0.0
2013-12-01,172.551,1646.0,1646.0,0.0,0.0,0.0
2014-01-01,72.297,688.0,688.0,0.0,0.0,0.0
2014-02-01,79.055,752.0,752.0,0.0,0.0,0.0
2014-03-01,127.947,1217.0,1217.0,0.0,0.0,0.0
2014-04-01,144.857,1378.0,1378.0,0.0,0.0,0.0
2014-05-01,169.335,1610.0,1610.0,0.0,0.0,0.0
2014-06-01,184.874,1758.0,1758.0,0.0,0.0,0.0
2014-07-01,170.727,1624.0,1624.0,0.0,0.0,0.0
2014-08-01,177.644,1689.0,1689.0,0.0,0.0,0.0
2014-09-01,175.435,1668.0,1668.0,0.0,0.0,0.0
2014-10-01,161.93,1540.0,1540.0,0.0,0.0,0.0
2014-11-01,131.552,1251.0,1251.0,0.0,0.0,0.0
2014-12-01,90.347,859.0,859.0,0.0,0.0,0.0
2015-01-01,,,,25.591,238.0,238.0
2015-02-01,,,,32.889,306.0,306.0
2015-03-01,,,,46.949,438.0,438.0
2015-04-01,,,,53.442,498.0,498.0
2015-05-01,,,,53.646,500.0,500.0
2015-06-01,,,,55.577,518.0,518.0
2015-07-01,,,,56.283,525.0,525.0
2015-08-01,,,,57.369,535.0,535.0
2015-09-01,,,,47.475,442.0,442.0
2015-10-01,,,,40.53,378.0,378.0
2015-11-01,,,,37.137,346.0,346.0
2015-12-01,,,,32.112,299.0,299.0
2016-01-01,,,,71.877,664.0,664.0
2016-02-01,,,,143.801,1328.0,1328.0
2016-03-01,,,,125.056,1155.0,1155.0
2016-04-01,,,,140.458,1297.0,1297.0
2016-05-01,,,,173.401,1601.0,1601.0
2016-06-01,,,,172.184,1590.0,1590.0
2016-07-01,,,,198.297,1831.0,1831.0
2016-08-01,,,,193.137,1783.0,1783.0
2016-09-01,,,,179.961,1661.0,1661.0
2016-10-01,,,,157.847,1457.0,1457.0
2016-11-01,,,,138.189,1276.0,1276.0
2016-12-01,,,,110.792,1023.0,1023.0
2017-01-01,,,,51.225,472.0,472.0
2017-02-01,,,,83.457,769.0,769.0
2017-03-01,,,,114.58,1056.0,1056.0
2017-04-01,,,,120.818,1113.0,1113.0
2017-05-01,,,,119.917,1105.0,1105.0
2017-06-01,,,,144.039,1327.0,1327.0
2017-07-01,,,,140.851,1298.0,1298.0
2017-08-01,,,,139.673,1287.0,1287.0
2017-09-01,,,,112.778,1039.0,1039.0
2017-10-01,,,,99.608,918.0,918.0
2017-11-01,,,,61.206,564.0,564.0
2017-12-01,,,,44.848,413.0,413.0
2018-01-01,,,,26.214,239.0,239.0
2018-02-01,,,,28.699,261.0,261.0
2018-03-01,,,,46.242,421.0,421.0
2018-04-01,,,,51.617,470.0,470.0
2018-05-01,,,,65.054,592.0,592.0
2018-06-01,,,,63.431,577.0,577.0
2018-07-01,,,,74.535,679.0,679.0
2018-08-01,,,,60.237,548.0,548.0
2018-09-01,,,,37.268,339.0,339.0
2018-10-01,,,,35.746,325.0,325.0
2018-11-01,,,,21.346,194.0,194.0
2018-12-01,,,,29.611,270.0,270.0
2019-01-01,,,,106.474,948.0,948.0
2019-02-01,,,,122.966,1095.0,1095.0
2019-03-01,,,,172.854,1539.0,1539.0
2019-04-01,,,,189.449,1687.0,1687.0
2019-05-01,,,,191.304,1704.0,1704.0
2019-06-01,,,,210.991,1879.0,1879.0
2019-07-01,,,,252.633,2250.0,2250.0
2019-08-01,,,,209.136,1862.0,1862.0
2019-09-01,,,,197.179,1756.0,1756.0
2019-10-01,,,,133.377,1188.0,1188.0
2019-11-01,,,,107.712,959.0,959.0
2019-12-01,,,,67.925,605.0,605.0
2020-01-01,,,,53.109,466.0,466.0
2020-02-01,,,,69.566,610.0,610.0
2020-03-01,,,,105.85,928.0,928.0
2020-04-01,,,,101.489,890.0,890.0
2020-05-01,,,,143.081,1254.0,1254.0
2020-06-01,,,,135.182,1185.0,1185.0
2020-07-01,,,,133.125,1167.0,1167.0
2020-08-01,,,,125.844,1103.0,1103.0
2020-09-01,,,,109.265,958.0,958.0
2020-10-01,,,,79.439,696.0,696.0
2020-11-01,,,,56.813,498.0,498.0
2020-12-01,,,,43.237,379.0,379.0
2021-01-01,,,,72.199,639.0,639.0
2021-02-01,,,,57.025,504.0,504.0
2021-03-01,,,,180.496,1596.0,1596.0
2021-04-01,,,,146.089,1292.0,1292.0
2021-05-01,,,,181.567,1606.0,1606.0
2021-06-01,,,,188.223,1665.0,1665.0
2021-07-01,,,,148.119,1310.0,1310.0
2021-08-01,,,,149.304,1320.0,1320.0
2021-09-01,,,,138.756,1227.0,1227.0
2021-10-01,,,,102.544,907.0,907.0
2021-11-01,,,,101.416,897.0,897.0
2021-12-01,,,,54.262,480.0,480.0
2022-01-01,,,,60.939,208.0,208.0
2022-02-01,,,,40.105,137.0,137.0
2022-03-01,,,,59.854,204.0,204.0
2022-04-01,,,,73.129,250.0,250.0
2022-05-01,,,,82.308,281.0,281.0
2022-06-01,,,,82.789,282.0,282.0
2022-07-01,,,,91.386,312.0,312.0
2022-08-01,,,,80.614,275.0,275.0
2022-09-01,,,,66.833,228.0,228.0
2022-10-01,,,,52.976,181.0,181.0
2022-11-01,,,,43.695,149.0,149.0
2022-12-01,,,,28.372,97.0,97.0
