measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Steam Part Generation,Kerosene-Combined Cycle Steam Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,,,,,,,9824.0,89615.0,102529.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,,,,,,,418.0,4599.0,5485.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,,,,,,,825.47,8287.0,8287.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,,,,,,,1186.0,10415.0,10888.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,,,,,,,6004.0,50504.0,53912.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,,,,,,,9353.0,76425.0,80740.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,,,,,,,8020.0,69561.0,72143.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,,,,,,,18825.0,159446.0,169944.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,,,,9904.0,84000.0,87184.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,,,,,,,2106.0,17661.0,20140.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,,,,,,,3799.0,33466.0,35171.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,,,,,,,1002.0,10543.0,11646.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,105.12379,852.26,1539.12,0.0,0.0,0.0,5890.10321,47752.52,86236.98,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.29392999999999997,2.38,4.23,0.0,0.0,0.0,7771.88507,63008.58,111797.14,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.64227,5.21,9.24,0.0,0.0,0.0,7638.93473,61930.72,109889.75,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.09798,0.79,1.41,0.0,0.0,0.0,9025.56302,73172.46,129827.56,0.0,0.0,0.0
