measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2001-01-01,,,,496.706,4195.0,22445.0,,,,,,
2001-02-01,,,,434.845,3672.0,19649.0,,,,,,
2001-03-01,,,,476.56100000000004,4025.0,21534.0,,,,,,
2001-04-01,,,,422.31,3567.0,19083.0,,,,,,
2001-05-01,,,,456.995,3859.0,20650.0,,,,,,
2001-06-01,,,,484.793,4094.0,21906.0,,,,,,
2001-07-01,,,,523.581,4422.0,23659.0,,,,,,
2001-08-01,,,,522.31,4411.0,23602.0,,,,,,
2001-09-01,,,,450.32,3803.0,20349.0,,,,,,
2001-10-01,,,,439.56300000000005,3712.0,19863.0,,,,,,
2001-11-01,,,,444.865,3757.0,20102.0,,,,,,
2001-12-01,,,,464.151,3920.0,20974.0,,,,,,
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
