measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,243.0,3729.0,3729.0,,,,498566.0,5205822.0,5205822.0
2003-02-01,129.0,1978.0,1978.0,,,,259579.0,2686844.0,2686844.0
2003-03-01,1913.0,29893.0,29893.0,,,,285374.0,3000252.0,3000252.0
2003-04-01,1678.0,24166.0,24166.0,,,,460590.0,4449000.0,4449000.0
2003-05-01,176.0,2680.0,2680.0,,,,561878.0,5806277.0,5806277.0
2003-06-01,261.0,4043.0,4043.0,,,,552846.0,5818697.0,5818697.0
2003-07-01,599.0,6716.0,6716.0,,,,517360.0,5474372.0,5474372.0
2003-08-01,256.0,2859.0,2859.0,,,,566450.0,5961752.0,5961752.0
2003-09-01,605.0,6751.0,6751.0,,,,466198.0,4928808.0,4928808.0
2003-10-01,382.0,4176.0,4176.0,,,,557639.0,5851821.0,5851821.0
2003-11-01,50.0,534.0,534.0,,,,568025.0,5836641.0,5836641.0
2003-12-01,2479.0,28373.0,28373.0,,,,563681.0,5930174.0,5930174.0
2004-01-01,27.0,301.0,301.0,,,,574555.0,5953634.0,5953634.0
2004-02-01,1068.0,12119.0,12119.0,,,,515011.0,5415682.0,5415682.0
2004-03-01,2061.0,23665.0,23665.0,,,,412687.0,4392496.0,4392496.0
2004-04-01,1413.0,16345.0,16345.0,,,,332389.0,3555049.0,3555049.0
2004-05-01,374.0,4263.0,4263.0,,,,571515.0,6029148.0,6029148.0
2004-06-01,1969.0,22881.0,22881.0,,,,420455.0,4551861.0,4551861.0
2004-07-01,587.0,6798.0,6798.0,,,,556101.0,5947081.0,5947081.0
2004-08-01,252.0,2879.0,2879.0,,,,553309.0,5887896.0,5887896.0
2004-09-01,107.0,1211.0,1211.0,,,,563648.0,5945556.0,5945556.0
2004-10-01,245.0,2814.0,2814.0,,,,478215.0,5089736.0,5089736.0
2004-11-01,2444.0,28438.0,28438.0,,,,363637.0,3941426.0,3941426.0
2004-12-01,91.0,1045.0,1045.0,,,,569455.0,6082625.0,6082625.0
2005-01-01,46.0,534.33,534.33,,,,576488.0,6148393.17,6148393.17
2005-02-01,46.0,522.46,522.46,,,,524950.0,5580201.4,5580201.4
2005-03-01,74.0,837.12,837.12,,,,578894.0,6151145.81,6151145.81
2005-04-01,278.0,3176.3,3176.3,,,,486975.0,5177802.46,5177802.46
2005-05-01,16.0,184.05,184.05,,,,578510.0,6186090.42,6186090.42
2005-06-01,58.0,676.82,676.82,,,,548881.0,5921741.78,5921741.78
2005-07-01,100.0,1163.65,1163.65,,,,499753.0,5419282.01,5419282.01
2005-08-01,276.0,3116.93,3116.93,,,,458317.0,4842400.5,4842400.5
2005-09-01,86.0,991.48,991.48,,,,519347.0,5514153.17,5514153.17
2005-10-01,374.0,4345.88,4345.88,,,,460527.0,4953416.38,4953416.38
2005-11-01,876.0,10199.77,10199.77,,,,278577.0,3016133.87,3016133.87
2005-12-01,140.0,1626.74,1626.74,,,,402232.0,4304519.46,4304519.46
2006-01-01,122.0,1401.0,1401.0,,,,412312.0,4371717.0,4371717.0
2006-02-01,224.0,2571.0,2571.0,,,,407335.0,4331532.0,4331532.0
2006-03-01,525.0,6074.0,6074.0,,,,329061.0,3517297.0,3517297.0
2006-04-01,274.0,3141.0,3141.0,,,,275220.0,2938110.0,2938110.0
2006-05-01,96.0,1098.0,1098.0,,,,502076.0,5286301.0,5286301.0
2006-06-01,132.0,1520.0,1520.0,204.0,2327.0,2327.0,503364.0,5372719.0,5372719.0
