measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,13905.23067,72655.98,662244.24,77.67593,405.86,3699.36,145.34447,759.44,6922.11,,,,,,,55.321569999999994,289.06,2634.72,5465.67436,28558.6,260305.74
2004-04-01,13983.90879,73067.08,665305.76,169.52641,885.79,8065.48,335.84295,1754.81,15978.24,,,,,,,57.95758,302.83,2757.42,6558.79328,34270.24,312044.58
2004-05-01,12154.98031,63510.78,576887.92,85.50214,446.76,4058.02,664.9113600000001,3474.22,31557.38,,,,,,,36.893,192.77,1750.98,5498.90119,28732.21,260983.53
2004-06-01,11844.33315,61887.62,562838.86,79.29420999999999,414.32,3768.04,500.30414,2614.13,23774.29,,,,,,,65.50045,342.25,3112.56,6888.11906,35990.99,327321.18
2004-07-01,12361.87803,64591.83,587153.84,73.12714,382.1,3473.33,613.52222,3205.7,29140.55,,,,,,,88.1611,460.65,4187.4,7486.02751,39115.11,355564.89
2004-08-01,10358.08937,54121.88,492293.76,344.41549,1799.6,16369.2,445.60274,2328.31,21178.37,,,,,,,71.87380999999999,375.55,3415.98,7011.44359,36635.38,333236.16
2004-09-01,11394.32815,59536.31,541890.83,74.69727999999999,390.3,3552.45,358.34896,1872.4,17042.34,,,,,,,62.204119999999996,325.02,2958.3,6822.8625,35650.02,324481.32
2004-10-01,11725.5875,61267.17,557871.78,68.16635,356.17,3243.17,269.08695,1406.0,12802.43,,,,,,,72.30928,377.82,3440.28,4918.83792,25701.34,234025.02
2004-11-01,8636.87398,45128.39,411199.6,93.4735,488.41,4450.25,156.72119,818.88,7461.46,,,,,,,57.88686,302.46,2755.98,6512.95748,34030.75,310080.42
2004-12-01,11228.6945,58670.86,534933.17,112.33445,586.96,5351.6,88.60441999999999,462.97,4221.1,,,,,,,51.944759999999995,271.42,2474.64,6534.54386,34143.53,311304.6
2005-01-01,13257.00713,69268.96,554904.0,270.55854,1413.69,11324.88,0.26280000000000003,1.37,11.0,,,,,,,97.61712,510.06,4086.0,8723.61641,45581.62,365148.0
2005-02-01,13778.3583,71993.06,577080.0,158.33604,827.32,6631.6,0.40589,2.12,17.0,,,,,,,84.2345,440.13,3528.0,8297.95827,43357.52,347544.0
2005-03-01,14121.49536,73785.98,559216.0,106.75969,557.83,4227.72,0.37878,1.98,15.0,,,,,,,103.02942,538.34,4080.0,8606.06274,44967.39,340803.0
2005-04-01,16068.52187,83959.36,643160.0,69.13242,361.22,2767.1,0.27482,1.44,11.0,,,,,,,77.94917,407.29,3120.0,8738.47672,45659.27,349767.0
2005-05-01,16026.63129,83740.48,641704.0,6.77825,35.42,271.4,0.02498,0.13,1.0,,,,,,,78.07221,407.93,3126.0,8067.88627,42155.38,323037.0
2005-06-01,11088.12421,57936.37,500752.0,208.63747,1090.15,9422.3,0.7085699999999999,3.7,32.0,,,,,,,55.268789999999996,288.78,2496.0,6184.25895,32313.27,279288.0
2005-07-01,16213.007300000001,84714.3,711816.0,351.28,1835.47,15422.6,0.5010899999999999,2.62,22.0,,,,,,,49.334900000000005,257.78,2166.0,8795.4157,45956.77,386154.0
2005-08-01,14406.31171,75274.17,596400.0,103.89502,542.86,4301.1,0.4348,2.27,18.0,,,,,,,38.69703,202.2,1602.0,8031.15644,41963.45,332478.0
2005-09-01,14817.69871,77423.7,602392.0,242.07482,1264.86,9841.2,0.51656,2.7,21.0,,,,,,,36.749559999999995,192.02,1494.0,7582.36435,39618.48,308250.0
2005-10-01,18101.10755,94579.79,742224.0,105.75709,552.59,4336.5,0.34143,1.78,14.0,,,,,,,51.360409999999995,268.36,2106.0,10270.98551,53666.75,421155.0
2005-11-01,15043.16268,78601.77,567336.0,268.29646,1401.87,10118.5,0.42424999999999996,2.22,16.0,,,,,,,13.36378,69.83,504.0,5355.77383,27984.36,201987.0
2005-12-01,11057.37709,57775.71,499632.0,543.83718,2841.59,24573.5,0.33197,1.73,15.0,,,,,,,56.832519999999995,296.95,2568.0,6717.92225,35101.7,303552.0
2006-01-01,13509.259,70587.0,727776.0,105.79446,552.78,5699.4,0.37125,1.94,20.0,,,,,,,69.16345,361.38,3726.0,10769.45084,56271.27,580176.0
2006-02-01,15004.19134,78398.14,601720.0,84.5937,442.01,3392.5,0.22441999999999998,1.17,9.0,,,,,,,42.340489999999996,221.23,1698.0,4830.40605,25239.27,193716.0
2006-03-01,16950.22069,88566.31,581336.0,7.91331,41.35,271.4,0.29157,1.52,10.0,,,,,,,81.87386,427.8,2808.0,4773.87558,24943.9,163728.0
2006-04-01,20133.92003,105201.4,708680.0,111.80366,584.18,3935.3,0.5966199999999999,3.12,21.0,,,,,,,65.11676,340.24,2292.0,4753.35294,24836.66,167310.0
2006-05-01,16770.90326,87629.36,575904.0,13.229669999999999,69.13,454.3,0.23296999999999998,1.22,8.0,,,,,,,49.622189999999996,259.28,1704.0,4090.9479,21375.54,140481.0
2006-06-01,5232.16804,27338.51,165928.0,433.29483,2264.0,13741.1,0.81985,4.28,26.0,,,,,,,31.40663,164.1,996.0,1728.31065,9030.57,54810.0
2006-07-01,16615.89336,86819.42,497280.0,1103.58963,5766.35,33028.2,0.6682699999999999,3.49,20.0,,,,,,,31.27509,163.41,936.0,5955.4986499999995,31117.98,178236.0
2006-08-01,13532.74857,70709.73,479304.0,681.8184,3562.56,24148.7,0.31057999999999997,1.62,11.0,,,,,,,67.762,354.06,2400.0,6528.02146,34109.45,231210.0
2006-09-01,18782.33799,98139.27,640304.0,0.17307,0.9,5.9,0.05867,0.31,2.0,,,,,,,60.54428,316.35,2064.0,6666.29499,34831.94,227259.0
2006-10-01,18741.60457,97926.44,603792.0,3.1133,16.27,100.3,0.24831999999999999,1.3,8.0,,,,,,,128.8774,673.4,4152.0,7401.88342,38675.46,238464.0
2006-11-01,18044.59288,94284.5,603792.0,585.5724299999999,3059.66,19593.9,0.23908,1.25,8.0,,,,,,,124.08437,648.35,4152.0,6732.83224,35179.61,225288.0
2006-12-01,19236.62942,100512.98,673568.0,153.84037,803.83,5386.7,0.1428,0.75,5.0,,,,,,,77.96688,407.38,2730.0,7169.18353,37459.58,251028.0
2007-01-01,18777.667,98112.0,654136.0,353.974,1847.0,12331.0,547.597,2861.0,19076.0,,,,,,,88.013,462.0,3066.0,6902.2,36063.0,240444.0
2007-02-01,11589.093,60558.0,424200.0,1056.0990000000002,5517.0,38657.0,0.49200000000000005,3.0,18.0,,,,,,,44.914,234.0,1644.0,6082.307000000001,31779.0,222633.0
2007-03-01,19011.295,99333.0,638960.0,304.923,1593.0,10248.0,0.35700000000000004,2.0,12.0,,,,,,,67.659,354.0,2274.0,6913.582,36126.0,232362.0
2007-04-01,17029.899,88984.0,574560.0,162.984,850.0,5499.0,0.5630000000000001,3.0,19.0,,,,,,,17.428,90.0,588.0,6123.455,31995.0,206595.0
2007-05-01,7728.6050000000005,40387.0,354536.0,421.47200000000004,2201.0,19334.0,0.5670000000000001,3.0,26.0,,,,,,,2128.562,11124.0,97644.0,3192.8430000000003,16686.0,146466.0
2007-06-01,18606.148,97216.0,684824.0,78.226,407.0,2879.0,0.217,1.0,8.0,,,,,,,73.683,384.0,2712.0,6465.926,33786.0,237987.0
2007-07-01,18846.014000000003,98470.0,648480.0,485.074,2537.0,16691.0,0.5810000000000001,3.0,20.0,,,,,,,118.049,618.0,4062.0,6895.151000000001,36027.0,237258.0
2007-08-01,19135.606,99982.0,639016.0,175.08800000000002,915.0,5847.0,0.389,2.0,13.0,,,,,,,70.791,372.0,2364.0,7063.827,36909.0,235890.0
2007-09-01,19816.055,103544.0,659680.0,147.27800000000002,767.0,4903.0,0.48100000000000004,3.0,16.0,,,,,,,84.71,444.0,2820.0,7290.258000000001,38088.0,242694.0
2007-10-01,19580.75,102312.0,671440.0,129.559,679.0,4443.0,0.35,2.0,12.0,,,,,,,66.49,348.0,2280.0,7746.009,40473.0,265617.0
2007-11-01,19348.342,101091.0,655200.0,27.006,142.0,915.0,0.35400000000000004,2.0,12.0,,,,,,,103.12,540.0,3492.0,6461.762000000001,33759.0,218817.0
2007-12-01,18681.055,97608.0,628040.0,253.591,1328.0,8526.0,0.744,4.0,25.0,,,,,,,42.654,222.0,1434.0,6502.5560000000005,33975.0,218610.0
2008-01-01,2044.69,10684.0,21560.0,998.778,5219.0,10532.0,1368.9750000000001,7153.0,14435.0,,,,,,,113.805,595.0,1200.0,24147.351000000002,126172.0,254619.0
2008-02-01,2002.3390000000002,10462.0,21056.0,443.242,2316.0,4661.0,2151.355,11241.0,22623.0,,,,,,,114.11500000000001,596.0,1200.0,17823.349000000002,93128.0,187425.0
2008-03-01,2663.6910000000003,13918.0,22792.0,1.379,7.0,12.0,62.759,328.0,537.0,,,,,,,288.2,1506.0,2466.0,21688.649,113325.0,185580.0
2008-04-01,2698.77,14101.0,22120.0,1166.132,6093.0,9558.0,981.293,5127.0,8043.0,,,,,,,311.84700000000004,1629.0,2556.0,24714.971,129138.0,202572.0
2008-05-01,2566.324,13409.0,21000.0,367.718,1921.0,3009.0,817.9240000000001,4274.0,6693.0,,,,,,,277.896,1452.0,2274.0,18977.966,99161.0,155295.0
2008-06-01,3072.3140000000003,16053.0,22232.0,131.27,686.0,950.0,3171.1220000000003,16569.0,22947.0,,,,,,,324.202,1694.0,2346.0,17066.597999999998,89174.0,123498.0
2008-07-01,2244.9230000000002,11730.0,20888.0,1438.769,7518.0,13387.0,2466.212,12886.0,22947.0,,,,,,,21926.043,114565.0,204012.0,314.362,1643.0,2925.0
2008-08-01,2018.106,10545.0,21336.0,897.923,4692.0,9493.0,1511.498,7898.0,15980.0,,,,,,,19236.131999999998,100510.0,203370.0,254.53300000000002,1330.0,2691.0
2008-09-01,1924.79,10057.0,24136.0,79.98700000000001,418.0,1003.0,262.13100000000003,1370.0,3287.0,,,,,,,153.116,800.0,1920.0,24387.712,127428.0,305811.0
2008-10-01,1484.391,7756.0,22120.0,798.981,4175.0,11906.0,1453.0520000000001,7592.0,21653.0,,,,,,,136.89700000000002,715.0,2040.0,26976.318,140953.0,401994.0
2008-11-01,406.66,2125.0,10024.0,1052.204,5498.0,25936.0,1891.308,9882.0,46620.0,,,,,,,12.171000000000001,64.0,300.0,10054.969,52538.0,247851.0
2008-12-01,1079.799,5642.0,19040.0,167.63500000000002,876.0,2956.0,1078.382,5635.0,19015.0,,,,,,,75.2,393.0,1326.0,19732.938000000002,103106.0,347949.0
2009-01-01,15728.137999999999,82181.0,619976.0,105.372,551.0,4154.0,405.903,2121.0,16000.0,,,,,,,77.02,402.0,3036.0,9214.103000000001,48144.0,363204.0
2009-02-01,16662.622,87064.0,595336.0,290.79900000000004,1519.0,10390.0,623.558,3258.0,22279.0,,,,,,,100.087,523.0,3576.0,6079.796,31767.0,217224.0
2009-03-01,16260.483,84962.0,586600.0,232.074,1213.0,8372.0,202.355,1057.0,7300.0,,,,,,,85.65400000000001,448.0,3090.0,7119.38,37199.0,256833.0
2009-04-01,17058.172,89130.0,639464.0,162.895,851.0,6107.0,494.675,2585.0,18544.0,,,,,,,75.546,395.0,2832.0,6887.462,35988.0,258192.0
2009-05-01,19404.944000000003,101392.0,708568.0,48.312000000000005,252.0,1764.0,91.607,479.0,3345.0,,,,,,,58.332,305.0,2130.0,7197.818,37609.0,262827.0
2009-06-01,14301.47,74726.0,536984.0,233.18800000000002,1218.0,8756.0,1828.539,9554.0,68657.0,,,,,,,20.135,105.0,756.0,3734.953,19515.0,140238.0
2009-07-01,15049.737000000001,78636.0,584024.0,208.747,1091.0,8101.0,1769.225,9244.0,68657.0,,,,,,,44.838,234.0,1740.0,6087.008000000001,31805.0,236214.0
2009-08-01,16839.385000000002,87987.0,641088.0,212.78,1112.0,8101.0,554.678,2898.0,21117.0,,,,,,,57.84,302.0,2202.0,6394.674,33413.0,243450.0
2009-09-01,17374.745000000003,90784.0,667352.0,392.93100000000004,2053.0,15092.0,487.955,2550.0,18742.0,,,,,,,61.548,322.0,2364.0,5850.691000000001,30570.0,224721.0
2009-10-01,15029.221000000001,78529.0,594160.0,381.75600000000003,1995.0,15092.0,1164.324,6084.0,46030.0,,,,,,,65.10900000000001,340.0,2574.0,5867.102,30656.0,231948.0
2009-11-01,15319.994999999999,80048.0,608944.0,385.78,2016.0,15334.0,687.778,3594.0,27338.0,,,,,,,64.305,336.0,2556.0,5742.357,30004.0,228249.0
2009-12-01,15076.395,78775.0,650440.0,121.028,632.0,5222.0,786.038,4107.0,33912.0,,,,,,,5.98,31.0,258.0,6686.1230000000005,34936.0,288459.0
2010-01-01,13453.688,70297.0,545440.0,702.9,3673.0,28497.0,426.841,2230.0,17305.0,,,,,,,43.954,230.0,1782.0,7460.477000000001,38982.0,302463.0
2010-02-01,14247.223,74443.0,577136.0,39.616,207.0,1605.0,199.09300000000002,1040.0,8065.0,,,,,,,23.106,121.0,936.0,6449.509,33699.0,261261.0
2010-03-01,16090.552,84074.0,616672.0,249.239,1302.0,9552.0,461.52500000000003,2412.0,17688.0,,,,,,,69.824,365.0,2676.0,6318.184,33013.0,242145.0
2010-04-01,16147.535,84372.0,622328.0,44.855000000000004,234.0,1729.0,713.101,3726.0,27483.0,,,,,,,54.022000000000006,282.0,2082.0,6447.8,33690.0,248499.0
2010-05-01,6465.91,33785.0,262640.0,409.755,2141.0,16644.0,1170.063,6114.0,47527.0,,,,,,,30.724,161.0,1248.0,4126.08,21559.0,167598.0
2010-06-01,16625.036,86867.0,617568.0,121.504,635.0,4514.0,686.437,3587.0,25499.0,,,,,,,13.245000000000001,69.0,492.0,7041.428,36792.0,261567.0
2010-07-01,16170.78,84494.0,621376.0,111.01100000000001,580.0,4266.0,999.4050000000001,5222.0,38403.0,,,,,,,74.325,388.0,2856.0,6873.809,35916.0,264132.0
2010-08-01,14257.344000000001,74496.0,556192.0,349.06100000000004,1824.0,13617.0,1204.586,6294.0,46992.0,,,,,,,108.58500000000001,567.0,4236.0,6560.087,34277.0,255915.0
2010-09-01,16107.942,84165.0,622720.0,76.766,401.0,2968.0,545.562,2851.0,21091.0,,,,,,,138.441,723.0,5352.0,5990.27,31300.0,231579.0
2010-10-01,17228.251,90019.0,653576.0,66.409,347.0,2519.0,467.178,2441.0,17723.0,,,,,,,91.25800000000001,477.0,3462.0,6743.068,35233.0,255807.0
2010-11-01,17446.071,91157.0,654920.0,63.024,329.0,2366.0,770.092,4024.0,28909.0,,,,,,,62.814,328.0,2358.0,5800.902,30310.0,217764.0
2010-12-01,15678.816,81923.0,627592.0,225.959,1181.0,9045.0,363.445,1899.0,14548.0,,,,,,,84.99,444.0,3402.0,7750.32,40496.0,310230.0
2011-01-01,15415.344,80546.0,624568.0,492.201,2572.0,19942.0,652.927,3412.0,26454.0,,,,,,,72.564,379.0,2940.0,7703.847,40253.0,312129.0
2011-02-01,12871.0,67252.0,553392.0,199.25,1041.0,8567.0,1011.228,5284.0,43478.0,,,,,,,59.588,311.0,2562.0,5843.737,30534.0,251253.0
2011-03-01,17221.278,89983.0,674296.0,15.671,82.0,614.0,401.228,2096.0,15710.0,,,,,,,59.15,309.0,2316.0,6571.375,34336.0,257301.0
2011-04-01,16693.194,87223.0,660800.0,159.331,833.0,6307.0,383.883,2006.0,15196.0,,,,,,,117.923,616.0,4668.0,5679.425,29675.0,224820.0
2011-05-01,9377.488,48998.0,399000.0,207.997,1087.0,8850.0,973.614,5087.0,41426.0,,,,,,,75.302,393.0,3204.0,3249.617,16980.0,138267.0
2011-06-01,15399.42,80463.0,593936.0,332.565,1738.0,12827.0,237.524,1241.0,9161.0,,,,,,,120.253,628.0,4638.0,6586.762,34416.0,254043.0
2011-07-01,18146.399,94816.0,689640.0,0.155,1.0,6.0,437.899,2288.0,16642.0,,,,,,,145.089,758.0,5514.0,6704.964,35034.0,254817.0
2011-08-01,16804.789,87806.0,644560.0,168.744,882.0,6472.0,355.514,1858.0,13636.0,,,,,,,114.976,601.0,4410.0,6896.701,36036.0,264528.0
2011-09-01,16128.539,84273.0,636328.0,64.603,338.0,2549.0,447.666,2339.0,17662.0,,,,,,,84.707,443.0,3342.0,6763.423,35339.0,266841.0
2011-10-01,14566.426,76111.0,592816.0,438.251,2290.0,17836.0,541.164,2828.0,22024.0,,,,,,,81.381,425.0,3312.0,7137.65,37295.0,290484.0
2011-11-01,16698.502,87251.0,642656.0,207.419,1084.0,7983.0,786.445,4109.0,30267.0,,,,,,,83.251,435.0,3204.0,6215.558,32477.0,239211.0
2011-12-01,15672.522,81890.0,624456.0,44.127,231.0,1758.0,559.909,2926.0,22309.0,,,,,,,98.032,512.0,3906.0,6751.355,35276.0,269001.0
2012-01-01,15629.354,81665.0,627900.0,213.534,1116.0,8579.0,1921.323,10039.0,77188.0,,,,,,,91.252,477.0,3666.0,4842.188,25301.0,194532.0
2012-02-01,13749.486,71842.0,587064.0,315.885,1651.0,13487.0,2795.268,14606.0,119350.0,,,,,,,85.861,449.0,3666.0,4557.498,23813.0,194592.0
2012-03-01,19047.671,99526.0,807432.0,41.338,216.0,1752.0,1861.073,9724.0,78891.0,,,,,,,98.231,513.0,4164.0,5217.812,27264.0,221183.0
2012-04-01,15550.254,81251.0,691656.0,314.242,1642.0,13977.0,3487.215,18221.0,155107.0,,,,,,,60.029,314.0,2670.0,3187.0,16652.0,141754.0
2012-05-01,19593.079,102375.0,797796.0,47.382,248.0,1929.0,1199.413,6267.0,48838.0,,,,,,,80.308,420.0,3270.0,4259.844,22258.0,173453.0
2012-06-01,16389.037,85634.0,694176.0,382.365,1998.0,16196.0,1892.029,9886.0,80139.0,,,,,,,84.994,444.0,3600.0,4511.962,23575.0,191109.0
2012-07-01,16690.111,87207.0,627900.0,81.864,428.0,3080.0,1903.773,9947.0,71622.0,,,,,,,98.243,513.0,3696.0,5213.343,27240.0,196132.0
2012-08-01,16539.978,86423.0,627900.0,221.624,1158.0,8413.0,2743.308,14334.0,104143.0,,,,,,,89.773,469.0,3408.0,4765.247,24899.0,180901.0
2012-09-01,17833.323,93181.0,746544.0,79.207,414.0,3316.0,1931.81,10094.0,80870.0,,,,,,,84.276,440.0,3528.0,4470.686,23360.0,187153.0
2012-10-01,14774.592,77198.0,743820.0,71.37,373.0,3593.0,1326.281,6930.0,66771.0,,,,,,,73.057,382.0,3678.0,3876.826,20257.0,195177.0
2012-11-01,19669.372,102774.0,743820.0,95.015,496.0,3593.0,1765.674,9226.0,66771.0,,,,,,,97.26,508.0,3678.0,5161.207,26968.0,195177.0
2012-12-01,18059.773,94364.0,760608.0,22.694,119.0,956.0,2489.449,13008.0,104846.0,,,,,,,104.426,546.0,4398.0,5542.729,28961.0,233438.0
2013-01-01,11954.027,62461.0,705292.0,14.253,74.0,841.0,694.792,3630.0,40993.0,8728.102,45605.0,514961.0,,,,123.327,644.0,7276.0,3678.009,19218.0,217004.0
2013-02-01,12275.302,64139.0,678368.0,81.965,428.0,4530.0,706.183,3690.0,39026.0,7113.098,37167.0,393090.0,,,,170.365,890.0,9415.0,3016.226,15760.0,166685.0
2013-03-01,3710.117,19386.0,198720.0,7.567,40.0,405.0,1199.158,6266.0,64229.0,6142.035,32093.0,328977.0,,,,78.15,408.0,4186.0,2871.829,15006.0,153820.0
2013-04-01,7308.164,38186.0,677556.0,0.579,3.0,54.0,810.116,4233.0,75108.0,13802.971,72122.0,1279704.0,,,,127.851,668.0,11853.0,1978.945,10340.0,183472.0
2013-05-01,7601.385,39718.0,724849.0,0.5,3.0,48.0,393.054,2054.0,37481.0,15602.085,81522.0,1487776.0,,,,88.613,463.0,8450.0,2342.334,12239.0,223359.0
2013-06-01,8141.509,42540.0,731125.0,0.199,1.0,18.0,167.859,877.0,15074.0,15016.226,78461.0,1348489.0,,,,62.585,327.0,5620.0,2189.213,11439.0,196596.0
2013-07-01,7299.61,38141.0,745091.0,0.234,1.0,24.0,307.357,1606.0,31373.0,14654.509,76571.0,1495826.0,,,,51.101,267.0,5216.0,2090.333,10922.0,213366.0
2013-08-01,7621.803,39825.0,707960.0,0.064,0.0,6.0,373.938,1954.0,34734.0,13480.939,70439.0,1252192.0,,,,90.55,473.0,8411.0,2117.546,11064.0,196691.0
2013-09-01,7636.123,39899.0,662151.0,0.55,3.0,48.0,397.732,2078.0,34489.0,12528.882,65464.0,1086417.0,,,,73.536,384.0,6377.0,2233.681,11671.0,193689.0
2013-10-01,8245.453,43083.0,698007.0,0.211,1.0,18.0,1114.653,5824.0,94359.0,12849.988,67142.0,1087797.0,,,,128.931,674.0,10914.0,1849.761,9665.0,156589.0
2013-11-01,8353.838,43650.0,706950.0,0.0,0.0,0.0,497.584,2600.0,42108.0,13311.269,69552.0,1126477.0,,,,67.954,355.0,5751.0,2264.687,11833.0,191651.0
2013-12-01,8137.496,42519.0,695153.0,0.07,0.0,6.0,498.735,2606.0,42605.0,13723.785,71708.0,1172367.0,,,,107.005,559.0,9141.0,2286.563,11947.0,195332.0
2014-01-01,7278.952,38033.0,703099.0,56.989,298.0,5505.0,625.037,3266.0,60374.0,14339.936,74927.0,1385144.0,,,,68.849,360.0,6650.0,2246.568,11739.0,217004.0
2014-02-01,5735.793,29970.0,622363.0,21.326,111.0,2314.0,276.511,1445.0,30003.0,14828.499,77480.0,1608969.0,,,,61.171,320.0,6637.0,1536.196,8027.0,166685.0
2014-03-01,7508.751,39234.0,701672.0,14.159,74.0,1323.0,454.481,2375.0,42470.0,15825.252,82688.0,1478827.0,,,,142.335,744.0,13301.0,1646.057,8601.0,153820.0
