measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,29.0,99.0,99.0
2023-04-01,-1.0,0.0,0.0,163.0,556.0,556.0
2023-05-01,-6.0,0.0,0.0,230.0,785.0,785.0
2023-06-01,-5.0,0.0,0.0,173.0,590.0,590.0
2023-07-01,-40.0,0.0,0.0,191.0,652.0,652.0
2023-08-01,-6.0,0.0,0.0,169.0,577.0,577.0
2023-09-01,-5.0,0.0,0.0,140.0,478.0,478.0
2023-10-01,-7.0,0.0,0.0,116.0,396.0,396.0
2023-11-01,-6.0,0.0,0.0,116.0,396.0,396.0
2023-12-01,-4.0,0.0,0.0,74.0,252.0,252.0
2024-01-01,-4.0,0.0,0.0,47.0,160.0,160.0
2024-02-01,-7.0,0.0,0.0,119.0,406.0,406.0
2024-03-01,-4.0,0.0,0.0,144.0,491.0,491.0
2024-04-01,-4.0,0.0,0.0,160.0,546.0,546.0
2024-05-01,-6.0,0.0,0.0,183.0,624.0,624.0
2024-06-01,-8.0,0.0,0.0,201.0,686.0,686.0
2024-07-01,-7.0,0.0,0.0,182.0,621.0,621.0
2024-08-01,-8.0,0.0,0.0,177.0,604.0,604.0
2024-09-01,-3.0,0.0,0.0,145.0,495.0,495.0
2024-10-01,-4.0,0.0,0.0,154.0,525.0,525.0
2024-11-01,-6.0,0.0,0.0,121.0,413.0,413.0
2024-12-01,-2.0,0.0,0.0,67.0,229.0,229.0
