measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,338438.0,3600325.0,3600325.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4592.0,48851.0,48851.0,67142.0,714263.0,714263.0,,,
2003-02-01,154429.0,1739315.0,1739315.0,,,,0.0,0.0,0.0,,,,4664.0,52532.0,52532.0,42632.0,480162.0,480162.0,,,
2003-03-01,250932.0,2769503.0,2769503.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4831.0,53320.0,53320.0,54746.0,604218.0,604218.0,,,
2003-04-01,90763.0,987299.0,987299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6581.0,71586.0,71586.0,0.0,0.0,0.0,,,
2003-05-01,146949.0,1618932.0,1618932.0,0.0,0.0,0.0,,,,,,,9357.0,103088.0,103088.0,1537.0,16930.0,16930.0,,,
2003-06-01,189875.0,2154099.0,2154099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386.0,27067.0,27067.0,11530.0,130806.0,130806.0,,,
2003-07-01,243666.0,2776361.0,2776361.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820.0,66319.0,66319.0,8057.0,91798.0,91798.0,,,
2003-08-01,290910.0,3015097.0,3015097.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31666.0,328202.0,328202.0,0.0,0.0,0.0,,,
2003-09-01,234880.0,2563553.0,2563553.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3772.0,41174.0,41174.0,0.0,0.0,0.0,,,
2003-10-01,223312.0,2356420.0,2356420.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.21,55230.0,55230.0,0.0,0.0,0.0,,,
2003-11-01,248544.0,2588423.0,2588423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4110.0,42800.0,42800.0,0.0,0.0,0.0,,,
2003-12-01,51173.0,549481.0,549481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,6126.0,6126.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,,,,,,,,,,-3421.0,110.0,110.0,0.0,0.0,0.0,,,
2004-02-01,196991.0,2100360.0,2100360.0,,,,,,,,,,14304.0,152513.0,152513.0,891.0,9503.0,9503.0,,,
2004-03-01,303127.0,3057607.0,3057607.0,,,,,,,,,,5252.0,52981.0,52981.0,0.0,0.0,0.0,,,
2004-04-01,243963.0,2472280.0,2472280.0,,,,,,,,,,3909.0,39614.0,39614.0,0.0,0.0,0.0,,,
2004-05-01,138286.0,1465789.0,1465789.0,,,,,,,,,,17419.0,184635.0,184635.0,25273.0,267890.0,267890.0,,,
2004-06-01,330805.0,3478571.0,3478571.0,,,,,,,,,,32060.0,337122.0,337122.0,0.0,0.0,0.0,,,
2004-07-01,354926.0,3651631.0,3651631.0,,,,,,,,,,22068.0,227050.0,227050.0,0.0,0.0,0.0,,,
2004-08-01,220765.0,2316031.0,2316031.0,,,,,,,,,,17174.0,180172.0,180172.0,0.0,0.0,0.0,,,
2004-09-01,312144.0,3176071.0,3176071.0,,,,,,,,,,333.0,3390.0,3390.0,0.0,0.0,0.0,,,
2004-10-01,289787.0,3039090.0,3039090.0,,,,,,,,,,57.0,595.0,595.0,0.0,0.0,0.0,,,
