measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225126.0,2506604.0,2506604.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,52.0,907.0,907.0,193021.0,2127636.0,2127636.0,,,,1633.0,18004.0,18004.0
2003-03-01,0.0,0.0,0.0,,,,43.0,747.0,747.0,142092.0,1506691.0,1506691.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,21.0,362.0,362.0,157986.0,1780111.0,1780111.0,,,,1014.0,11420.0,11420.0
2003-05-01,0.0,0.0,0.0,,,,14.0,278.0,278.0,153394.0,1728291.0,1728291.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,206025.0,2323808.0,2323808.0,,,,1565.0,17650.0,17650.0
2003-07-01,0.0,0.0,0.0,,,,11.0,189.0,189.0,211754.0,2441388.0,2441388.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,930.0,16533.0,16533.0,304960.0,3351843.0,3351843.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,528.0,9092.0,9092.0,280648.0,3148872.0,3148872.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,426.0,7383.0,7383.0,300986.0,3326463.0,3326463.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,155028.0,1767280.0,1767280.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,201.0,3550.0,3550.0,106529.0,1282641.0,1282641.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,111.0,1922.0,1922.0,139751.0,1584967.0,1584967.0,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,421.0,7436.0,7436.0,226156.0,2401929.0,2401929.0,,,,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,246.0,4345.0,4345.0,356797.0,3927786.0,3927786.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1071.0,1071.0,292005.0,3167814.0,3167814.0,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2584.0,2584.0,268994.0,2983822.0,2983822.0,,,,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,34.0,587.0,587.0,237008.0,2647777.0,2647777.0,,,,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1412.0,1412.0,256265.0,2901113.0,2901113.0,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,12.0,207.0,207.0,224415.0,2571174.0,2571174.0,,,,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,261.0,4495.0,4495.0,304028.0,3423193.0,3423193.0,,,,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,824.0,14371.0,14371.0,260422.0,2868850.0,2868850.0,,,,0.0,0.0,0.0
2004-11-01,196.0,3411.0,3411.0,0.0,0.0,0.0,167.0,2913.0,2913.0,240616.0,2647873.0,2647873.0,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,484.0,8275.0,8275.0,289553.0,3097970.0,3097970.0,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,,,,66.0,1150.56,1150.56,228544.0,2514162.3,2514162.3,,,,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,,,,141.0,2459.22,2459.22,202599.0,2238249.24,2238249.24,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,,,,27.0,471.24,471.24,217959.0,2438957.7,2438957.7,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,,,,40.0,688.5,688.5,299958.0,3295843.38,3295843.38,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,,,,65.0,1118.94,1118.94,200953.0,2256234.9,2256234.9,,,,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,72158.0,936890.4,936890.4,,,,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,,,,124.0,2134.86,2134.86,105770.0,1376532.84,1376532.84,,,,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,,,,21.0,362.1,362.1,133812.0,1692371.76,1692371.76,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,57930.0,816070.38,816070.38,,,,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,,,,69.0,1188.3,1188.3,72390.0,982418.1,982418.1,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,131762.0,1584246.66,1584246.66,,,,507.0,6063.49,6063.49
2005-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,140962.0,1664505.36,1664505.36,,,,250.0,2957.8,2957.8
2006-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,130563.0,1586193.0,1586193.0,,,,794.0,9645.0,9645.0
2006-02-01,0.0,0.0,0.0,,,,25.0,445.0,445.0,163717.0,1965587.0,1965587.0,,,,808.0,8681.0,8681.0
2006-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,171129.0,1943797.0,1943797.0,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,,,,,,,101865.0,1256810.0,1256810.0,,,,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,,,,,,,30376.0,460269.0,460269.0,,,,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,,,,,,,89649.0,1135952.0,1135952.0,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,,,,,,,214883.0,2558442.0,2558442.0,,,,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,,,,,,,81930.0,1105091.0,1105091.0,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,,,,61720.0,833780.0,833780.0,,,,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,,,,,,,55063.0,713850.0,713850.0,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,,,,,,,90284.0,1123464.0,1123464.0,,,,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,,,,,,,60778.0,805306.0,805306.0,,,,0.0,0.0,0.0
2007-01-01,5.383,87.0,87.0,,,,38.617000000000004,626.0,626.0,19144.0,319942.0,319942.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,,,,115.0,1872.0,1872.0,6226.001,107864.0,107864.0,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,,,,231.0,3734.0,3734.0,-1327.999,11647.0,11647.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,314.0,5020.0,5020.0,9861.001,141975.0,141975.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,,,,102.0,1627.0,1627.0,45219.001000000004,688665.0,688665.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,,,,12.0,325.0,325.0,22968.0,313632.0,313632.0,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,,,,267.0,3938.0,3938.0,46235.0,617360.0,617360.0,,,,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,,,,221.0,3349.0,3349.0,120219.001,1504902.0,1504902.0,,,,0.0,0.0,0.0
