measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,9511.772,190740.0,282864.0,13134.023000000001,263381.0,390588.0,148.847,2980.0,4420.0,1204.2160000000001,24154.0,35820.0,,,
2003-02-01,8883.735,178336.0,266832.0,13152.269,264010.0,395021.0,129.64100000000002,2605.0,3898.0,748.0740000000001,15021.0,22475.0,0.0,0.0,0.0
2003-03-01,10129.244,202982.0,300792.0,14275.82,286072.0,423918.0,67.221,1346.0,1995.0,780.724,15647.0,23187.0,0.0,0.0,0.0
2003-04-01,7603.655000000001,166582.0,256512.0,11584.099,253775.0,390775.0,41.293,897.0,1380.0,817.215,17911.0,27579.0,0.0,0.0,0.0
2003-05-01,7815.8820000000005,161179.0,257900.0,9090.2,187470.0,299970.0,86.427,1784.0,2854.0,771.121,15895.0,25434.0,,,
2003-06-01,8946.155,165557.0,277104.0,14003.0,248848.0,416514.0,95.0,1681.0,2812.0,943.0,16760.0,28052.0,,,
2003-07-01,9095.001,175874.0,286370.0,13905.0,258223.0,420457.0,105.0,1956.0,3186.0,812.0,15076.0,24547.0,,,
2003-08-01,10963.745,161063.0,309059.0,14891.0,210076.0,403110.0,107.0,1509.0,2896.0,775.0,10928.0,20971.0,,,
2003-09-01,6257.3150000000005,176680.0,260620.0,8922.147,251943.0,371640.0,46.094,1306.0,1926.0,811.4540000000001,22920.0,33809.0,,,
2003-10-01,11552.409,166563.0,235426.0,21058.0,291561.0,412105.0,706.0,9776.0,13817.0,5255.0,72766.0,102850.0,,,
2003-11-01,7525.871,189408.0,285646.0,12000.0,290011.0,437366.0,64.0,1552.0,2340.0,518.0,12508.0,18863.0,,,
2003-12-01,8153.907,220053.0,317190.0,11301.771,305001.0,439636.0,96.99,2623.0,3780.0,664.528,17921.0,25832.0,,,
2004-01-01,7853.38133,70172.5,313640.4,8964.05846,80096.76,357997.5,152.78067,1365.14,6101.6,1109.34754,9912.38,44304.0,0.0,0.0,0.0
2004-02-01,5615.39649,50175.38,272465.7,8745.72596,78145.89,424353.0,161.73140999999998,1445.12,7847.4,434.77915,3884.89,21096.0,0.0,0.0,0.0
2004-03-01,9610.28672,85871.02,311102.32,14403.61486,128700.96,466271.0,102.31126,914.18,3312.0,721.94617,6450.82,23370.7,0.0,0.0,0.0
2004-04-01,10526.72571,94059.69,324898.56,14452.97009,129141.96,446078.8,234.73828,2097.46,7245.0,782.80792,6994.64,24160.71,0.0,0.0,0.0
2004-05-01,8257.04826,73779.39,272324.48,11071.51534,98927.57,365148.0,157.60661,1408.27,5198.0,614.8298,5493.7,20277.61,0.0,0.0,0.0
2004-06-01,10362.73119,92594.35,323606.52,13621.22508,121710.04,425362.5,41.24514,368.54,1288.0,540.23358,4827.16,16870.37,0.0,0.0,0.0
2004-07-01,12372.13077,110548.99,339797.9,15285.30132,136579.1,419807.5,154.50695,1380.57,4243.5,400.71497,3580.52,11005.55,0.0,0.0,0.0
2004-08-01,11927.18388,106573.24,334537.28,14215.49407,127020.03,398720.5,285.15984000000003,2548.0,7998.25,621.89322,5556.82,17443.05,0.0,0.0,0.0
2004-09-01,5848.11969,52254.84,241035.06,10248.68557,91575.32,422408.0,350.58745,3132.61,14449.75,257.02629,2296.61,10593.55,0.0,0.0,0.0
2004-10-01,9419.34727,84164.92,316771.77,12306.74244,109964.73,413874.6,23.42409,209.3,787.75,470.8672,4207.35,15835.22,0.0,0.0,0.0
2004-11-01,11212.11349,100183.86,353673.41,14847.53309,132667.51,468348.6,61.794900000000005,552.16,1949.25,212.86452,1902.01,6714.57,0.0,0.0,0.0
2004-12-01,11455.54433,102358.99,357709.12,14948.89765,133573.23,466792.05,65.7388,587.4,2052.75,470.07622,4200.28,14678.53,0.0,0.0,0.0
2005-01-01,9159.56867,81843.7,325172.43,11393.67801,101806.19,404485.2,208.45278,1862.59,7400.25,482.05754,4307.34,17113.45,,,
2005-02-01,9934.46028,88767.61,316051.25,13237.61518,118282.37,421136.6,196.64526999999998,1757.09,6256.0,256.58027,2292.63,8162.75,,,
2005-03-01,11776.48934,105226.74,359561.13,15090.89023,134841.99,460756.8,88.70168,792.58,2708.25,419.19074,3745.6,12798.78,,,
2005-04-01,10278.64179,91842.98,311810.73,13327.47014,119085.25,404299.35,212.48004,1898.58,6445.75,362.72303,3241.05,11003.49,,,
2005-05-01,8226.80609,73509.17,307561.38,9802.81898,87591.35,366481.05,83.51550999999999,746.24,3122.25,215.14542,1922.39,8043.27,,,
2005-06-01,13179.69811,117764.86,356361.18,15833.73716,141479.55,428122.8,85.70141,765.77,2317.25,332.13831,2967.76,8980.57,,,
2005-07-01,12989.65789,116066.79,365061.06,15816.47799,141325.35,444505.95,34.37236,307.13,966.0,204.72475,1829.28,5753.58,,,
2005-08-01,13332.61113,119131.19,360940.38,15945.74032,142480.34,431683.0,90.05615999999999,804.68,2438.0,241.48239,2157.72,6537.41,,,
2005-09-01,9074.13155,81080.3,262627.47,15658.20696,139911.14,453186.65,371.91065,3323.14,10764.0,152.60084,1363.54,4416.64,,,
2005-10-01,12097.2663,108092.98,352063.5,16104.37806,143897.82,468681.4,81.40129,727.35,2369.0,181.20635,1619.14,5273.6,,,
2005-11-01,12003.26799,107253.08,353924.97,14562.72003,130122.61,429392.25,137.87184,1231.93,4065.25,464.94714,4154.45,13709.3,,,
2005-12-01,11940.77576,106694.69,349584.0,15845.17826,141581.79,463891.2,68.15195,608.96,1995.25,432.49003,3864.44,12661.79,,,
