measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,678.0,11499.0,11499.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,141.0,3125.0,3125.0,,,,212.0,4698.0,4698.0,,,,1.0,22.0,22.0,325.0,7816.0,7816.0,,,
2003-03-01,1008.0,16982.0,16982.0,,,,438.0,7373.0,7373.0,,,,0.0,0.0,0.0,24.0,400.0,400.0,,,
2003-04-01,1027.0,15606.0,15606.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,680.0,14110.0,14110.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-07-01,589.0,11034.0,11034.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2059.0,28651.0,28651.0,,,
2003-08-01,922.0,17556.0,17556.0,,,,1022.0,19471.0,19471.0,,,,5.0,93.0,93.0,5548.0,71346.0,71346.0,,,
2003-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,384.0,6424.0,6424.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,1948.0,30705.0,30705.0,,,,1416.0,24511.0,24511.0,,,,0.0,0.0,0.0,0.0,3550.0,3550.0,0.0,0.0,0.0
2004-02-01,331.0,6192.0,6192.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2069.0,2069.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,270.0,5556.0,5556.0,0.0,459.0,459.0,0.0,0.0,0.0
2004-04-01,0.0,3126.0,3126.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,179.0,179.0,0.0,0.0,0.0
2004-05-01,283.0,5776.0,5776.0,,,,439.0,5959.0,5959.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
