measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,32.0,951.0,951.0,539.0,14650.0,14650.0
2003-02-01,0.0,0.0,0.0,-247.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,4081.0,56515.0,56515.0
2003-05-01,0.0,0.0,0.0,-164.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,14451.0,196567.0,196567.0
2003-07-01,0.0,0.0,0.0,33152.0,448141.0,448141.0
2003-08-01,0.0,0.0,0.0,21223.0,286887.0,286887.0
2003-09-01,0.0,0.0,0.0,11884.0,157389.0,157389.0
2003-10-01,0.0,0.0,0.0,5145.0,66654.0,66654.0
2003-11-01,41.0,551.0,551.0,4889.0,64332.0,64332.0
2003-12-01,2782.0,48355.0,48355.0,2329.0,39912.0,39912.0
2004-01-01,9184.0,113216.0,113216.0,7115.0,87563.0,87563.0
2004-02-01,27.0,588.0,588.0,909.0,20030.0,20030.0
2004-03-01,0.0,0.0,0.0,1385.0,25924.0,25924.0
2004-04-01,10.0,274.0,274.0,313.0,8272.0,8272.0
2004-05-01,0.0,0.0,0.0,1276.0,21245.0,21245.0
2004-06-01,244.0,3660.0,3660.0,8593.0,129065.0,129065.0
2004-07-01,1401.0,18618.0,18618.0,26377.0,348607.0,348607.0
2004-08-01,0.0,0.0,0.0,12317.0,202192.0,202192.0
2004-09-01,97.0,1407.0,1407.0,15989.0,230672.0,230672.0
2004-10-01,71.0,1048.0,1048.0,5120.0,75709.0,75709.0
2004-11-01,0.0,0.0,0.0,4151.0,62634.0,62634.0
2004-12-01,2217.0,30516.0,30516.0,8878.0,118120.0,118120.0
2005-01-01,109.0,2052.49,2052.49,4119.0,77644.37,77644.37
2005-02-01,45.0,789.75,789.75,1344.0,23770.21,23770.21
2005-03-01,0.0,0.0,0.0,10930.0,145108.24,145108.24
2005-04-01,0.0,0.0,0.0,24923.0,475671.69,475671.69
2005-05-01,0.0,0.0,0.0,27975.0,277691.58,277691.58
2005-06-01,10389.0,127807.37,127807.37,48387.0,595498.25,595498.25
2005-07-01,1628.0,18339.01,18339.01,59190.0,667240.53,667240.53
2005-08-01,0.0,0.0,0.0,38400.0,530767.61,530767.61
2005-09-01,0.0,0.0,0.0,15506.0,223875.81,223875.81
2005-10-01,0.0,0.0,0.0,4394.0,49120.38,49120.38
2005-11-01,0.0,0.0,0.0,10456.0,168337.09,168337.09
2005-12-01,275.0,4259.97,4259.97,6944.0,107501.88,107501.88
2006-01-01,0.0,0.0,0.0,-360.0,2836.0,2836.0
2006-02-01,238.0,4588.0,4588.0,868.0,16716.0,16716.0
2006-03-01,704.0,11776.0,11776.0,1179.0,19724.0,19724.0
2006-04-01,0.0,0.0,0.0,-400.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,6047.0,98291.0,98291.0
2006-06-01,0.0,0.0,0.0,32967.0,420343.0,420343.0
2006-07-01,0.0,0.0,0.0,84761.0,1070214.0,1070214.0
2006-08-01,0.0,0.0,0.0,51568.0,646949.0,646949.0
2006-09-01,186.0,3036.0,3036.0,6814.0,111251.0,111251.0
2006-10-01,0.0,0.0,0.0,4031.0,58962.0,58962.0
