measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,460.0,1570.0,1570.0
2024-05-01,968.0,3303.0,3303.0
2024-06-01,1202.0,4101.0,4101.0
2024-07-01,1235.0,4214.0,4214.0
2024-08-01,1206.0,4115.0,4115.0
2024-09-01,846.0,2887.0,2887.0
2024-10-01,989.0,3374.0,3374.0
2024-11-01,580.0,1979.0,1979.0
2024-12-01,426.0,1454.0,1454.0
