measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,138844.0,1650309.0,1650309.0,0.0,0.0,0.0,0.0,0.0,0.0,4428.0,51276.0,51276.0
2003-02-01,,,,127242.0,1530270.0,1530270.0,0.0,0.0,0.0,0.0,0.0,0.0,5194.0,61587.0,61587.0
2003-03-01,,,,98453.0,1205177.0,1205177.0,0.0,0.0,0.0,0.0,0.0,0.0,5281.0,63990.0,63990.0
2003-04-01,,,,129122.0,1467714.0,1467714.0,0.0,0.0,0.0,0.0,0.0,0.0,4398.0,48903.0,48903.0
2003-05-01,,,,38244.0,467624.0,467624.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.0,17280.0,17280.0
2003-06-01,,,,44272.0,560222.0,560222.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,21856.0,21856.0
2003-07-01,,,,120503.0,1496564.0,1496564.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.0,35207.0,35207.0
2003-08-01,,,,105768.0,1331750.0,1331750.0,0.0,0.0,0.0,0.0,0.0,0.0,3711.0,46438.0,46438.0
2003-09-01,,,,35810.0,450869.0,450869.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,25345.0,25345.0
2003-10-01,,,,23603.0,308254.0,308254.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,16230.0,16230.0
