measured_on,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Steam Part Generation,Kerosene-Combined Cycle Steam Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,8980.0,76037.0,76037.0,,,,2287.0,19363.0,19363.0,253.0,2626.0,2626.0
2003-02-01,2557.0,22180.0,22180.0,,,,16.0,135.0,135.0,0.0,0.0,0.0
2003-03-01,21.0,180.0,180.0,,,,3435.0,28858.0,28858.0,0.0,0.0,0.0
2003-04-01,181.0,1596.0,1596.0,,,,280.0,2465.0,2465.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,10090.0,86767.0,86767.0,776.0,8070.0,8070.0
2003-07-01,0.0,0.0,0.0,,,,21913.0,186029.0,186029.0,1492.0,15513.0,15513.0
2003-08-01,0.0,0.0,0.0,,,,27386.0,234187.0,234187.0,2297.0,23889.0,23889.0
2003-09-01,0.0,0.0,0.0,,,,13974.0,122030.0,122030.0,983.0,10229.0,10229.0
2003-10-01,0.0,0.0,0.0,,,,256.0,3437.0,3437.0,13.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,307.0,3047.0,3047.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,325.0,3182.0,3182.0,12.0,125.0,125.0
2004-01-01,0.0,0.0,0.0,,,,3598.447,31553.0,31553.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,4665.0070000000005,40905.0,40905.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,4585.416,40207.0,40207.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,5417.37,47502.0,47502.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,7995.169000000001,70105.0,70105.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,,,,7468.375,65486.0,65486.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,8509.456,74614.0,74614.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,10135.503,88872.0,88872.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,,,,7082.676,62104.0,62104.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,,,,4276.685,37500.0,37500.0,0.0,0.0,0.0
