measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2017-01-01,0.0,0.0,0.0,4762.139,70573.0,70573.0
2017-02-01,0.0,0.0,0.0,4135.562,61287.0,61287.0
2017-03-01,0.0,0.0,0.0,4511.795,66862.0,66862.0
2017-04-01,0.0,0.0,0.0,3913.94,58002.0,58002.0
2017-05-01,0.0,0.0,0.0,4237.248,62794.0,62794.0
2017-06-01,0.0,0.0,0.0,5301.914,78571.0,78571.0
2017-07-01,0.0,0.0,0.0,6747.741,99998.0,99998.0
2017-08-01,0.0,0.0,0.0,6384.366,94613.0,94613.0
2017-09-01,0.0,0.0,0.0,5288.326,78371.0,78371.0
2017-10-01,0.0,0.0,0.0,4234.386,62752.0,62752.0
2017-11-01,0.0,0.0,0.0,3833.858,56816.0,56816.0
2017-12-01,0.0,0.0,0.0,4620.725,68476.0,68476.0
2018-01-01,0.0,0.0,0.0,4299.335,60972.0,60972.0
2018-02-01,0.0,0.0,0.0,3740.901,53052.0,53052.0
2018-03-01,0.0,0.0,0.0,4158.274,58972.0,58972.0
2018-04-01,0.0,0.0,0.0,4299.618,60976.0,60976.0
2018-05-01,0.0,0.0,0.0,4773.227,67693.0,67693.0
2018-06-01,0.0,0.0,0.0,5545.677,78648.0,78648.0
2018-07-01,0.0,0.0,0.0,7865.26,111543.0,111543.0
2018-08-01,0.0,0.0,0.0,8204.893,116359.0,116359.0
2018-09-01,0.0,0.0,0.0,6124.884,86862.0,86862.0
2018-10-01,0.0,0.0,0.0,5102.078,72356.0,72356.0
2018-11-01,0.0,0.0,0.0,4394.664,62324.0,62324.0
2018-12-01,0.0,0.0,0.0,4354.189,61750.0,61750.0
2019-01-01,70.623,677.0,677.0,4041.805,85872.0,85872.0
