measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,243.0,2676.0,2676.0,130326.0,1435397.0,1435397.0
2003-02-01,,,,100.0,1105.0,1105.0,136059.0,1509449.0,1509449.0
2003-03-01,,,,133.0,1448.0,1448.0,141383.0,1542709.0,1542709.0
2003-04-01,,,,229.0,2561.0,2561.0,106226.0,1186297.0,1186297.0
2003-05-01,,,,196.0,2152.0,2152.0,105164.0,1152555.0,1152555.0
2003-06-01,,,,133.0,1530.0,1530.0,114727.0,1319049.0,1319049.0
2003-07-01,,,,91.0,1029.0,1029.0,128770.0,1459641.0,1459641.0
2003-08-01,,,,51.0,587.0,587.0,129416.0,1503660.0,1503660.0
2003-09-01,,,,190.0,2069.0,2069.0,103719.0,1128028.0,1128028.0
2003-10-01,,,,58.0,776.0,776.0,134606.0,1808164.0,1808164.0
2003-11-01,,,,95.0,1076.0,1076.0,126125.0,1425715.0,1425715.0
2003-12-01,,,,182.0,1985.0,1985.0,133356.0,1451466.0,1451466.0
2004-01-01,,,,307.0,3471.0,3471.0,130399.0,1474622.0,1474622.0
2004-02-01,,,,186.0,2149.0,2149.0,121519.0,1405468.0,1405468.0
2004-03-01,,,,87.0,1009.0,1009.0,139651.0,1627062.0,1627062.0
2004-04-01,,,,92.0,1055.0,1055.0,132457.0,1514049.0,1514049.0
2004-05-01,,,,193.0,2189.0,2189.0,108777.0,1231575.0,1231575.0
2004-06-01,,,,334.0,3755.0,3755.0,123368.0,1387587.0,1387587.0
