measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,94367.0,1046920.0,1046920.0
2003-02-01,252874.0,2786758.0,2786758.0
2003-03-01,279429.0,3055165.0,3055165.0
2003-04-01,144952.0,1698202.0,1698202.0
2003-05-01,170001.0,2067329.0,2067329.0
2003-06-01,125208.0,1539959.0,1539959.0
2003-07-01,269715.0,3146944.0,3146944.0
2003-08-01,204401.0,2239293.0,2239293.0
2003-09-01,150261.0,1704913.0,1704913.0
2003-10-01,186623.0,2085987.0,2085987.0
2003-11-01,76044.0,845616.0,845616.0
2004-01-01,100152.0,1072259.0,1072259.0
2004-02-01,136161.0,1435998.0,1435998.0
2004-03-01,239017.0,2492756.0,2492756.0
2004-04-01,225252.0,2382479.0,2382479.0
2004-05-01,295620.0,3258562.0,3258562.0
2004-06-01,155555.0,1792017.0,1792017.0
2004-07-01,183286.0,2196403.0,2196403.0
2004-08-01,155758.0,1854323.0,1854323.0
2004-09-01,181892.0,2055840.0,2055840.0
2004-10-01,876.0,22195.0,22195.0
2004-11-01,53143.0,575310.0,575310.0
2004-12-01,73892.0,818175.0,818175.0
2005-01-01,87025.0,924311.83,924311.83
2005-02-01,16400.0,182971.44,182971.44
2005-03-01,-327.0,531.48,531.48
2005-04-01,-313.0,299.44,299.44
2005-05-01,130502.0,1482964.13,1482964.13
2005-06-01,64119.0,736038.84,736038.84
2005-07-01,207834.0,2323255.64,2323255.64
2005-08-01,118635.0,1286348.78,1286348.78
2005-09-01,18747.0,220190.62,220190.62
2005-10-01,4018.0,61678.06,61678.06
2005-11-01,6766.0,87600.98,87600.98
2005-12-01,-544.0,524.72,524.72
2006-01-01,-533.0,543.0,543.0
2006-02-01,26716.0,303249.0,303249.0
2006-03-01,12804.0,153044.0,153044.0
2006-04-01,51532.0,532992.0,532992.0
2006-05-01,46319.0,533669.0,533669.0
2006-06-01,56862.0,754774.0,754774.0
2006-07-01,182720.0,2129811.0,2129811.0
2006-08-01,-526.0,444.0,444.0
2006-09-01,-494.0,363.0,363.0
2006-10-01,13852.0,163583.0,163583.0
2006-11-01,50519.0,608820.0,608820.0
2006-12-01,2410.0,31127.0,31127.0
2007-01-01,-512.0,243.0,243.0
2007-02-01,-514.0,163.0,163.0
2007-03-01,-504.999,231.0,231.0
2007-04-01,-546.0,9007.0,9007.0
2007-05-01,-378.0,57.0,57.0
2007-06-01,801.0,16095.0,16095.0
2007-07-01,24801.999,353464.0,353464.0
2007-08-01,123259.0,1334361.0,1334361.0
2007-09-01,42811.0,514769.0,514769.0
2007-10-01,-463.0,186.0,186.0
2007-11-01,3426.0,47085.0,47085.0
2007-12-01,-501.0,132.0,132.0
2008-01-01,-507.0,65.0,65.0
2008-02-01,-476.0,188.0,188.0
2008-03-01,17160.0,229823.0,229823.0
2008-04-01,4220.0,67115.0,67115.0
2008-05-01,49770.0,670545.0,670545.0
2008-06-01,4602.0,58055.0,58055.0
2008-07-01,60770.0,700394.0,700394.0
2008-08-01,20338.0,233208.0,233208.0
2008-09-01,14736.0,167087.0,167087.0
2008-10-01,2625.0,37882.0,37882.0
2008-11-01,-461.0,62.0,62.0
2008-12-01,7292.0,86319.0,86319.0
2009-01-01,-603.0,0.0,0.0
2009-02-01,1296.0,18423.0,18423.0
2009-03-01,3656.0,49711.0,49711.0
2009-04-01,9692.0,121299.0,121299.0
2009-05-01,50441.0,633820.0,633820.0
2009-06-01,26463.0,360567.0,360567.0
2009-07-01,29273.0,372818.0,372818.0
2009-08-01,7868.0,94077.0,94077.0
2009-09-01,68197.0,765161.0,765161.0
2009-10-01,-487.0,0.0,0.0
2009-11-01,-489.0,0.0,0.0
2009-12-01,18559.0,201412.0,201412.0
2010-01-01,-500.0,0.0,0.0
2010-02-01,-479.0,0.0,0.0
2010-03-01,4592.0,61326.0,61326.0
2010-04-01,5728.0,66836.0,66836.0
2010-05-01,-485.0,0.0,0.0
2010-06-01,-445.0,0.0,0.0
2010-07-01,10923.0,128729.0,128729.0
2010-08-01,16738.0,184793.0,184793.0
2010-09-01,18229.0,203570.0,203570.0
2010-10-01,-461.0,0.0,0.0
2010-11-01,-472.0,0.0,0.0
2010-12-01,-506.0,0.0,0.0
2011-01-01,-552.0,0.0,0.0
2011-02-01,-440.0,0.0,0.0
2011-03-01,6879.0,93832.0,93832.0
2011-04-01,3521.0,47383.0,47383.0
2011-05-01,-449.0,0.0,0.0
2011-06-01,-437.0,0.0,0.0
2011-07-01,-449.0,0.0,0.0
2011-08-01,-458.0,0.0,0.0
2011-09-01,11492.0,144008.0,144008.0
2011-10-01,6500.0,90411.0,90411.0
2011-11-01,4157.0,59116.0,59116.0
2011-12-01,-490.0,0.0,0.0
2012-01-01,-501.0,0.0,0.0
2012-02-01,-507.0,0.0,0.0
2012-03-01,81.0,11391.0,11391.0
2012-04-01,29545.0,367027.0,367027.0
2012-05-01,-445.0,0.0,0.0
2012-06-01,1515.0,25377.0,25377.0
2012-07-01,1014.0,21145.0,21145.0
2012-08-01,61111.0,735580.0,735580.0
2012-09-01,2579.0,45454.0,45454.0
2012-10-01,58415.0,690964.0,690964.0
2012-11-01,57655.0,679765.0,679765.0
2012-12-01,9134.0,117100.0,117100.0
2013-01-01,-547.0,0.0,0.0
2013-02-01,19586.0,251911.0,251911.0
2013-03-01,4764.0,70440.0,70440.0
2013-04-01,34703.0,446526.0,446526.0
2013-05-01,-446.0,0.0,0.0
2013-06-01,22739.0,309368.0,309368.0
2013-07-01,18407.0,251732.0,251732.0
2013-08-01,2461.0,38595.0,38595.0
2013-09-01,4514.0,63943.0,63943.0
2013-10-01,2126.0,35760.0,35760.0
2013-11-01,1203.0,20114.0,20114.0
2013-12-01,7319.0,88314.0,88314.0
2014-01-01,-471.0,0.0,0.0
2014-02-01,12152.0,160637.0,160637.0
2014-03-01,-472.0,0.0,0.0
2014-04-01,11526.0,153447.0,153447.0
2014-05-01,27911.0,368129.0,368129.0
2014-06-01,1664.0,26092.0,26092.0
2014-07-01,-426.0,374.0,374.0
2014-08-01,2308.0,32714.0,32714.0
2014-09-01,14442.0,204193.0,204193.0
2014-10-01,4746.0,67679.0,67679.0
