measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,1.6460000000000001,19.0,19.0,835.90705,24196.7,32179.4,683.92395,19797.3,26328.6,,,,,,,,,
2003-02-01,1.5410000000000001,17.0,17.0,782.54495,22652.3,30125.15,640.26405,18533.7,24647.85,,,,,,,,,
2003-03-01,1.489,17.0,17.0,756.0058,21883.95,29103.25,618.5502,17905.05,23811.75,,,,,,,,,
2003-04-01,1.425,16.0,16.0,723.8715000000001,20953.9,27866.3,592.2585,17144.1,22799.7,,,,,,,,,
2003-05-01,1.4460000000000002,16.0,16.0,734.4106,21259.15,28272.2,600.8814,17393.85,23131.8,,,,,,,,,
2003-06-01,1.5090000000000001,17.0,17.0,766.36945,22184.25,29502.55,627.02955,18150.75,24138.45,,,,,,,,,
2003-07-01,1.74,20.0,20.0,883.76805,25582.15,34021.9,723.08295,20930.85,27836.1,,,,,,,,,
2003-08-01,1.764,20.0,20.0,896.02865,25937.45,34493.8,733.1143500000001,21221.55,28222.2,,,,,,,,,
2003-09-01,1.5290000000000001,17.0,17.0,776.42895,22475.2,29889.75,635.26005,18388.8,24455.25,,,,,,,,,
2003-10-01,1.585,18.0,18.0,805.0757,23304.6,30992.5,658.6983,19067.4,25357.5,,,,,,,,,
2003-11-01,1.627,18.0,18.0,826.3145000000001,23919.5,31809.8,676.0755,19570.5,26026.2,,,,,,,,,
2003-12-01,1.6980000000000002,19.0,19.0,862.47535,24966.15,33201.85,705.66165,20426.85,27165.15,,,,,,,,,
2004-01-01,0.912,10.27,12.58,869.9181000000001,10558.16,32962.76,711.79823,8639.07,26971.31,,,,,,,51.60167,626.29,1955.28
2004-02-01,0.264,2.98,3.65,872.45691,10588.98,32962.76,713.87558,8664.28,26971.31,,,,,,,46.98551,570.26,1775.18
2004-03-01,0.21,2.37,2.9,871.61893,10578.81,32962.76,713.18991,8655.96,26971.31,,,,,,,48.509159999999994,588.75,1834.51
2004-04-01,0.496,5.6,6.84,872.8482300000001,10593.73,32962.76,714.19577,8668.17,26971.31,,,,,,,46.274,561.63,1747.52
