measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2022-01-01,,,,112.085,382.0,382.0
2022-02-01,,,,118.331,404.0,404.0
2022-03-01,,,,115.793,395.0,395.0
2022-04-01,,,,102.864,351.0,351.0
2022-05-01,,,,92.654,316.0,316.0
2022-06-01,0.0,0.0,0.0,75.132,256.0,256.0
2022-07-01,0.0,0.0,0.0,65.183,222.0,222.0
2022-08-01,0.0,0.0,0.0,53.835,184.0,184.0
2022-09-01,0.0,0.0,0.0,62.244,212.0,212.0
2022-10-01,0.0,0.0,0.0,111.289,380.0,380.0
2022-11-01,0.0,0.0,0.0,128.875,440.0,440.0
2022-12-01,0.0,0.0,0.0,119.715,408.0,408.0
2023-01-01,0.0,0.0,0.0,65.0,222.0,222.0
2023-02-01,0.0,0.0,0.0,160.0,546.0,546.0
2023-03-01,0.0,0.0,0.0,271.0,925.0,925.0
2023-04-01,0.0,0.0,0.0,248.0,846.0,846.0
2023-05-01,0.0,0.0,0.0,361.0,1232.0,1232.0
2023-06-01,0.0,0.0,0.0,355.0,1211.0,1211.0
2023-07-01,0.0,0.0,0.0,363.0,1239.0,1239.0
2023-08-01,0.0,0.0,0.0,310.0,1058.0,1058.0
2023-09-01,0.0,0.0,0.0,242.0,826.0,826.0
2023-10-01,0.0,0.0,0.0,140.0,478.0,478.0
2023-11-01,0.0,0.0,0.0,109.0,372.0,372.0
2023-12-01,0.0,0.0,0.0,54.0,184.0,184.0
2024-01-01,73.0,249.0,249.0,,,
2024-02-01,127.0,433.0,433.0,,,
2024-03-01,208.0,710.0,710.0,,,
2024-04-01,256.0,873.0,873.0,,,
2024-05-01,337.0,1150.0,1150.0,,,
2024-06-01,298.0,1017.0,1017.0,,,
2024-07-01,375.0,1280.0,1280.0,,,
2024-08-01,297.0,1013.0,1013.0,,,
2024-09-01,164.0,560.0,560.0,,,
2024-10-01,190.0,648.0,648.0,,,
2024-11-01,86.0,293.0,293.0,,,
2024-12-01,57.0,194.0,194.0,,,
