measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,34006.0,335200.0,335200.0,1420.0,13634.0,13634.0,,,,,,
2003-02-01,35839.0,346775.0,346775.0,1308.0,12330.0,12330.0,,,,,,
2003-03-01,38376.0,387296.0,387296.0,1645.0,15549.0,15549.0,,,,,,
2003-04-01,33258.0,329025.0,329025.0,990.0,9544.0,9544.0,,,,,,
2003-05-01,31595.0,335112.0,335112.0,857.0,9229.0,9229.0,,,,,,
2003-06-01,30258.0,319704.0,319704.0,672.0,7211.0,7211.0,,,,,,
2003-07-01,28067.0,320625.0,320625.0,236.0,2631.0,2631.0,,,,,,
2003-08-01,36629.0,386475.0,386475.0,71.0,735.0,735.0,,,,,,
2003-09-01,30230.0,328248.0,328248.0,65.0,719.0,719.0,,,,,,
2003-10-01,32789.0,350088.0,350088.0,60.0,648.0,648.0,,,,,,
2003-11-01,29015.0,319344.0,319344.0,329.0,3674.0,3674.0,,,,,,
2003-12-01,33438.0,365712.0,365712.0,142.0,1579.0,1579.0,,,,,,
2004-01-01,34989.298,384645.0,384645.0,273.32800000000003,2928.0,2928.0,,,,,,
2004-02-01,30469.441,334957.0,334957.0,137.61700000000002,1474.0,1474.0,,,,,,
2004-03-01,27262.593,299704.0,299704.0,94.562,1013.0,1013.0,,,,,,
2004-04-01,22538.174,247767.0,247767.0,127.32100000000001,1364.0,1364.0,,,,,,
