measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,1290.631,36865.0,196819.0,646.347,19032.0,101613.0,,,,44.257000000000005,1264.0,6746.0
2003-02-01,1229.531,35120.0,187501.0,615.748,18131.0,96803.0,,,,42.161,1204.0,6426.0
2003-03-01,1121.8020000000001,32043.0,171073.0,561.798,16543.0,88321.0,,,,38.467,1098.0,5863.0
2003-04-01,1079.5,30834.0,164622.0,540.613,15919.0,84991.0,,,,37.017,1057.0,5642.0
2003-05-01,1150.54,32863.0,175455.0,576.19,16967.0,90584.0,,,,39.453,1126.0,6014.0
2003-06-01,1188.603,33951.0,181260.0,595.2520000000001,17528.0,93580.0,,,,40.758,1164.0,6213.0
2003-07-01,1187.6290000000001,33923.0,181111.0,594.764,17514.0,93504.0,,,,40.725,1163.0,6207.0
2003-08-01,1274.0710000000001,36392.0,194293.0,638.0540000000001,18788.0,100309.0,,,,43.689,1247.0,6659.0
2003-09-01,1085.95,31018.0,165605.0,543.8430000000001,16014.0,85498.0,,,,37.238,1063.0,5676.0
2003-10-01,1108.019,31649.0,168971.0,554.895,16340.0,87236.0,,,,37.995,1085.0,5791.0
2003-11-01,1082.227,30912.0,165038.0,541.979,15959.0,85205.0,,,,37.11,1059.0,5657.0
2003-12-01,1199.497,34262.0,182921.0,600.7080000000001,17689.0,94438.0,,,,41.131,1174.0,6269.0
