measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,275.0,2476.0,2476.0,232.0,1727.0,1727.0
2001-02-01,237.0,2179.0,2179.0,222.0,1690.0,1690.0
2001-03-01,257.0,2341.0,2341.0,142.0,1072.0,1072.0
2001-04-01,260.0,2158.0,2158.0,0.0,0.0,0.0
2001-05-01,261.0,2224.0,2224.0,,,
2001-06-01,266.0,2268.0,2268.0,0.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,254.0,3822.0,3822.0
2001-08-01,79.0,841.0,841.0,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0
