measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2019-09-01,137.491,1224.0,1224.0
2019-10-01,115.138,1025.0,1025.0
2019-11-01,68.522,610.0,610.0
2019-12-01,60.849,542.0,542.0
2020-01-01,58.973,517.0,517.0
2020-02-01,166.521,1460.0,1460.0
2020-03-01,178.913,1569.0,1569.0
2020-04-01,253.488,2222.0,2222.0
2020-05-01,288.341,2528.0,2528.0
2020-06-01,264.22,2316.0,2316.0
2020-07-01,325.628,2855.0,2855.0
2020-08-01,283.583,2486.0,2486.0
2020-09-01,190.088,1667.0,1667.0
2020-10-01,146.605,1285.0,1285.0
2020-11-01,98.585,864.0,864.0
2020-12-01,66.055,579.0,579.0
2021-01-01,65.316,578.0,578.0
2021-02-01,173.904,1538.0,1538.0
2021-03-01,208.075,1840.0,1840.0
2021-04-01,222.594,1969.0,1969.0
2021-05-01,259.919,2299.0,2299.0
2021-06-01,304.197,2690.0,2690.0
2021-07-01,314.409,2781.0,2781.0
2021-08-01,277.338,2453.0,2453.0
2021-09-01,225.081,1991.0,1991.0
2021-10-01,117.213,1037.0,1037.0
2021-11-01,93.698,829.0,829.0
2021-12-01,38.256,338.0,338.0
2022-01-01,95.048,324.0,324.0
2022-02-01,122.38,418.0,418.0
2022-03-01,158.77,542.0,542.0
2022-04-01,168.79,576.0,576.0
2022-05-01,235.673,804.0,804.0
2022-06-01,264.549,903.0,903.0
2022-07-01,289.284,987.0,987.0
2022-08-01,246.834,842.0,842.0
2022-09-01,190.931,651.0,651.0
2022-10-01,155.89,532.0,532.0
2022-11-01,88.697,303.0,303.0
2022-12-01,45.154,154.0,154.0
2023-01-01,35.0,119.0,119.0
2023-02-01,124.0,423.0,423.0
2023-03-01,137.0,467.0,467.0
2023-04-01,112.0,382.0,382.0
2023-05-01,270.0,921.0,921.0
2023-06-01,272.0,928.0,928.0
2023-07-01,251.0,856.0,856.0
2023-08-01,245.0,836.0,836.0
2023-09-01,160.0,546.0,546.0
2023-10-01,117.0,399.0,399.0
2023-11-01,115.0,392.0,392.0
2023-12-01,69.0,235.0,235.0
2024-01-01,27.0,92.0,92.0
2024-02-01,181.0,618.0,618.0
2024-03-01,203.0,693.0,693.0
2024-04-01,221.0,754.0,754.0
2024-05-01,294.0,1003.0,1003.0
2024-06-01,247.0,843.0,843.0
2024-07-01,295.0,1007.0,1007.0
2024-08-01,289.0,986.0,986.0
2024-09-01,290.0,989.0,989.0
2024-10-01,251.0,856.0,856.0
2024-11-01,95.0,324.0,324.0
2024-12-01,62.0,212.0,212.0
