measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,35.782000000000004,454.0,454.0,1922.601,43630.5,43630.5,239.739,5441.0,5441.0,,,,111.56,2532.0,2532.0,163.643,3714.0,3714.0
2003-02-01,32.978,418.0,418.0,1771.9435,40211.5,40211.5,220.952,5014.0,5014.0,,,,102.818,2333.0,2333.0,150.81900000000002,3423.0,3423.0
2003-03-01,32.481,412.0,412.0,1745.2135,39605.0,39605.0,217.619,4939.0,4939.0,,,,101.26700000000001,2298.0,2298.0,148.544,3371.0,3371.0
2003-04-01,32.623000000000005,414.0,414.0,1752.893,39779.0,39779.0,218.577,4960.0,4960.0,,,,101.71300000000001,2308.0,2308.0,149.198,3386.0,3386.0
2003-05-01,28.483,361.0,361.0,1530.4074999999998,34730.0,34730.0,190.834,4331.0,4331.0,,,,88.803,2015.0,2015.0,130.261,2956.0,2956.0
2003-06-01,34.418,437.0,437.0,1849.315,41967.0,41967.0,230.6,5233.0,5233.0,,,,107.308,2435.0,2435.0,157.405,3572.0,3572.0
2003-07-01,44.67,567.0,567.0,2400.192,54468.5,54468.5,299.29200000000003,6792.0,6792.0,,,,139.27200000000002,3161.0,3161.0,204.293,4637.0,4637.0
2003-08-01,44.4,563.0,563.0,2385.678,54139.0,54139.0,297.482,6751.0,6751.0,,,,138.43,3141.0,3141.0,203.05700000000002,4608.0,4608.0
2003-09-01,36.7,466.0,466.0,1971.9530000000002,44750.5,44750.5,245.893,5580.0,5580.0,,,,114.424,2597.0,2597.0,167.84300000000002,3809.0,3809.0
2003-10-01,40.677,516.0,516.0,2185.594,49598.5,49598.5,272.533,6185.0,6185.0,,,,126.82,2878.0,2878.0,186.02700000000002,4222.0,4222.0
2003-11-01,36.809000000000005,467.0,467.0,1977.7920000000004,44883.0,44883.0,246.621,5597.0,5597.0,,,,114.762,2604.0,2604.0,168.34,3821.0,3821.0
2003-12-01,36.479,463.0,463.0,1960.0475000000001,44480.0,44480.0,244.40800000000002,5546.0,5546.0,,,,113.733,2581.0,2581.0,166.83,3786.0,3786.0
2004-01-01,329.12100000000004,6687.0,6687.0,1840.613,37409.5,37409.5,31.775,646.0,646.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
2004-02-01,0.0,0.0,0.0,1902.9240000000002,38676.0,38676.0,17.757,361.0,361.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
2004-03-01,0.0,0.0,0.0,2112.8075,42941.5,42941.5,3.5020000000000002,71.0,71.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
2004-04-01,0.0,0.0,0.0,2135.2525,43398.0,43398.0,16.092000000000002,327.0,327.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
2004-05-01,0.0,0.0,0.0,2183.1155,44370.5,44370.5,1.9320000000000002,39.0,39.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
2004-06-01,0.0,0.0,0.0,2077.579,42225.5,42225.5,13.042,265.0,265.0,,,,134.911,2742.0,2742.0,148.491,3018.0,3018.0
