measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2007-01-01,0.0,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,,,
2007-04-01,4224.3910000000005,41753.88,41753.88,,,
2007-05-01,3579.637,35381.13,35381.13,,,
2007-06-01,4147.151,40990.44,40990.44,,,
2007-07-01,4098.528,40509.85,40509.85,,,
2007-08-01,4191.534000000001,41429.12,41429.12,,,
2007-09-01,4049.043,40020.74,40020.74,,,
2007-10-01,4155.696,41074.9,41074.9,,,
2007-11-01,4117.805,40700.38,40700.38,,,
2007-12-01,4325.215,42750.43,42750.43,,,
2008-01-01,2487.9700000000003,24516.46,24516.46,,,
2008-02-01,1995.2910000000002,19661.600000000002,19661.600000000002,,,
2008-03-01,7271.138,71649.79000000001,71649.79000000001,,,
2008-04-01,7946.8910000000005,78308.66,78308.66,,,
2008-05-01,7796.073,76822.5,76822.5,,,
2008-06-01,7279.394,71731.15000000001,71731.15000000001,,,
2008-07-01,7198.081,70929.89,70929.89,,,
2008-08-01,7191.745,70867.46,70867.46,,,
2008-09-01,6925.534000000001,68244.21,68244.21,,,
2008-10-01,7663.784000000001,75518.93000000001,75518.93000000001,,,
2008-11-01,7590.247,74794.29000000001,74794.29000000001,,,
2008-12-01,7995.852000000001,78791.13,78791.13,,,
2009-01-01,7085.995,69159.31,69159.31,,,
2009-02-01,6477.1630000000005,63217.11,63217.11,,,
2009-03-01,7320.036,71443.55,71443.55,,,
2009-04-01,6724.311000000001,65629.28,65629.28,,,
2009-05-01,6280.986,61302.42,61302.42,,,
2009-06-01,6606.6050000000005,64480.46,64480.46,,,
2009-07-01,6555.633000000001,63982.98,63982.98,,,
2009-08-01,6643.784000000001,64843.33,64843.33,,,
2009-09-01,6393.381,62399.4,62399.4,,,
