measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2013-01-01,10827.0,128399.0,128399.0,892.0,0.0,0.0,8060.674,91677.0,99984.0
2013-02-01,9624.0,114440.0,114440.0,815.0,0.0,0.0,7680.218,87350.0,95265.0
2013-03-01,10625.0,126753.0,126753.0,1038.0,0.0,0.0,8228.048,93580.0,102061.0
2013-04-01,8753.0,105866.0,105866.0,1044.0,0.0,0.0,7746.984,88109.0,96093.0
2013-05-01,9729.0,117708.0,117708.0,1670.0,0.0,0.0,8850.39,100658.0,109780.0
2013-06-01,9122.0,111729.0,111729.0,1615.0,0.0,0.0,7753.326,88181.0,96172.0
2013-07-01,8976.0,113069.0,113069.0,1777.0,0.0,0.0,10235.837,116416.0,126965.0
2013-08-01,9093.0,113485.0,113485.0,1664.0,0.0,0.0,9080.677,103278.0,112637.0
2013-09-01,8925.0,110016.0,110016.0,1617.0,0.0,0.0,8455.715,96170.0,104885.0
2013-10-01,7856.0,93698.0,93698.0,1186.0,0.0,0.0,7579.522,86204.0,94017.0
2013-11-01,10302.0,120190.0,120190.0,757.0,0.0,0.0,7755.416,88205.0,96199.0
2013-12-01,10844.0,126488.0,126488.0,340.0,0.0,0.0,7312.193,83164.0,90701.0
2014-01-01,10532.0,125072.0,125072.0,418.0,0.0,0.0,5801.222,67392.0,73258.0
2014-02-01,9907.0,116058.0,116058.0,757.0,0.0,0.0,6345.823,73719.0,80137.0
2014-03-01,10497.0,125088.0,125088.0,940.0,0.0,0.0,6710.567,77956.0,84743.0
