measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2018-12-01,-1.0,0.0,0.0,221.0,2012.0,2012.0
2019-01-01,-3.732,0.0,0.0,392.357,3494.0,3494.0
2019-02-01,-3.005,0.0,0.0,457.811,4077.0,4077.0
2019-03-01,-3.409,0.0,0.0,695.421,6193.0,6193.0
2019-04-01,-3.177,0.0,0.0,808.823,7203.0,7203.0
2019-05-01,-2.918,0.0,0.0,842.115,7499.0,7499.0
2019-06-01,-3.442,0.0,0.0,1018.067,9066.0,9066.0
2019-07-01,-3.549,0.0,0.0,1004.705,8947.0,8947.0
2019-08-01,-3.874,0.0,0.0,983.987,8762.0,8762.0
2019-09-01,-3.483,0.0,0.0,804.695,7166.0,7166.0
2019-10-01,-3.781,0.0,0.0,739.381,6584.0,6584.0
2019-11-01,-3.219,0.0,0.0,472.86,4211.0,4211.0
2019-12-01,-3.411,0.0,0.0,304.778,2714.0,2714.0
2020-01-01,-0.157,0.0,0.0,420.332,3685.0,3685.0
2020-02-01,-0.121,0.0,0.0,569.779,4995.0,4995.0
2020-03-01,-0.185,0.0,0.0,557.564,4888.0,4888.0
2020-04-01,-0.164,0.0,0.0,702.687,6160.0,6160.0
2020-05-01,-0.159,0.0,0.0,919.641,8062.0,8062.0
2020-06-01,-0.141,0.0,0.0,915.779,8029.0,8029.0
2020-07-01,-0.167,0.0,0.0,1034.388,9068.0,9068.0
2020-08-01,-0.167,0.0,0.0,856.962,7513.0,7513.0
2020-09-01,-0.18,0.0,0.0,672.884,5899.0,5899.0
2020-10-01,-0.192,0.0,0.0,621.965,5453.0,5453.0
2020-11-01,-0.19,0.0,0.0,491.709,4311.0,4311.0
2020-12-01,-0.177,0.0,0.0,389.31,3413.0,3413.0
2021-01-01,5.088,0.0,0.0,407.319,3602.0,3602.0
2021-02-01,5.432,0.0,0.0,533.577,4719.0,4719.0
2021-03-01,6.112,0.0,0.0,688.941,6093.0,6093.0
2021-04-01,5.935,0.0,0.0,862.373,7627.0,7627.0
2021-05-01,5.022,0.0,0.0,939.971,8313.0,8313.0
2021-06-01,5.796,0.0,0.0,913.081,8075.0,8075.0
2021-07-01,5.803,0.0,0.0,874.557,7735.0,7735.0
2021-08-01,5.82,0.0,0.0,860.216,7608.0,7608.0
2021-09-01,6.466,0.0,0.0,741.729,6560.0,6560.0
2021-10-01,5.586,0.0,0.0,617.359,5460.0,5460.0
2021-11-01,5.992,0.0,0.0,491.228,4344.0,4344.0
2021-12-01,5.948,0.0,0.0,335.649,2968.0,2968.0
2022-01-01,-5.048,0.0,0.0,454.469,1551.0,1551.0
2022-02-01,-5.301,0.0,0.0,542.088,1850.0,1850.0
2022-03-01,-4.907,0.0,0.0,718.693,2452.0,2452.0
2022-04-01,-5.139,0.0,0.0,810.71,2766.0,2766.0
2022-05-01,-5.446,0.0,0.0,950.177,3242.0,3242.0
2022-06-01,-5.501,0.0,0.0,989.371,3376.0,3376.0
2022-07-01,-5.715,0.0,0.0,954.235,3256.0,3256.0
2022-08-01,-5.872,0.0,0.0,886.0,3023.0,3023.0
2022-09-01,-5.265,0.0,0.0,747.71,2551.0,2551.0
2022-10-01,-5.875,0.0,0.0,688.858,2350.0,2350.0
2022-11-01,-5.439,0.0,0.0,510.672,1742.0,1742.0
2022-12-01,-5.492,0.0,0.0,357.017,1218.0,1218.0
2023-01-01,-5.0,0.0,0.0,378.0,1290.0,1290.0
2023-02-01,-6.0,0.0,0.0,390.0,1331.0,1331.0
2023-03-01,-6.0,0.0,0.0,638.0,2177.0,2177.0
2023-04-01,-6.0,0.0,0.0,978.0,3337.0,3337.0
2023-05-01,-6.0,0.0,0.0,1009.0,3443.0,3443.0
2023-06-01,-6.0,0.0,0.0,1013.0,3456.0,3456.0
2023-07-01,-7.0,0.0,0.0,1024.0,3494.0,3494.0
2023-08-01,-7.0,0.0,0.0,926.0,3160.0,3160.0
2023-09-01,-6.0,0.0,0.0,742.0,2532.0,2532.0
2023-10-01,-6.0,0.0,0.0,638.0,2177.0,2177.0
2023-11-01,-6.0,0.0,0.0,466.0,1590.0,1590.0
2023-12-01,-6.0,0.0,0.0,327.0,1116.0,1116.0
2024-01-01,-6.0,0.0,0.0,325.0,1109.0,1109.0
2024-02-01,-6.0,0.0,0.0,460.0,1570.0,1570.0
2024-03-01,-6.0,0.0,0.0,722.0,2463.0,2463.0
2024-04-01,-5.0,0.0,0.0,678.0,2313.0,2313.0
2024-05-01,0.0,0.0,0.0,750.0,2559.0,2559.0
2024-06-01,0.0,0.0,0.0,702.0,2395.0,2395.0
2024-07-01,-16.0,0.0,0.0,670.0,2286.0,2286.0
2024-08-01,-7.0,0.0,0.0,591.0,2016.0,2016.0
2024-09-01,-1.0,0.0,0.0,547.0,1866.0,1866.0
2024-10-01,0.0,0.0,0.0,454.0,1549.0,1549.0
2024-11-01,0.0,0.0,0.0,383.0,1307.0,1307.0
2024-12-01,0.0,0.0,0.0,281.0,959.0,959.0
