measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Generation,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Municiapl Landfill Gas-Combined Cycle Steam Part Generation,Municiapl Landfill Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,4712.0,70944.0,70944.0,1920.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,,,,4472.0,65830.0,65830.0,1758.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,,,,5672.0,87895.0,87895.0,2426.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,,,,4950.0,70512.0,70512.0,1496.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,,,,5682.0,76667.0,76667.0,105.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,,5096.0,77963.0,77963.0,2317.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,,,,3567.0,82872.0,82872.0,2386.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,,,,3540.0,77492.0,77492.0,2566.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,,,,5014.0,82872.0,82872.0,2296.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,,5392.0,76881.0,76881.0,2875.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,,2820.0,58987.0,58987.0,2206.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,,,,1021.0,21208.0,21208.0,872.0,0.0,0.0,,,
2004-01-01,90.229,1418.0,1418.0,,,,3970.333,62138.0,62138.0,,,,3223.262,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,2667.7490000000003,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,1189.94,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,787.917,0.0,0.0
2004-05-01,0.5640000000000001,9.0,9.0,,,,3970.333,62138.0,62138.0,,,,2657.8230000000003,0.0,0.0
2004-06-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,641.707,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,2846.427,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,636.303,0.0,0.0
2004-09-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,3686.458,0.0,0.0
2004-10-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,1391.159,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,3970.333,62138.0,62138.0,,,,898.142,0.0,0.0
