measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,37888.0,440588.0,440588.0,26.0,296.0,296.0
2003-02-01,27630.0,337007.0,337007.0,15.0,180.0,180.0
2003-03-01,36046.0,435175.0,435175.0,21.0,255.0,255.0
2003-04-01,33563.0,408266.0,408266.0,19.0,220.0,220.0
2003-05-01,21892.0,272315.0,272315.0,7.0,81.0,81.0
2003-06-01,30029.0,378741.0,378741.0,17.0,209.0,209.0
2003-07-01,36418.0,455062.0,455062.0,20.0,244.0,244.0
2003-08-01,39184.0,491668.0,491668.0,18.0,220.0,220.0
2003-09-01,34867.0,442135.0,442135.0,11.0,139.0,139.0
2003-10-01,12853.0,165249.0,165249.0,24.0,302.0,302.0
2003-11-01,27687.0,345161.0,345161.0,17.0,209.0,209.0
2003-12-01,34539.0,421906.0,421906.0,19.0,232.0,232.0
2004-01-01,34486.0,417398.0,417398.0,30.0,366.0,366.0
2004-02-01,37630.0,455600.0,455600.0,13.0,156.0,156.0
2004-03-01,40634.0,486714.0,486714.0,13.0,156.0,156.0
2004-04-01,42511.0,509103.0,509103.0,21.0,248.0,248.0
2004-05-01,32646.0,413874.0,413874.0,18.0,234.0,234.0
2004-06-01,32967.0,423649.0,423649.0,29.0,378.0,378.0
2004-07-01,32225.0,418295.0,418295.0,16.0,210.0,210.0
2004-08-01,33691.0,423940.0,423940.0,19.0,246.0,246.0
2004-09-01,39422.0,493644.0,493644.0,11.0,138.0,138.0
2004-10-01,50462.0,625837.0,625837.0,11.0,144.0,144.0
2004-11-01,29102.0,357215.0,357215.0,7.0,83.0,83.0
2004-12-01,0.0,0.0,0.0,-359.0,94.0,94.0
2005-01-01,14966.0,183842.1,183842.1,17.0,206.5,206.5
2005-02-01,12487.0,152866.3,152866.3,6.0,76.7,76.7
2005-03-01,26325.0,319386.3,319386.3,23.0,312.7,312.7
2005-04-01,25000.0,312968.0,312968.0,16.0,212.4,212.4
2005-05-01,32023.0,397402.2,397402.2,12.0,153.4,153.4
2005-06-01,35388.0,443013.2,443013.2,14.0,194.7,194.7
2005-07-01,40851.0,514527.6,514527.6,12.0,162.4,162.4
2005-08-01,43959.0,547876.2,547876.2,17.0,226.2,226.2
