measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,1170.89,3689.0,3689.0,0.0,0.0,0.0
2003-02-01,930.9680000000001,2933.0,2933.0,0.0,0.0,0.0
2003-03-01,825.565,2601.0,2601.0,0.0,0.0,0.0
2003-04-01,830.666,2617.0,2617.0,0.0,0.0,0.0
2003-05-01,692.634,2182.0,2182.0,0.0,0.0,0.0
2003-06-01,881.913,2778.0,2778.0,0.0,0.0,0.0
2003-07-01,1056.44,3328.0,3328.0,0.0,0.0,0.0
2003-08-01,1089.048,3431.0,3431.0,0.0,0.0,0.0
2003-09-01,911.9490000000001,2873.0,2873.0,0.0,0.0,0.0
2003-10-01,822.649,2592.0,2592.0,0.0,0.0,0.0
2003-11-01,899.6560000000001,2834.0,2834.0,0.0,0.0,0.0
2003-12-01,1039.622,3275.0,3275.0,0.0,0.0,0.0
2004-01-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-02-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-03-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-04-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-05-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-06-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-07-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-08-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-09-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-10-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-11-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2004-12-01,481.333,8034.0,8034.0,0.0,0.0,0.0
2005-01-01,221.64800000000002,9719.13,9719.13,0.0,0.0,0.0
2005-02-01,197.728,8670.23,8670.23,0.0,0.0,0.0
2005-03-01,225.83200000000002,9902.6,9902.6,0.0,0.0,0.0
2005-04-01,225.365,9882.13,9882.13,0.0,0.0,0.0
2005-05-01,247.757,10863.97,10863.97,0.0,0.0,0.0
2005-06-01,245.455,10763.05,10763.05,0.0,0.0,0.0
2005-07-01,254.156,11144.57,11144.57,0.0,0.0,0.0
2005-08-01,253.007,11094.2,11094.2,0.0,0.0,0.0
2005-09-01,238.33100000000002,10450.66,10450.66,0.0,0.0,0.0
2005-10-01,240.577,10549.16,10549.16,0.0,0.0,0.0
2005-11-01,242.30200000000002,10624.79,10624.79,0.0,0.0,0.0
2005-12-01,242.842,10648.49,10648.49,0.0,0.0,0.0
