measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2020-12-01,-4.0,0.0,0.0
2024-01-01,-40.0,0.0,0.0
2024-02-01,-51.0,0.0,0.0
2024-03-01,-42.0,0.0,0.0
2024-04-01,-50.0,0.0,0.0
2024-05-01,-47.0,0.0,0.0
2024-06-01,-49.0,0.0,0.0
2024-07-01,-46.0,0.0,0.0
2024-08-01,-43.0,0.0,0.0
2024-09-01,-37.0,0.0,0.0
2024-10-01,-40.0,0.0,0.0
2024-11-01,-32.0,0.0,0.0
2024-12-01,-42.0,0.0,0.0
