measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,7.369000000000001,228.0,228.0,118.628,1789.0,1789.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,6.654,206.0,206.0,107.107,1616.0,1616.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,6.373,197.0,197.0,102.59400000000001,1547.0,1547.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,5.359,166.0,166.0,86.274,1301.0,1301.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,6.208,192.0,192.0,99.92800000000001,1507.0,1507.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,6.997000000000001,217.0,217.0,112.637,1699.0,1699.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,8.202,254.0,254.0,132.024,1991.0,1991.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,8.362,259.0,259.0,134.604,2030.0,2030.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,6.331,196.0,196.0,101.917,1537.0,1537.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,6.226,193.0,193.0,100.22200000000001,1512.0,1512.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,6.51,202.0,202.0,104.799,1581.0,1581.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,7.409000000000001,230.0,230.0,119.26400000000001,1799.0,1799.0,0.0,0.0,0.0
2004-01-01,2.14,37.0,37.0,0.0,0.0,0.0,10.92,189.0,189.0,0.41700000000000004,5.0,5.0
2004-02-01,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,4.9190000000000005,85.0,85.0,0.41700000000000004,5.0,5.0
2004-03-01,0.151,3.0,3.0,6.25,73.0,73.0,7.663,132.0,132.0,0.41700000000000004,5.0,5.0
2004-04-01,0.08600000000000001,2.0,2.0,0.48100000000000004,6.0,6.0,6.612,114.0,114.0,0.41700000000000004,5.0,5.0
2004-05-01,0.128,2.0,2.0,2.404,28.0,28.0,33.817,584.0,584.0,0.41700000000000004,5.0,5.0
2004-06-01,0.037000000000000005,1.0,1.0,1.923,22.0,22.0,24.192,418.0,418.0,0.41700000000000004,5.0,5.0
2004-07-01,0.009000000000000001,0.0,0.0,14.423,167.0,167.0,46.375,801.0,801.0,0.41700000000000004,5.0,5.0
2004-08-01,0.007,0.0,0.0,75.962,881.0,881.0,33.279,575.0,575.0,0.41700000000000004,5.0,5.0
2004-09-01,0.135,2.0,2.0,2.404,28.0,28.0,17.127000000000002,296.0,296.0,0.41700000000000004,5.0,5.0
2004-10-01,0.01,0.0,0.0,9.615,112.0,112.0,9.519,164.0,164.0,0.41700000000000004,5.0,5.0
2004-11-01,0.131,2.0,2.0,11.058,128.0,128.0,7.805,135.0,135.0,0.41700000000000004,5.0,5.0
2004-12-01,0.145,3.0,3.0,0.48100000000000004,6.0,6.0,10.773,186.0,186.0,0.41700000000000004,5.0,5.0
2005-01-01,1.072,13.97,13.97,27.108,288.08,288.08,138.946,1862.75,1862.75,0.544,5.98,5.98
2005-02-01,0.368,4.8,4.8,9.313,98.98,98.98,111.158,1490.21,1490.21,0.435,4.79,4.79
2005-03-01,0.40800000000000003,5.32,5.32,10.323,109.7,109.7,154.252,2067.94,2067.94,0.604,6.64,6.64
2005-04-01,0.49400000000000005,6.44,6.44,12.504000000000001,132.88,132.88,146.424,1963.0,1963.0,0.5730000000000001,6.31,6.31
2005-05-01,0.459,5.99,5.99,11.613000000000001,123.41,123.41,140.017,1877.1,1877.1,0.548,6.03,6.03
2005-06-01,0.596,7.76,7.76,15.072000000000001,160.18,160.18,264.31100000000004,3543.43,3543.43,1.035,11.38,11.38
2005-07-01,0.607,7.91,7.91,15.342,163.04,163.04,347.95300000000003,4664.75,4664.75,1.362,14.98,14.98
2005-08-01,0.7130000000000001,9.29,9.29,18.023,191.53,191.53,345.65700000000004,4633.97,4633.97,1.353,14.89,14.89
2005-09-01,0.467,6.08,6.08,11.798,125.38,125.38,209.273,2805.57,2805.57,0.8190000000000001,9.01,9.01
2005-10-01,0.518,6.75,6.75,13.102,139.23,139.23,148.387,1989.32,1989.32,0.5810000000000001,6.39,6.39
2005-11-01,0.41700000000000004,5.43,5.43,10.533000000000001,111.93,111.93,130.049,1743.48,1743.48,0.509,5.6,5.6
2005-12-01,0.881,11.47,11.47,22.271,236.68,236.68,162.573,2179.5,2179.5,0.636,7.0,7.0
2006-01-01,56.059000000000005,758.0,758.0,13.985,151.0,151.0,188.50300000000001,2920.0,2920.0,15.941,172.0,172.0
2006-02-01,29.334,397.0,397.0,7.3180000000000005,79.0,79.0,213.085,3300.0,3300.0,18.02,194.0,194.0
2006-03-01,24.641000000000002,333.0,333.0,6.147,66.0,66.0,280.795,4349.0,4349.0,23.746000000000002,256.0,256.0
2006-04-01,47.2,638.0,638.0,11.775,127.0,127.0,232.36800000000002,3599.0,3599.0,19.651,212.0,212.0
2006-05-01,44.121,597.0,597.0,11.007,119.0,119.0,306.088,4741.0,4741.0,25.885,279.0,279.0
2006-06-01,40.103,542.0,542.0,10.005,108.0,108.0,394.276,6107.0,6107.0,33.343,360.0,360.0
2006-07-01,58.089000000000006,786.0,786.0,14.492,156.0,156.0,705.543,10927.0,10927.0,59.665,644.0,644.0
2006-08-01,56.346000000000004,762.0,762.0,14.057,152.0,152.0,626.938,9710.0,9710.0,53.018,572.0,572.0
2006-09-01,25.886000000000003,350.0,350.0,6.458,70.0,70.0,368.77700000000004,5712.0,5712.0,31.186,337.0,337.0
2006-10-01,27.344,370.0,370.0,6.822,74.0,74.0,399.459,6187.0,6187.0,33.781,365.0,365.0
2006-11-01,32.199,435.0,435.0,8.033000000000001,87.0,87.0,268.553,4159.0,4159.0,22.711000000000002,245.0,245.0
2006-12-01,35.677,482.0,482.0,8.901,96.0,96.0,272.615,4222.0,4222.0,23.054000000000002,249.0,249.0
2007-01-01,3.052,57.0,57.0,7.699000000000001,91.0,91.0,3.3320000000000003,63.0,63.0,,,
2007-02-01,4.85,91.0,91.0,12.236,143.0,143.0,5.172000000000001,97.0,97.0,,,
2007-03-01,2.333,46.0,46.0,5.885,68.0,68.0,1.377,26.0,26.0,,,
2007-04-01,2.156,40.0,40.0,5.44,63.0,63.0,2.528,47.0,47.0,,,
2007-05-01,4.673,86.0,86.0,11.79,137.0,137.0,6.061,114.0,114.0,,,
2007-06-01,1.308,23.0,23.0,3.3,40.0,40.0,8.057,151.0,151.0,,,
2007-07-01,1.742,34.0,34.0,4.394,51.0,51.0,11.915,224.0,224.0,,,
2007-08-01,0.8170000000000001,17.0,17.0,2.061,23.0,23.0,18.186,341.0,341.0,,,
2007-09-01,2.262,40.0,40.0,5.708,68.0,68.0,7.875,148.0,148.0,,,
2007-10-01,2.69,51.0,51.0,6.787,80.0,80.0,6.561,123.0,123.0,,,
2007-11-01,2.769,51.0,51.0,6.987,80.0,80.0,5.523000000000001,104.0,104.0,,,
2007-12-01,3.849,74.0,74.0,9.71,114.0,114.0,5.9110000000000005,111.0,111.0,,,
2008-01-01,1.249,17.0,17.0,7.002000000000001,80.0,80.0,19.001,316.0,316.0,,,
2008-02-01,1.179,17.0,17.0,6.606000000000001,80.0,80.0,10.198,170.0,170.0,,,
2008-03-01,0.894,17.0,17.0,5.01,63.0,63.0,12.841000000000001,214.0,214.0,,,
2008-04-01,0.934,17.0,17.0,5.232,63.0,63.0,7.7170000000000005,129.0,129.0,,,
2008-05-01,0.8470000000000001,11.0,11.0,4.747,57.0,57.0,5.019,84.0,84.0,,,
2008-06-01,1.012,17.0,17.0,5.668,68.0,68.0,15.125,252.0,252.0,,,
2008-07-01,0.9450000000000001,17.0,17.0,5.296,63.0,63.0,24.298000000000002,405.0,405.0,,,
2008-08-01,0.652,11.0,11.0,3.653,46.0,46.0,21.802,363.0,363.0,,,
2008-09-01,1.0510000000000002,17.0,17.0,5.889,68.0,68.0,10.744,179.0,179.0,,,
2008-10-01,0.878,17.0,17.0,4.917,57.0,57.0,23.3,388.0,388.0,,,
2008-11-01,0.738,11.0,11.0,4.1370000000000005,51.0,51.0,19.924,332.0,332.0,,,
2008-12-01,1.935,34.0,34.0,10.843,131.0,131.0,16.717000000000002,279.0,279.0,,,
2009-01-01,2.331,34.0,34.0,10.083,108.0,108.0,27.807000000000002,468.0,468.0,,,
2009-02-01,1.2830000000000001,23.0,23.0,5.549,63.0,63.0,24.006,405.0,405.0,,,
