measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,42728.0,495849.0,495849.0
2003-02-01,8939.0,101136.0,101136.0,85507.0,967459.0,967459.0
2003-03-01,3499.0,41200.0,41200.0,29671.0,349359.0,349359.0
2003-04-01,0.0,0.0,0.0,14590.0,181226.0,181226.0
2003-05-01,0.0,0.0,0.0,74171.0,902536.0,902536.0
2003-06-01,0.0,0.0,0.0,48489.0,607126.0,607126.0
2003-07-01,0.0,0.0,0.0,32017.0,415132.0,415132.0
2003-08-01,0.0,0.0,0.0,38978.0,538794.0,538794.0
2003-09-01,0.0,0.0,0.0,49742.0,627115.0,627115.0
2003-10-01,0.0,0.0,0.0,33304.0,422490.0,422490.0
2003-11-01,0.0,0.0,0.0,37385.0,474267.0,474267.0
2003-12-01,0.0,0.0,0.0,34404.0,424817.0,424817.0
2004-01-01,0.0,0.0,0.0,37873.327,464867.0,464867.0
2004-02-01,0.0,0.0,0.0,39107.546,480016.0,480016.0
2004-03-01,0.0,0.0,0.0,38117.163,467860.0,467860.0
2004-04-01,0.0,0.0,0.0,41680.177,511593.0,511593.0
2004-05-01,0.0,0.0,0.0,53639.287,658382.0,658382.0
2004-06-01,0.0,0.0,0.0,67241.661,825341.0,825341.0
2004-07-01,0.0,0.0,0.0,88419.674,1085285.0,1085285.0
2004-08-01,0.0,0.0,0.0,84195.782,1033440.0,1033440.0
2004-09-01,0.0,0.0,0.0,59430.409,729464.0,729464.0
2004-10-01,0.0,0.0,0.0,54601.693,670195.0,670195.0
2004-11-01,0.0,0.0,0.0,29196.215,358362.0,358362.0
2004-12-01,0.0,0.0,0.0,32844.065,403136.0,403136.0
2005-01-01,0.0,0.0,0.0,17467.154000000002,222551.9,222551.9
2005-02-01,0.0,0.0,0.0,15765.928,200876.3,200876.3
2005-03-01,0.0,0.0,0.0,17014.631,216786.23,216786.23
2005-04-01,0.0,0.0,0.0,17096.347,217827.39,217827.39
2005-05-01,0.0,0.0,0.0,18777.019,239241.12,239241.12
2005-06-01,0.0,0.0,0.0,24117.988,307291.28,307291.28
2005-07-01,0.0,0.0,0.0,30883.533,393492.21,393492.21
2005-08-01,0.0,0.0,0.0,32005.17,407783.17,407783.17
2005-09-01,0.0,0.0,0.0,24138.73,307555.56,307555.56
2005-10-01,0.0,0.0,0.0,18736.319000000003,238722.54,238722.54
2005-11-01,0.0,0.0,0.0,16717.269,212997.5,212997.5
2005-12-01,0.0,0.0,0.0,19073.912,243023.87,243023.87
2008-11-01,,,,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0
