measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-05-01,2015.0610000000001,11100.0,74250.0,17216.67,94889.0,634392.0,3267.397,18008.0,120395.0,10.258000000000001,57.0,378.0,1975.981,10890.0,72810.0,,,,9237.487000000001,50911.0,340379.0
2007-06-01,1594.5320000000002,8800.0,58525.0,16888.097999999998,93073.0,619853.0,3025.822,16677.0,111058.0,90.45700000000001,498.0,3320.0,2331.109,12840.0,85560.0,,,,8704.817000000001,47974.0,319498.0
2007-07-01,1363.736,7525.0,56175.0,15417.517,84972.0,635078.0,4072.2830000000004,22445.0,167745.0,115.16600000000001,636.0,4744.0,2320.353,12780.0,95580.0,,,,6932.5470000000005,38206.0,285566.0
2007-08-01,1613.5320000000002,8900.0,61350.0,17044.186999999998,93935.0,648057.0,2887.85,15916.0,109802.0,0.0,0.0,0.0,3370.665,18570.0,128160.0,,,,8877.682,48931.0,337549.0
2007-09-01,1897.9180000000001,10450.0,70850.0,16362.564,90187.0,610821.0,3297.806,18176.0,123108.0,0.0,0.0,0.0,2645.567,14580.0,98760.0,,,,8085.272,44558.0,301826.0
2007-10-01,1275.1760000000002,7025.0,48650.0,16682.489,91944.0,636464.0,3162.6710000000003,17431.0,120661.0,0.0,0.0,0.0,3480.326,19170.0,132780.0,,,,8764.961000000001,48312.0,334397.0
2007-11-01,1640.607,9050.0,67300.0,15402.753,84891.0,631842.0,3780.1620000000003,20834.0,155068.0,0.0,0.0,0.0,2411.9120000000003,13290.0,98940.0,,,,7256.012000000001,39988.0,297652.0
2007-12-01,2774.449,15300.0,125350.0,14586.283,80397.0,659010.0,3597.815,19829.0,162550.0,2.092,13.0,95.0,1680.606,9270.0,75930.0,,,,8151.735000000001,44930.0,368297.0
2008-01-01,1270.63,6725.0,43350.0,20828.671,110240.0,710610.0,1333.506,7058.0,45495.0,136.648,723.0,4662.0,3862.012,20440.0,131760.0,,,,5974.533,31621.0,203833.0
2008-02-01,1623.016,8590.0,56175.0,20043.746,106085.0,693744.0,1130.127,5981.0,39115.0,0.0,0.0,0.0,2994.67,15850.0,103650.0,,,,5110.441,27048.0,176880.0
2008-03-01,1866.134,9877.0,65050.0,18507.439,97954.0,645135.0,2496.021,13211.0,87007.0,0.0,0.0,0.0,3873.6980000000003,20502.0,135030.0,,,,4653.709,24631.0,162220.0
2008-04-01,1163.827,6160.0,43425.0,13601.535,71989.0,507504.0,2416.21,12788.0,90154.0,0.0,0.0,0.0,1911.1680000000001,10115.0,71310.0,,,,3803.261,20129.0,141908.0
2008-05-01,1108.7540000000001,5868.0,34925.0,22646.75,119862.0,713357.0,1122.122,5939.0,35346.0,0.0,0.0,0.0,3874.3680000000004,20506.0,122040.0,,,,5844.006,30930.0,184082.0
2008-06-01,1153.886,6107.0,37350.0,22381.799,118460.0,724474.0,651.3960000000001,3448.0,21085.0,0.0,0.0,0.0,3770.289,19955.0,122040.0,,,,5810.629,30754.0,188084.0
2008-07-01,662.264,3505.0,21250.0,24243.934,128316.0,777913.0,668.356,3537.0,21445.0,0.0,0.0,0.0,3482.7290000000003,18433.0,111750.0,,,,6133.717000000001,32464.0,196812.0
2008-08-01,591.514,3131.0,18350.0,25759.358,136336.0,799109.0,51.27,271.0,1590.0,0.0,0.0,0.0,3378.882,17883.0,104820.0,,,,6005.977,31788.0,186318.0
2008-09-01,737.7610000000001,3905.0,26025.0,10366.754,54868.0,365694.0,1314.588,6958.0,46373.0,0.0,0.0,0.0,2297.053,12158.0,81030.0,,,,3518.8450000000003,18624.0,124130.0
2008-10-01,277.92900000000003,1471.0,9025.0,23182.241,122696.0,752782.0,1298.1580000000001,6871.0,42154.0,0.0,0.0,0.0,3350.85,17735.0,108810.0,,,,5742.822,30395.0,186483.0
2008-11-01,165.178,874.0,6475.0,1410.1570000000002,7464.0,55278.0,669.65,3544.0,26250.0,0.0,0.0,0.0,448.468,2374.0,17580.0,,,,586.547,3104.0,22993.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
