measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,773.0,10164.0,10164.0,11807.0,144234.0,144234.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,16080.0,16080.0,1689.0,22820.0,22820.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5103.0,64330.0,64330.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1994.0,1994.0,10104.0,132336.0,132336.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,513.0,8073.0,8073.0,7540.0,96508.0,96508.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,199.0,4707.0,4707.0,4140.0,47483.0,47483.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,34387.0,34387.0,9745.0,130311.0,130311.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4968.0,77484.0,77484.0,22443.0,288186.0,288186.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,25209.0,25209.0,-130.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,30738.0,30738.0,4372.0,55650.0,55650.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1628.0,35132.0,35132.0,1298.0,28929.0,28929.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,608.0,6174.0,6174.0,14.0,284.0,284.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,401.382,6398.0,6398.0,3615.927,41432.0,41432.0
