measured_on,"Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,6181.0,98311.0,98311.0,,,
2003-02-01,5766.0,89221.0,89221.0,,,
2003-03-01,6361.0,98127.0,98127.0,,,
2003-04-01,5868.0,92924.0,92924.0,,,
2003-05-01,6160.0,95154.0,95154.0,,,
2003-06-01,6158.0,94680.0,94680.0,,,
2003-07-01,6249.0,96556.0,96556.0,,,
2003-08-01,6197.0,80316.0,80316.0,,,
2003-09-01,5872.0,77281.0,77281.0,,,
2003-10-01,6145.0,92516.0,92516.0,,,
2003-11-01,5858.0,89199.0,89199.0,,,
2003-12-01,5932.0,78785.0,78785.0,,,
2004-01-01,6048.763,93986.0,93986.0,,,
2004-02-01,5656.088000000001,87884.0,87884.0,,,
2004-03-01,5462.049,84869.0,84869.0,,,
2004-04-01,5771.499000000001,89677.0,89677.0,,,
2004-05-01,6176.589,95972.0,95972.0,,,
2004-06-01,5972.895,92807.0,92807.0,,,
2004-07-01,5868.059,91178.0,91178.0,,,
2004-08-01,5859.782,91049.0,91049.0,,,
2004-09-01,5758.165,89470.0,89470.0,,,
2004-10-01,5946.839,92402.0,92402.0,,,
2004-11-01,5450.247,84686.0,84686.0,,,
2004-12-01,3752.0260000000003,58299.0,58299.0,,,
2005-01-01,5930.389,80856.01,80856.01,0.0,0.0,0.0
2005-02-01,5057.8150000000005,68959.17,68959.17,0.0,0.0,0.0
2005-03-01,5650.361,77038.05,77038.05,0.0,0.0,0.0
2005-04-01,5216.981000000001,71129.28,71129.28,0.0,0.0,0.0
2005-05-01,5716.039000000001,77933.52,77933.52,0.0,0.0,0.0
2005-06-01,5542.46,75566.91,75566.91,0.0,0.0,0.0
2005-07-01,5954.5830000000005,81185.87,81185.87,0.0,0.0,0.0
2005-08-01,5735.897,78204.26,78204.26,0.0,0.0,0.0
2005-09-01,5460.963000000001,74455.77,74455.77,0.0,0.0,0.0
2005-10-01,4712.762000000001,64254.66,64254.66,0.0,0.0,0.0
2005-11-01,5247.643,71547.32,71547.32,0.0,0.0,0.0
2005-12-01,5872.107,80061.38,80061.38,0.0,0.0,0.0
2006-01-01,5326.515,71389.0,71389.0,,,
2006-02-01,4922.51,65974.0,65974.0,,,
2006-03-01,5429.859,72774.0,72774.0,,,
2006-04-01,3995.0620000000004,53544.0,53544.0,,,
2006-05-01,4884.304,65462.0,65462.0,,,
2006-06-01,5116.5,68574.0,68574.0,,,
2006-07-01,5310.078,71168.0,71168.0,,,
2006-08-01,5278.145,70740.0,70740.0,,,
2006-09-01,5048.671,67665.0,67665.0,,,
2006-10-01,5238.871,70214.0,70214.0,,,
2006-11-01,5291.194,70915.0,70915.0,,,
2006-12-01,5098.29,68330.0,68330.0,,,
2007-01-01,4875.0,67217.0,67217.0,0.0,0.0,0.0
2007-02-01,4416.0,61965.0,61965.0,0.0,0.0,0.0
2007-03-01,5016.0,67015.0,67015.0,0.0,0.0,0.0
2007-04-01,3905.0,56161.0,56161.0,0.0,0.0,0.0
2007-05-01,4867.0,63689.0,63689.0,0.0,0.0,0.0
2007-06-01,4346.0,60772.0,60772.0,0.0,0.0,0.0
2007-07-01,4476.0,63889.0,63889.0,0.0,0.0,0.0
2007-08-01,4383.0,60057.0,60057.0,0.0,0.0,0.0
2007-09-01,4364.0,58701.0,58701.0,0.0,0.0,0.0
2007-10-01,4551.0,61488.0,61488.0,0.0,0.0,0.0
2007-11-01,4175.0,55727.0,55727.0,0.0,0.0,0.0
2007-12-01,4338.0,59491.0,59491.0,0.0,0.0,0.0
2008-01-01,4317.849,58919.0,58919.0,0.151,2.0,2.0
2008-02-01,2420.0,33165.0,33165.0,0.0,0.0,0.0
2008-03-01,4009.9210000000003,52187.0,52187.0,0.079,1.0,1.0
