measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste/Other Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2004-01-01,1380.4170000000001,20884.0,20884.0,,,
2004-02-01,1380.4170000000001,20884.0,20884.0,,,
2004-03-01,1380.4170000000001,20884.0,20884.0,,,
2004-04-01,1380.4170000000001,20884.0,20884.0,,,
2004-05-01,1380.4170000000001,20884.0,20884.0,,,
2004-06-01,1380.4170000000001,20884.0,20884.0,,,
2004-07-01,1380.4170000000001,20884.0,20884.0,,,
2004-08-01,1380.4170000000001,20884.0,20884.0,,,
2004-09-01,1380.4170000000001,20884.0,20884.0,,,
2004-10-01,1380.4170000000001,20884.0,20884.0,,,
2004-11-01,1380.4170000000001,20884.0,20884.0,,,
2004-12-01,1380.4170000000001,20884.0,20884.0,,,
2006-01-01,339.404,21837.0,21837.0,,,
2006-02-01,303.973,19558.0,19558.0,,,
2006-03-01,272.9,17558.0,17558.0,,,
2006-04-01,248.11100000000002,15963.0,15963.0,,,
2006-05-01,288.752,18578.0,18578.0,,,
2006-06-01,196.387,12635.0,12635.0,,,
2006-07-01,260.483,16759.0,16759.0,,,
2006-08-01,256.036,16473.0,16473.0,,,
2006-09-01,238.092,15319.0,15319.0,,,
2006-10-01,272.837,17554.0,17554.0,,,
2006-11-01,299.68,19281.0,19281.0,,,
2006-12-01,307.343,19774.0,19774.0,,,
2007-01-01,939.216,15671.0,15671.0,0.0,0.0,0.0
2007-02-01,776.339,12953.0,12953.0,0.0,0.0,0.0
2007-03-01,794.436,13255.0,13255.0,0.0,0.0,0.0
2007-04-01,949.2890000000001,15839.0,15839.0,0.0,0.0,0.0
2007-05-01,1015.428,16942.0,16942.0,0.0,0.0,0.0
2007-06-01,1109.67,18515.0,18515.0,0.0,0.0,0.0
2007-07-01,1103.473,18411.0,18411.0,0.0,0.0,0.0
2007-08-01,1030.989,17202.0,17202.0,0.0,0.0,0.0
2007-09-01,845.908,14114.0,14114.0,0.0,0.0,0.0
2007-10-01,1000.931,16700.0,16700.0,0.0,0.0,0.0
2007-11-01,694.2130000000001,11583.0,11583.0,0.0,0.0,0.0
2007-12-01,734.1070000000001,12249.0,12249.0,0.0,0.0,0.0
2008-01-01,758.634,15623.0,15623.0,0.8380000000000001,11.0,11.0
2008-02-01,559.4590000000001,11521.0,11521.0,0.768,15.0,15.0
2008-03-01,831.292,17119.0,17119.0,0.17700000000000002,4.0,4.0
2008-04-01,864.1030000000001,17795.0,17795.0,0.095,4.0,4.0
2008-05-01,867.648,17868.0,17868.0,0.29700000000000004,8.0,8.0
2008-06-01,972.623,20030.0,20030.0,0.895,19.0,19.0
2008-07-01,891.4530000000001,18358.0,18358.0,0.8530000000000001,19.0,19.0
2008-08-01,936.224,19280.0,19280.0,0.226,4.0,4.0
2008-09-01,836.1260000000001,17219.0,17219.0,0.328,8.0,8.0
2008-10-01,791.2620000000001,16295.0,16295.0,0.166,4.0,4.0
2008-11-01,712.633,14676.0,14676.0,0.186,4.0,4.0
2008-12-01,779.192,16046.0,16046.0,0.522,11.0,11.0
2009-01-01,231.864,10327.0,10327.0,0.0,0.0,0.0
2009-02-01,123.69200000000001,5509.0,5509.0,0.0,0.0,0.0
2009-03-01,202.353,9012.0,9012.0,0.0,0.0,0.0
2009-04-01,241.21,10742.0,10742.0,0.0,0.0,0.0
2009-05-01,219.05700000000002,9755.0,9755.0,0.0,0.0,0.0
2009-06-01,240.984,10732.0,10732.0,0.0,0.0,0.0
2009-07-01,270.971,12067.0,12067.0,0.0,0.0,0.0
2009-08-01,259.171,11542.0,11542.0,0.0,0.0,0.0
2009-09-01,199.18,8870.0,8870.0,0.0,0.0,0.0
2009-10-01,232.54,10356.0,10356.0,0.0,0.0,0.0
2009-11-01,169.00300000000001,7526.0,7526.0,0.0,0.0,0.0
2009-12-01,188.975,8416.0,8416.0,0.0,0.0,0.0
2010-01-01,660.0020000000001,6676.0,6676.0,0.0,0.0,0.0
2010-02-01,472.829,4783.0,4783.0,0.0,0.0,0.0
2010-03-01,659.546,6671.0,6671.0,0.0,0.0,0.0
2010-04-01,801.24,8105.0,8105.0,0.0,0.0,0.0
2010-05-01,768.91,7778.0,7778.0,0.0,0.0,0.0
2010-06-01,804.58,8138.0,8138.0,0.0,0.0,0.0
2010-07-01,791.931,8010.0,8010.0,0.0,0.0,0.0
2010-08-01,817.431,8268.0,8268.0,0.0,0.0,0.0
2010-09-01,751.009,7596.0,7596.0,0.0,0.0,0.0
2010-10-01,726.6170000000001,7350.0,7350.0,0.0,0.0,0.0
2010-11-01,768.015,7769.0,7769.0,0.0,0.0,0.0
2010-12-01,700.87,7089.0,7089.0,0.0,0.0,0.0
2011-01-01,667.701,6975.0,6975.0,0.0,0.0,0.0
2011-02-01,673.75,7039.0,7039.0,0.0,0.0,0.0
2011-03-01,732.591,7653.0,7653.0,0.0,0.0,0.0
2011-04-01,743.735,7770.0,7770.0,0.0,0.0,0.0
2011-05-01,732.455,7652.0,7652.0,0.0,0.0,0.0
2011-06-01,792.748,8282.0,8282.0,0.0,0.0,0.0
2011-07-01,828.49,8655.0,8655.0,0.0,0.0,0.0
2011-08-01,880.771,9201.0,9201.0,0.0,0.0,0.0
2011-09-01,738.37,7714.0,7714.0,0.0,0.0,0.0
2011-10-01,709.517,7412.0,7412.0,0.0,0.0,0.0
2011-11-01,791.242,8266.0,8266.0,0.0,0.0,0.0
2011-12-01,786.63,8218.0,8218.0,0.0,0.0,0.0
2012-01-01,579.357,19938.0,19938.0,0.0,0.0,0.0
2012-02-01,531.054,18275.0,18275.0,0.0,0.0,0.0
2012-03-01,282.706,9729.0,9729.0,0.0,0.0,0.0
2012-04-01,495.869,17064.0,17064.0,0.0,0.0,0.0
2012-05-01,636.353,21899.0,21899.0,0.0,0.0,0.0
2012-06-01,713.852,24565.0,24565.0,0.0,0.0,0.0
2012-07-01,626.009,21543.0,21543.0,0.0,0.0,0.0
2012-08-01,611.156,21031.0,21031.0,0.0,0.0,0.0
2012-09-01,574.479,19769.0,19769.0,0.0,0.0,0.0
2012-10-01,565.31,19454.0,19454.0,0.0,0.0,0.0
2012-11-01,564.962,19442.0,19442.0,0.0,0.0,0.0
2012-12-01,659.293,22688.0,22688.0,0.0,0.0,0.0
2013-01-01,501.001,23449.0,23449.0,,,
2013-02-01,487.776,22830.0,22830.0,,,
2013-03-01,499.464,23377.0,23377.0,,,
2013-04-01,504.434,23610.0,23610.0,,,
2013-05-01,548.805,25687.0,25687.0,,,
2013-06-01,586.283,27441.0,27441.0,,,
2013-07-01,597.187,27951.0,27951.0,,,
2013-08-01,604.46,28292.0,28292.0,,,
2013-09-01,525.711,24606.0,24606.0,,,
2013-10-01,545.558,25535.0,25535.0,,,
2013-11-01,507.458,23751.0,23751.0,,,
2013-12-01,483.423,22626.0,22626.0,,,
2014-01-01,246.045,12370.0,12370.0,,,
2014-02-01,194.943,9801.0,9801.0,,,
2014-03-01,259.601,13052.0,13052.0,,,
2014-04-01,244.821,12309.0,12309.0,,,
2014-05-01,279.085,14031.0,14031.0,,,
2014-06-01,281.847,14170.0,14170.0,,,
2014-07-01,284.676,14312.0,14312.0,,,
2014-08-01,288.06,14482.0,14482.0,,,
2014-09-01,276.288,13891.0,13891.0,,,
2014-10-01,246.983,12417.0,12417.0,,,
2014-11-01,253.118,12726.0,12726.0,,,
2014-12-01,251.133,12626.0,12626.0,,,
2015-01-01,29.728,1898.0,1898.0,,,
2015-02-01,26.817,1712.0,1712.0,,,
2015-03-01,24.909,1591.0,1591.0,,,
2015-04-01,33.323,2128.0,2128.0,,,
2015-05-01,34.113,2178.0,2178.0,,,
2015-06-01,38.633,2467.0,2467.0,,,
2015-07-01,35.006,2235.0,2235.0,,,
2015-08-01,35.198,2247.0,2247.0,,,
2015-09-01,34.739,2218.0,2218.0,,,
2015-10-01,34.326,2192.0,2192.0,,,
2015-11-01,33.514,2140.0,2140.0,,,
2015-12-01,34.634,2211.0,2211.0,,,
2016-01-01,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,,,
2017-01-01,99.128,5995.0,5995.0,,,
2017-02-01,94.587,5720.0,5720.0,,,
2017-03-01,96.754,5852.0,5852.0,,,
2017-04-01,87.631,5300.0,5300.0,,,
2017-05-01,88.92,5378.0,5378.0,,,
2017-06-01,84.389,5104.0,5104.0,,,
2017-07-01,87.322,5281.0,5281.0,,,
2017-08-01,82.903,5014.0,5014.0,,,
2017-09-01,77.049,4660.0,4660.0,,,
2017-10-01,91.111,5510.0,5510.0,,,
2017-11-01,94.048,5688.0,5688.0,,,
2017-12-01,97.098,5873.0,5873.0,,,
2018-01-01,15.87,18404.0,18404.0,,,
2018-02-01,15.051,17454.0,17454.0,,,
2018-03-01,16.018,18576.0,18576.0,,,
2018-04-01,15.425,17887.0,17887.0,,,
2018-05-01,13.952,16179.0,16179.0,,,
2018-06-01,15.092,17502.0,17502.0,,,
2018-07-01,15.166,17588.0,17588.0,,,
2018-08-01,15.086,17494.0,17494.0,,,
2018-09-01,12.396,14376.0,14376.0,,,
2018-10-01,15.384,17841.0,17841.0,,,
2018-11-01,15.566,18052.0,18052.0,,,
