measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,27209.14,303758.0,309958.0,78.745,881.0,899.0,14736.764,164521.0,167880.0,0.0,0.0,0.0,,,
2003-02-01,25062.0,299794.0,309843.0,79.0,941.0,973.0,10006.0,119698.0,123710.0,,,,,,
2003-03-01,29299.0,306499.0,319224.0,0.0,0.0,0.0,15207.0,159078.0,165683.0,0.0,0.0,0.0,,,
2003-04-01,6122.0,70890.0,73525.0,1358.0,15728.0,16313.0,3434.0,39764.0,41242.0,0.0,0.0,0.0,,,
2003-05-01,27295.0,284543.0,297981.0,136.0,1422.0,1489.0,15913.0,165888.0,173722.0,0.0,0.0,0.0,,,
2003-06-01,22774.475,249652.0,259651.0,356.0,3743.0,3893.0,13950.0,146845.0,152727.0,0.0,0.0,0.0,,,
2003-07-01,28436.404000000002,302650.0,314679.0,56.658,601.0,625.0,13557.515,144291.0,150026.0,0.0,0.0,0.0,,,
2003-08-01,32951.734,364588.0,373057.0,0.0,0.0,0.0,9575.151,105938.0,108398.0,0.0,0.0,0.0,,,
2003-09-01,31918.451,355644.0,370392.0,147.886,1649.0,1718.0,7652.631,85271.0,88807.0,64.34,720.0,750.0,,,
2003-10-01,21827.619,264394.0,276114.0,0.0,0.0,0.0,7770.0,90377.0,94383.0,27.0,316.0,330.0,,,
2003-11-01,28815.722,313590.0,319550.0,254.48,2765.0,2818.0,10262.726,111684.0,113806.0,449.42,4892.0,4985.0,,,
2003-12-01,29553.233,322969.0,335078.0,0.0,0.0,0.0,13324.0,139829.0,145071.0,567.0,5949.0,6172.0,,,
