measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,-24.308,0.0,0.0
2019-02-01,-19.571,0.0,0.0
2019-03-01,-22.199,0.0,0.0
2019-04-01,-20.687,0.0,0.0
2019-05-01,-19.0,0.0,0.0
2019-06-01,-22.415,0.0,0.0
2019-07-01,-23.113,0.0,0.0
2019-08-01,-25.228,0.0,0.0
2019-09-01,-22.682,0.0,0.0
2019-10-01,-24.625,0.0,0.0
2019-11-01,-20.962,0.0,0.0
2019-12-01,-22.21,0.0,0.0
2020-01-01,-130.572,0.0,0.0
2020-02-01,-100.888,0.0,0.0
2020-03-01,-154.809,0.0,0.0
2020-04-01,-137.278,0.0,0.0
2020-05-01,-132.999,0.0,0.0
2020-06-01,-118.118,0.0,0.0
2020-07-01,-139.65,0.0,0.0
2020-08-01,-139.177,0.0,0.0
2020-09-01,-150.463,0.0,0.0
2020-10-01,-160.688,0.0,0.0
2020-11-01,-158.393,0.0,0.0
2020-12-01,-147.965,0.0,0.0
2021-01-01,-42.396,0.0,0.0
2021-02-01,-45.271,0.0,0.0
2021-03-01,-50.93,0.0,0.0
2021-04-01,-49.462,0.0,0.0
2021-05-01,-41.852,0.0,0.0
2021-06-01,-48.297,0.0,0.0
2021-07-01,-48.358,0.0,0.0
2021-08-01,-48.502,0.0,0.0
2021-09-01,-53.881,0.0,0.0
2021-10-01,-46.55,0.0,0.0
2021-11-01,-49.932,0.0,0.0
2021-12-01,-49.569,0.0,0.0
2022-01-01,-55.123,0.0,0.0
2022-02-01,-57.908,0.0,0.0
2022-03-01,-53.598,0.0,0.0
2022-04-01,-56.137,0.0,0.0
2022-05-01,-59.487,0.0,0.0
2022-06-01,-60.09,0.0,0.0
2022-07-01,-62.43,0.0,0.0
2022-08-01,-64.141,0.0,0.0
2022-09-01,-57.509,0.0,0.0
2022-10-01,-64.176,0.0,0.0
2022-11-01,-59.413,0.0,0.0
2022-12-01,-59.988,0.0,0.0
2023-01-01,-28.0,0.0,0.0
2023-02-01,-61.0,0.0,0.0
2023-03-01,-42.0,0.0,0.0
2023-04-01,-16.0,0.0,0.0
2023-05-01,-20.0,0.0,0.0
2023-06-01,-21.0,0.0,0.0
2023-07-01,-9.0,0.0,0.0
2023-08-01,-4.0,0.0,0.0
2023-09-01,-2.0,0.0,0.0
2023-10-01,-4.0,0.0,0.0
2023-11-01,-27.0,0.0,0.0
2023-12-01,-22.0,0.0,0.0
2024-01-01,-9.0,0.0,0.0
2024-02-01,-13.0,0.0,0.0
2024-03-01,-16.0,0.0,0.0
2024-04-01,-33.0,0.0,0.0
2024-05-01,-33.0,0.0,0.0
2024-06-01,-33.0,0.0,0.0
2024-07-01,-33.0,0.0,0.0
2024-08-01,-33.0,0.0,0.0
2024-09-01,-33.0,0.0,0.0
2024-10-01,-48.0,0.0,0.0
2024-11-01,-22.0,0.0,0.0
2024-12-01,-20.0,0.0,0.0
