measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-01-01,2.484,26.0,26.0,5.466,133.0,133.0
2004-02-01,8.16,84.0,84.0,3.282,80.0,80.0
2004-03-01,4.612,48.0,48.0,1.0510000000000002,25.0,25.0
2004-04-01,4.258,44.0,44.0,1.2810000000000001,31.0,31.0
2004-05-01,8.87,92.0,92.0,5.367,130.0,130.0
2004-06-01,5.854,61.0,61.0,5.521,134.0,134.0
2004-07-01,2.661,28.0,28.0,2.575,62.0,62.0
2004-08-01,7.9830000000000005,83.0,83.0,3.32,81.0,81.0
2004-09-01,32.641,338.0,338.0,2.295,56.0,56.0
2004-10-01,2.129,22.0,22.0,0.131,3.0,3.0
2004-11-01,50.558,523.0,523.0,2.6340000000000003,64.0,64.0
2004-12-01,4.79,50.0,50.0,1.079,26.0,26.0
2005-01-01,43.342,445.53,445.53,,,
2005-02-01,14.891,153.07,153.07,,,
2005-03-01,16.505,169.66,169.66,,,
2005-04-01,19.992,205.5,205.5,,,
2005-05-01,18.567,190.86,190.86,,,
2005-06-01,24.099,247.72,247.72,,,
2005-07-01,24.529,252.15,252.15,,,
2005-08-01,28.816000000000003,296.21,296.21,,,
2005-09-01,18.863,193.91,193.91,,,
2005-10-01,20.948,215.34,215.34,,,
2005-11-01,16.84,173.11,173.11,,,
2005-12-01,35.608000000000004,366.04,366.04,,,
2006-01-01,14.573,146.0,146.0,,,
2006-02-01,7.626,77.0,77.0,,,
2006-03-01,6.406000000000001,64.0,64.0,,,
2006-04-01,12.27,123.0,123.0,,,
2006-05-01,11.469000000000001,115.0,115.0,,,
