measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2013-11-01,928.845,35677.0,35677.0,2854.155,109629.0,109629.0
2013-12-01,1926.838,98633.0,98633.0,3960.162,202716.0,202716.0
2014-01-01,2745.422,46641.0,135283.0,4266.578,72483.0,210240.0
2014-02-01,2622.772,43195.0,92247.0,8148.228,134195.0,286587.0
2014-03-01,353.444,6126.0,13758.0,9029.556,156501.0,351486.0
2014-04-01,1399.371,22931.0,51050.0,9607.629,157438.0,350496.0
2014-05-01,151.562,2707.0,7443.0,8316.438,148558.0,408393.0
2014-06-01,819.053,16631.0,45129.0,4687.947,95191.0,258300.0
2014-07-01,58.074,1201.0,3070.0,5001.926,103411.0,264456.0
2014-08-01,46.711,806.0,2180.0,9502.289,164027.0,443385.0
2014-09-01,86.749,2356.0,6219.0,2082.251,56547.0,149265.0
2014-10-01,-0.406,2069.0,12550.0,-9.594,48918.0,296784.0
2014-11-01,3.515,136.0,596.0,1994.485,77225.0,338148.0
2014-12-01,-28.496,0.0,2113.0,-4299.504,0.0,318798.0
2015-01-01,-48.991,1158.0,10559.0,-1371.009,32394.0,295479.0
2015-02-01,-0.344,10.0,103.0,-1138.656,33530.0,341046.0
2015-03-01,-7.303,10.0,539.0,-3844.697,5245.0,283941.0
2015-04-01,-25.308,194.0,2629.0,-2586.692,19834.0,268713.0
2015-05-01,-50.333,152.0,4105.0,-3097.667,9378.0,252612.0
2015-06-01,67.304,1234.0,3217.0,7293.696,133733.0,348606.0
2015-07-01,13.321,214.0,448.0,12364.679,198172.0,416232.0
2015-08-01,2.903,46.0,96.0,13036.097,204799.0,430848.0
2015-09-01,46.947,1069.0,3011.0,2955.053,67285.0,189513.0
2015-10-01,12.104,196.0,441.0,10658.896,172338.0,388665.0
2015-11-01,96.389,1519.0,3133.0,11485.611,180989.0,373329.0
2015-12-01,87.096,1577.0,4531.0,7651.904,138531.0,398061.0
2016-01-01,67.587,558.0,2637.0,11913.413,98396.0,464841.0
2016-02-01,50.039,416.0,2074.0,10778.961,89702.0,446661.0
2016-03-01,79.703,657.0,3164.0,11653.297,96026.0,462654.0
2016-04-01,56.707,608.0,3523.0,4534.293,48601.0,281691.0
2016-05-01,152.385,1268.0,4778.0,11328.615,94280.0,355230.0
2016-06-01,5.272,132.0,520.0,568.728,14251.0,56115.0
2016-07-01,83.939,670.0,2486.0,12186.061,97307.0,360855.0
2016-08-01,13.519,119.0,383.0,5625.481,49355.0,159291.0
2016-09-01,-7.901,0.0,0.0,-1281.099,0.0,0.0
2016-10-01,102.057,880.0,3892.0,7767.943,67007.0,296199.0
2016-11-01,2.108,17.0,72.0,11342.892,93865.0,385839.0
2016-12-01,22.97,179.0,740.0,16028.03,124700.0,516591.0
