measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2010-01-01,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,
2010-11-01,829.717,5884.0,5884.0,,,
2010-12-01,777.283,5512.0,5512.0,,,
2011-01-01,159.806,1221.0,1221.0,459.635,3514.0,3514.0
2011-02-01,157.581,1204.0,1204.0,457.906,3498.0,3498.0
2011-03-01,125.345,958.0,958.0,485.719,3711.0,3711.0
2011-04-01,106.802,816.0,816.0,460.732,3520.0,3520.0
2011-05-01,95.292,728.0,728.0,485.255,3707.0,3707.0
2011-06-01,106.048,810.0,810.0,471.245,3600.0,3600.0
2011-07-01,170.02,1299.0,1299.0,497.59,3802.0,3802.0
2011-08-01,208.744,1595.0,1595.0,507.876,3880.0,3880.0
2011-09-01,211.908,1619.0,1619.0,484.594,3702.0,3702.0
2011-10-01,169.719,1297.0,1297.0,461.699,3527.0,3527.0
2011-11-01,167.322,1278.0,1278.0,456.611,3489.0,3489.0
2011-12-01,217.696,1663.0,1663.0,459.855,3513.0,3513.0
2012-01-01,113.743,992.0,992.0,377.752,3299.0,3299.0
2012-02-01,113.735,994.0,994.0,371.926,3250.0,3250.0
2012-03-01,108.176,945.0,945.0,356.661,3116.0,3116.0
2012-04-01,100.228,876.0,876.0,335.09,2928.0,2928.0
2012-05-01,99.528,870.0,870.0,347.545,3037.0,3037.0
2012-06-01,105.367,921.0,921.0,301.567,2635.0,2635.0
2012-07-01,124.616,1089.0,1089.0,324.875,2839.0,2839.0
2012-08-01,164.092,1434.0,1434.0,375.674,3282.0,3282.0
2012-09-01,149.068,1302.0,1302.0,369.629,3230.0,3230.0
2012-10-01,137.938,1205.0,1205.0,371.011,3242.0,3242.0
2012-11-01,119.098,1041.0,1041.0,405.734,3545.0,3545.0
2012-12-01,112.354,982.0,982.0,406.593,3552.0,3552.0
2013-01-01,95.172,967.0,967.0,295.229,3001.0,3001.0
2013-02-01,87.667,891.0,891.0,265.968,2703.0,2703.0
2013-03-01,84.549,859.0,859.0,285.734,2905.0,2905.0
2013-04-01,72.755,740.0,740.0,259.329,2636.0,2636.0
2013-05-01,76.835,781.0,781.0,287.652,2923.0,2923.0
2013-06-01,90.901,924.0,924.0,280.121,2847.0,2847.0
2013-07-01,115.343,1172.0,1172.0,288.074,2928.0,2928.0
2013-08-01,117.634,1196.0,1196.0,318.3,3235.0,3235.0
2013-09-01,117.34,1193.0,1193.0,290.354,2951.0,2951.0
2013-10-01,101.814,1035.0,1035.0,316.988,3222.0,3222.0
2013-11-01,100.426,1021.0,1021.0,315.205,3203.0,3203.0
2013-12-01,116.947,1189.0,1189.0,329.093,3344.0,3344.0
2014-01-01,155.235,1210.0,1210.0,512.251,4001.0,4001.0
2014-02-01,144.961,1132.0,1132.0,447.082,3490.0,3490.0
2014-03-01,125.794,983.0,983.0,467.233,3648.0,3648.0
2014-04-01,119.613,934.0,934.0,410.321,3203.0,3203.0
2014-05-01,120.611,942.0,942.0,422.779,3301.0,3301.0
2014-06-01,118.901,928.0,928.0,448.42,3502.0,3502.0
2014-07-01,168.231,1314.0,1314.0,448.542,3502.0,3502.0
2014-08-01,173.656,1356.0,1356.0,439.627,3433.0,3433.0
2014-09-01,181.648,1418.0,1418.0,443.121,3459.0,3459.0
2014-10-01,179.194,1399.0,1399.0,445.345,3477.0,3477.0
2014-11-01,129.503,1012.0,1012.0,382.391,2986.0,2986.0
2014-12-01,140.87,1100.0,1100.0,407.671,3183.0,3183.0
2015-01-01,415.289,3414.0,3414.0,149.328,1227.0,1227.0
2015-02-01,307.51,2528.0,2528.0,138.908,1142.0,1142.0
2015-03-01,360.257,2961.0,2961.0,144.773,1190.0,1190.0
2015-04-01,345.71,2842.0,2842.0,127.839,1050.0,1050.0
2015-05-01,337.503,2775.0,2775.0,139.627,1148.0,1148.0
2015-06-01,474.588,3901.0,3901.0,156.927,1290.0,1290.0
2015-07-01,535.275,4400.0,4400.0,159.936,1315.0,1315.0
2015-08-01,564.617,4641.0,4641.0,154.063,1266.0,1266.0
2015-09-01,560.716,4609.0,4609.0,150.788,1239.0,1239.0
2015-10-01,540.137,4440.0,4440.0,145.177,1194.0,1194.0
2015-11-01,398.256,3274.0,3274.0,134.531,1105.0,1105.0
2015-12-01,425.987,3501.0,3501.0,153.258,1260.0,1260.0
2016-01-01,0.187,1042.0,1042.0,0.525,2946.0,2946.0
2016-02-01,0.147,828.0,828.0,0.495,2788.0,2788.0
2016-03-01,0.114,644.0,644.0,0.456,2566.0,2566.0
2016-04-01,0.109,616.0,616.0,0.451,2536.0,2536.0
2016-05-01,0.118,665.0,665.0,0.529,2974.0,2974.0
2016-06-01,0.18,1011.0,1011.0,0.521,2933.0,2933.0
2016-07-01,0.212,1193.0,1193.0,0.503,2833.0,2833.0
2016-08-01,0.234,1319.0,1319.0,0.487,2740.0,2740.0
2016-09-01,0.194,1092.0,1092.0,0.514,2894.0,2894.0
2016-10-01,0.191,1077.0,1077.0,0.501,2818.0,2818.0
2016-11-01,0.147,828.0,828.0,0.511,2875.0,2875.0
2016-12-01,0.167,938.0,938.0,0.507,2853.0,2853.0
2017-01-01,736.135,4572.0,4572.0,0.0,0.0,0.0
2017-02-01,561.878,3489.0,3489.0,0.0,0.0,0.0
2017-03-01,465.311,2890.0,2890.0,0.0,0.0,0.0
2017-04-01,415.664,2581.0,2581.0,0.0,0.0,0.0
2017-05-01,515.67,3202.0,3202.0,0.0,0.0,0.0
2017-06-01,678.442,4213.0,4213.0,0.0,0.0,0.0
2017-07-01,925.172,5746.0,5746.0,0.0,0.0,0.0
2017-08-01,1044.39,6486.0,6486.0,0.0,0.0,0.0
2017-09-01,859.338,5337.0,5337.0,0.0,0.0,0.0
2017-10-01,813.851,5055.0,5055.0,0.0,0.0,0.0
2017-11-01,707.299,4393.0,4393.0,0.0,0.0,0.0
2017-12-01,749.85,4657.0,4657.0,0.0,0.0,0.0
2018-01-01,667.285,4578.0,4578.0,0.0,0.0,0.0
2018-02-01,585.891,4020.0,4020.0,0.0,0.0,0.0
2018-03-01,609.348,4182.0,4182.0,0.0,0.0,0.0
2018-04-01,458.586,3147.0,3147.0,0.0,0.0,0.0
2018-05-01,418.624,2873.0,2873.0,0.0,0.0,0.0
2018-06-01,572.66,3929.0,3929.0,0.0,0.0,0.0
2018-07-01,999.288,6857.0,6857.0,0.0,0.0,0.0
2018-08-01,924.431,6344.0,6344.0,0.0,0.0,0.0
2018-09-01,743.983,5106.0,5106.0,0.0,0.0,0.0
2018-10-01,831.604,5706.0,5706.0,0.0,0.0,0.0
2018-11-01,743.422,5102.0,5102.0,0.0,0.0,0.0
2018-12-01,748.998,5140.0,5140.0,0.0,0.0,0.0
2019-01-01,700.536,4994.0,4994.0,0.0,0.0,0.0
2019-02-01,649.546,4631.0,4631.0,0.0,0.0,0.0
2019-03-01,566.436,4039.0,4039.0,0.0,0.0,0.0
2019-04-01,397.467,2834.0,2834.0,0.0,0.0,0.0
2019-05-01,342.503,2442.0,2442.0,0.0,0.0,0.0
2019-06-01,457.987,3265.0,3265.0,0.0,0.0,0.0
2019-07-01,721.973,5148.0,5148.0,0.0,0.0,0.0
2019-08-01,848.044,6047.0,6047.0,0.0,0.0,0.0
2019-09-01,746.216,5321.0,5321.0,0.0,0.0,0.0
2019-10-01,764.286,5450.0,5450.0,0.0,0.0,0.0
2019-11-01,749.565,5345.0,5345.0,0.0,0.0,0.0
2019-12-01,777.441,5543.0,5543.0,0.0,0.0,0.0
2020-01-01,555.598,4084.0,4084.0,0.0,0.0,0.0
2020-02-01,490.648,3607.0,3607.0,0.0,0.0,0.0
2020-03-01,544.652,4005.0,4005.0,0.0,0.0,0.0
2020-04-01,385.178,2833.0,2833.0,0.0,0.0,0.0
2020-05-01,362.172,2663.0,2663.0,0.0,0.0,0.0
2020-06-01,509.471,3746.0,3746.0,0.0,0.0,0.0
2020-07-01,712.696,5241.0,5241.0,0.0,0.0,0.0
2020-08-01,886.287,6517.0,6517.0,0.0,0.0,0.0
2020-09-01,771.818,5675.0,5675.0,0.0,0.0,0.0
2020-10-01,801.552,5894.0,5894.0,0.0,0.0,0.0
2020-11-01,640.251,4707.0,4707.0,0.0,0.0,0.0
2020-12-01,709.677,5218.0,5218.0,0.0,0.0,0.0
2021-01-01,540.757,4042.0,4042.0,0.0,0.0,0.0
2021-02-01,458.58,3428.0,3428.0,0.0,0.0,0.0
2021-03-01,493.062,3686.0,3686.0,0.0,0.0,0.0
2021-04-01,437.511,3270.0,3270.0,0.0,0.0,0.0
2021-05-01,457.255,3419.0,3419.0,0.0,0.0,0.0
2021-06-01,625.27,4674.0,4674.0,0.0,0.0,0.0
2021-07-01,862.861,6451.0,6451.0,0.0,0.0,0.0
2021-08-01,787.821,5890.0,5890.0,0.0,0.0,0.0
2021-09-01,670.343,5011.0,5011.0,0.0,0.0,0.0
2021-10-01,639.043,4777.0,4777.0,0.0,0.0,0.0
2021-11-01,587.312,4391.0,4391.0,0.0,0.0,0.0
2021-12-01,606.185,4532.0,4532.0,0.0,0.0,0.0
2022-01-01,505.754,3734.0,3734.0,0.0,0.0,0.0
2022-02-01,419.91,3098.0,3098.0,0.0,0.0,0.0
2022-03-01,388.529,2866.0,2866.0,0.0,0.0,0.0
2022-04-01,397.983,2937.0,2937.0,0.0,0.0,0.0
2022-05-01,365.217,2694.0,2694.0,0.0,0.0,0.0
2022-06-01,496.72,3665.0,3665.0,0.0,0.0,0.0
2022-07-01,663.568,4897.0,4897.0,0.0,0.0,0.0
2022-08-01,800.683,5908.0,5908.0,0.0,0.0,0.0
2022-09-01,733.824,5415.0,5415.0,0.0,0.0,0.0
2022-10-01,673.904,4973.0,4973.0,0.0,0.0,0.0
2022-11-01,618.865,4566.0,4566.0,0.0,0.0,0.0
2022-12-01,684.043,5047.0,5047.0,0.0,0.0,0.0
2023-01-01,36.447,259.0,259.0,0.0,0.0,0.0
2023-02-01,31.047,220.0,220.0,0.0,0.0,0.0
2023-03-01,29.84,212.0,212.0,0.0,0.0,0.0
2023-04-01,23.311,166.0,166.0,0.0,0.0,0.0
2023-05-01,15.099,107.0,107.0,0.0,0.0,0.0
2023-06-01,19.863,141.0,141.0,0.0,0.0,0.0
