measured_on,"Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Generation","Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Quantity Consumed For Electricity","Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Total Fuel Consumed"
2012-09-01,-3758.0,0.0,0.0
2012-10-01,-2120.0,0.0,0.0
2012-11-01,-421.0,0.0,0.0
2012-12-01,-237.0,0.0,0.0
2013-01-01,-1021.0,0.0,0.0
2013-02-01,-885.0,0.0,0.0
2013-03-01,-268.0,0.0,0.0
2013-04-01,-68.0,0.0,0.0
2013-05-01,-74.0,0.0,0.0
2013-06-01,-490.0,0.0,0.0
2013-07-01,-1155.0,0.0,0.0
2013-08-01,-53.0,0.0,0.0
2013-09-01,-1310.0,0.0,0.0
2013-10-01,-806.0,0.0,0.0
2013-11-01,-222.0,0.0,0.0
2013-12-01,-1039.0,0.0,0.0
2014-01-01,-407.0,0.0,0.0
2014-02-01,131.0,0.0,0.0
2014-03-01,-313.0,0.0,0.0
2014-04-01,-1033.0,0.0,0.0
2014-05-01,346.0,0.0,0.0
2014-06-01,-1257.0,0.0,0.0
2014-07-01,-944.0,0.0,0.0
2014-08-01,-1410.0,0.0,0.0
2014-09-01,-1330.0,0.0,0.0
2014-10-01,-1189.0,0.0,0.0
2014-11-01,-801.0,0.0,0.0
2014-12-01,-867.0,0.0,0.0
2015-01-01,-1189.0,0.0,0.0
2015-02-01,-847.0,0.0,0.0
2015-03-01,-483.0,0.0,0.0
2015-04-01,-772.0,0.0,0.0
2015-05-01,-1623.0,0.0,0.0
2015-06-01,-1209.0,0.0,0.0
2015-07-01,-1324.0,0.0,0.0
2015-08-01,-1493.0,0.0,0.0
2015-09-01,-1312.0,0.0,0.0
2015-10-01,-1161.0,0.0,0.0
2015-11-01,-507.0,0.0,0.0
2015-12-01,-851.0,0.0,0.0
2016-01-01,-1422.0,0.0,0.0
2016-02-01,-932.0,0.0,0.0
2016-03-01,-330.0,0.0,0.0
2016-04-01,-689.0,0.0,0.0
2016-05-01,-439.0,0.0,0.0
2016-06-01,-955.0,0.0,0.0
2016-07-01,-1273.0,0.0,0.0
2016-08-01,-963.0,0.0,0.0
2016-09-01,-496.0,0.0,0.0
2016-10-01,-1011.0,0.0,0.0
2016-11-01,-327.0,0.0,0.0
2016-12-01,-1539.0,0.0,0.0
2017-01-01,-1166.0,0.0,0.0
2017-02-01,-2410.0,0.0,0.0
2017-03-01,-3268.0,0.0,0.0
2017-04-01,-2164.0,0.0,0.0
2017-05-01,-1360.0,0.0,0.0
2017-06-01,-1927.0,0.0,0.0
2017-07-01,-2078.0,0.0,0.0
2017-08-01,-2358.0,0.0,0.0
2017-09-01,-1480.0,0.0,0.0
