measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,18600.0,236132.0,236132.0,,,
2003-02-01,13262.0,179131.0,179131.0,,,
2003-03-01,3059.0,45192.0,45192.0,,,
2003-04-01,636.0,11689.0,11689.0,,,
2003-05-01,10520.0,135888.0,135888.0,,,
2003-06-01,11602.0,147336.0,147336.0,,,
2003-07-01,15354.0,197540.0,197540.0,,,
2003-08-01,17358.0,228420.0,228420.0,,,
2003-09-01,15358.0,198156.0,198156.0,,,
2003-10-01,6928.0,87539.0,87539.0,,,
2003-11-01,4254.0,84170.0,84170.0,,,
2003-12-01,6700.0,117936.0,117936.0,,,
2004-01-01,9726.167000000001,155077.0,155077.0,,,
2004-02-01,8110.964,129324.0,129324.0,,,
2004-03-01,8255.676000000001,131631.0,131631.0,,,
2004-04-01,6326.18,100867.0,100867.0,,,
2004-05-01,6992.625,111493.0,111493.0,,,
2004-06-01,8187.877,130550.0,130550.0,,,
2004-07-01,9235.392,147252.0,147252.0,,,
2004-08-01,8845.931,141043.0,141043.0,,,
2004-09-01,7753.087,123618.0,123618.0,,,
2004-10-01,7010.119000000001,111772.0,111772.0,,,
2004-11-01,7667.571000000001,122254.0,122254.0,,,
2004-12-01,8569.411,136634.0,136634.0,,,
2005-01-01,9709.08,133153.22,133153.22,,,
2005-02-01,8815.402,120897.05,120897.05,,,
2005-03-01,9449.545,129593.87,129593.87,,,
2005-04-01,7773.982,106614.72,106614.72,,,
2005-05-01,7385.486000000001,101286.75,101286.75,,,
2005-06-01,9466.63,129828.19,129828.19,,,
2005-07-01,10561.996,144850.36,144850.36,,,
2005-08-01,10461.495,143472.06,143472.06,,,
2005-09-01,9424.193000000001,129246.19,129246.19,,,
2005-10-01,8825.348,121033.44,121033.44,,,
2005-11-01,8666.821,118859.38,118859.38,,,
2005-12-01,9997.021,137102.12,137102.12,,,
2006-01-01,6345.145,89406.0,89406.0,,,
2006-02-01,5965.8550000000005,84061.0,84061.0,,,
2006-03-01,5825.76,82087.0,82087.0,,,
2006-04-01,5831.309,82165.0,82165.0,,,
2006-05-01,6132.773,86413.0,86413.0,,,
2006-06-01,6273.6720000000005,88399.0,88399.0,,,
2006-07-01,6588.188,92830.0,92830.0,,,
2006-08-01,6585.304,92790.0,92790.0,,,
2006-09-01,5947.222000000001,83799.0,83799.0,,,
2006-10-01,5822.675,82044.0,82044.0,,,
2006-11-01,5903.1720000000005,83178.0,83178.0,,,
2006-12-01,6291.925,88656.0,88656.0,,,
2007-01-01,4507.756,72256.0,72256.0,44.244,709.0,709.0
2007-02-01,11588.931,163020.0,163020.0,111.069,1562.0,1562.0
2007-03-01,4260.121,68200.0,68200.0,36.879000000000005,590.0,590.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,6368.429,89280.0,89280.0,47.571000000000005,667.0,667.0
2007-06-01,18110.669,244530.0,244530.0,16.331,221.0,221.0
2007-07-01,17115.274,235600.0,235600.0,81.726,1125.0,1125.0
2007-08-01,19357.212,260673.0,260673.0,209.788,2825.0,2825.0
2007-09-01,15850.262999999999,190264.0,190264.0,119.73700000000001,1437.0,1437.0
2007-10-01,11835.397,145750.0,145750.0,127.60300000000001,1571.0,1571.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0
