measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,28.701,314.0,314.0,,,,35.834,366.98,366.98
2003-02-01,27.517000000000003,301.0,301.0,,,,34.356,351.84,351.84
2003-03-01,27.803,304.0,304.0,,,,34.713,355.5,355.5
2003-04-01,25.418000000000003,278.0,278.0,,,,31.735,325.0,325.0
2003-05-01,25.872,283.0,283.0,,,,32.302,330.8,330.8
2003-06-01,27.034000000000002,296.0,296.0,,,,33.753,345.66,345.66
2003-07-01,31.299000000000003,342.0,342.0,,,,39.078,400.2,400.2
2003-08-01,33.492000000000004,366.0,366.0,,,,41.816,428.24,428.24
2003-09-01,28.56,312.0,312.0,,,,35.659,365.18,365.18
2003-10-01,27.818,304.0,304.0,,,,34.732,355.69,355.69
2003-11-01,27.971,306.0,306.0,,,,34.923,357.65,357.65
2003-12-01,30.516000000000002,334.0,334.0,,,,38.1,390.18,390.18
2004-01-01,4.7620000000000005,56.0,56.0,,,,30.667,307.34,307.34
2004-02-01,1.81,21.0,21.0,,,,30.667,307.34,307.34
2004-03-01,0.095,1.0,1.0,,,,30.667,307.34,307.34
2004-04-01,1.333,16.0,16.0,,,,30.667,307.34,307.34
2004-05-01,1.524,18.0,18.0,,,,30.667,307.34,307.34
2004-06-01,3.714,43.0,43.0,,,,30.667,307.34,307.34
2004-07-01,1.7140000000000002,20.0,20.0,,,,30.667,307.34,307.34
2004-08-01,0.381,4.0,4.0,,,,30.667,307.34,307.34
2004-09-01,1.333,16.0,16.0,,,,30.667,307.34,307.34
2004-10-01,0.381,4.0,4.0,,,,30.667,307.34,307.34
2004-11-01,0.0,0.0,0.0,,,,30.667,307.34,307.34
2004-12-01,0.9520000000000001,11.0,11.0,,,,30.667,307.34,307.34
2005-01-01,47.324000000000005,504.84,504.84,,,,33.686,336.82,336.82
2005-02-01,16.259,173.45,173.45,,,,29.124000000000002,291.22,291.22
2005-03-01,18.021,192.24,192.24,,,,31.905,319.01,319.01
