measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,155.0,529.0,529.0
2023-11-01,181.0,618.0,618.0
2023-12-01,114.0,389.0,389.0
2024-01-01,132.0,450.0,450.0
2024-02-01,353.0,1204.0,1204.0
2024-03-01,363.0,1239.0,1239.0
2024-04-01,412.0,1406.0,1406.0
2024-05-01,441.0,1505.0,1505.0
2024-06-01,440.0,1501.0,1501.0
2024-07-01,503.0,1716.0,1716.0
2024-08-01,442.0,1508.0,1508.0
2024-09-01,576.0,1965.0,1965.0
2024-10-01,430.0,1467.0,1467.0
2024-11-01,163.0,556.0,556.0
2024-12-01,130.0,444.0,444.0
