measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,16.0,258.0,258.0,58130.0,648054.0,648054.0
2003-02-01,9.0,144.0,144.0,55715.0,628506.0,628506.0
2003-03-01,17.0,270.0,270.0,61027.0,686124.0,686124.0
2003-04-01,87.0,1398.0,1398.0,46122.0,519930.0,519930.0
2003-05-01,18.0,204.0,204.0,56619.0,635364.0,635364.0
2003-06-01,0.0,0.0,0.0,52041.0,590148.0,590148.0
2003-07-01,0.0,0.0,0.0,60290.0,666234.0,666234.0
2003-08-01,16.0,186.0,186.0,59181.0,654678.0,654678.0
2003-09-01,17.0,198.0,198.0,49834.0,556272.0,556272.0
2003-10-01,222.0,2580.0,2580.0,29840.0,338742.0,338742.0
2003-11-01,12.0,132.0,132.0,53820.0,598950.0,598950.0
2003-12-01,18.0,210.0,210.0,56092.0,634410.0,634410.0
2004-01-01,18.778000000000002,216.0,216.0,58038.782,651302.0,651302.0
2004-02-01,64.86,745.0,745.0,52445.881,588539.0,588539.0
2004-03-01,47.161,542.0,542.0,48496.646,544221.0,544221.0
2004-04-01,31.944000000000003,367.0,367.0,47755.986000000004,535910.0,535910.0
2004-05-01,0.0,0.0,0.0,37697.104,423031.0,423031.0
2004-06-01,255.769,2939.0,2939.0,43548.858,488698.0,488698.0
2004-07-01,18.023,207.0,207.0,56386.406,632759.0,632759.0
2004-08-01,58.492000000000004,672.0,672.0,59933.418,672563.0,672563.0
2004-09-01,12.627,145.0,145.0,56462.181,633609.0,633609.0
2004-10-01,2.05,24.0,24.0,57998.046,650845.0,650845.0
2004-11-01,28.491,327.0,327.0,57547.57,645789.0,645789.0
2004-12-01,2.806,32.0,32.0,60626.123,680336.0,680336.0
2005-01-01,,,,58416.49,654817.27,654817.27
2005-02-01,,,,50861.255,570127.16,570127.16
2005-03-01,,,,52768.412,591505.36,591505.36
2005-04-01,,,,47027.035,527147.62,527147.62
2005-05-01,,,,51626.23,578702.11,578702.11
2005-06-01,,,,57500.914000000004,644554.15,644554.15
2005-07-01,,,,60784.55,681361.94,681361.94
2005-08-01,,,,61460.836,688942.73,688942.73
2005-09-01,,,,56323.733,631358.59,631358.59
2005-10-01,,,,53187.217,596199.94,596199.94
2005-11-01,,,,51855.072,581267.3,581267.3
2005-12-01,,,,57911.256,649153.85,649153.85
2006-01-01,,,,59982.0,636514.0,636514.0
2006-02-01,,,,56203.0,592212.0,592212.0
2006-03-01,,,,47686.0,513995.0,513995.0
2006-04-01,,,,56857.0,605047.0,605047.0
2006-05-01,,,,56627.0,626042.0,626042.0
2006-06-01,,,,54585.0,596020.0,596020.0
2006-07-01,,,,62987.0,682992.0,682992.0
2006-08-01,,,,59600.0,651134.0,651134.0
2006-09-01,,,,49103.0,546737.0,546737.0
2006-10-01,,,,46182.0,497709.0,497709.0
2006-11-01,,,,59448.0,630819.0,630819.0
2006-12-01,,,,57809.0,609059.0,609059.0
2007-01-01,,,,56902.0,616811.0,616811.0
2007-02-01,,,,56333.0,610419.0,610419.0
2007-03-01,,,,59236.0,642566.0,642566.0
2007-04-01,,,,44407.0,494496.0,494496.0
2007-05-01,,,,58958.0,653004.0,653004.0
2007-06-01,,,,56814.0,647139.0,647139.0
2007-07-01,,,,61993.0,684199.0,684199.0
2007-08-01,,,,62753.0,699924.0,699924.0
2007-09-01,,,,47071.0,529567.0,529567.0
2007-10-01,,,,-634.0,0.0,0.0
2007-11-01,,,,46875.0,524586.0,524586.0
2007-12-01,,,,59262.0,669987.0,669987.0
2008-01-01,,,,60961.0,669510.0,669510.0
2008-02-01,,,,56091.0,614075.0,614075.0
2008-03-01,,,,60397.0,654791.0,654791.0
2008-04-01,,,,39311.0,438691.0,438691.0
2008-05-01,,,,55054.0,599146.0,599146.0
2008-06-01,,,,57461.0,626404.0,626404.0
2008-07-01,,,,62911.0,687021.0,687021.0
2008-08-01,,,,60573.0,657608.0,657608.0
2008-09-01,,,,40063.0,436325.0,436325.0
2008-10-01,,,,56924.0,622175.0,622175.0
2008-11-01,,,,58323.0,633252.0,633252.0
2008-12-01,,,,56061.0,613221.0,613221.0
2009-01-01,,,,61367.0,659185.0,659185.0
2009-02-01,,,,54909.0,591480.0,591480.0
2009-03-01,,,,44604.0,483632.0,483632.0
2009-04-01,,,,53752.0,574299.0,574299.0
2009-05-01,,,,50112.0,543439.0,543439.0
2009-06-01,,,,46351.0,518298.0,518298.0
2009-07-01,,,,51165.0,566899.0,566899.0
2009-08-01,,,,49293.0,543125.0,543125.0
2009-09-01,,,,47660.0,525590.0,525590.0
2009-10-01,,,,33807.0,390756.0,390756.0
2009-11-01,,,,43889.0,500400.0,500400.0
2009-12-01,,,,54758.0,612921.0,612921.0
2010-01-01,,,,59782.0,672590.0,672590.0
2010-02-01,,,,55946.0,610905.0,610905.0
2010-03-01,,,,45634.0,520885.0,520885.0
2010-04-01,,,,25931.0,286005.0,286005.0
2010-05-01,,,,43762.0,487022.0,487022.0
2010-06-01,,,,49756.0,553627.0,553627.0
2010-07-01,,,,54635.0,618342.0,618342.0
2010-08-01,,,,55582.0,627542.0,627542.0
2010-09-01,,,,45259.0,516296.0,516296.0
2010-10-01,,,,31978.0,367937.0,367937.0
2010-11-01,,,,42011.0,482370.0,482370.0
2010-12-01,,,,53286.0,604508.0,604508.0
2011-01-01,,,,55496.0,625692.0,625692.0
2011-02-01,,,,46467.0,526518.0,526518.0
2011-03-01,,,,53594.0,603061.0,603061.0
2011-04-01,,,,35611.0,406101.0,406101.0
2011-05-01,,,,48999.0,557194.0,557194.0
2011-06-01,,,,48774.0,556492.0,556492.0
2011-07-01,,,,51380.0,585873.0,585873.0
2011-08-01,,,,50680.0,580334.0,580334.0
2011-09-01,,,,44011.0,500244.0,500244.0
2011-10-01,,,,32909.0,376314.0,376314.0
2011-11-01,,,,42481.0,482380.0,482380.0
2011-12-01,,,,43139.0,497145.0,497145.0
2012-01-01,,,,40859.0,471060.0,471060.0
2012-02-01,,,,40221.0,437469.0,437469.0
2012-03-01,,,,37452.0,434054.0,434054.0
2012-04-01,,,,29583.0,347709.0,347709.0
2012-05-01,,,,44659.0,506420.0,506420.0
2012-06-01,,,,46066.0,517793.0,517793.0
2012-07-01,,,,54723.0,602875.0,602875.0
2012-08-01,,,,45995.0,518436.0,518436.0
2012-09-01,,,,34049.0,390677.0,390677.0
2012-10-01,,,,-554.0,0.0,0.0
2012-11-01,,,,20397.0,240911.0,240911.0
2012-12-01,,,,48210.0,546668.0,546668.0
2013-01-01,614.611,7809.0,7809.0,43092.389,547489.0,547489.0
2013-02-01,0.0,0.0,0.0,42958.0,501441.0,501441.0
2013-03-01,82.545,947.0,947.0,47535.455,545168.0,545168.0
2013-04-01,9940.066,163217.0,163217.0,23268.934,382079.0,382079.0
2013-05-01,304.137,3581.0,3581.0,50750.863,597542.0,597542.0
2013-06-01,0.0,0.0,0.0,44605.0,516215.0,516215.0
2013-07-01,0.0,0.0,0.0,50371.0,564813.0,564813.0
2013-08-01,159.06,1793.0,1793.0,48302.94,544615.0,544615.0
2013-09-01,0.0,0.0,0.0,42686.0,497471.0,497471.0
2013-10-01,5196.791,70078.0,70078.0,30395.209,409874.0,409874.0
2013-11-01,2466.462,29923.0,29923.0,41266.538,500649.0,500649.0
2013-12-01,302.162,3410.0,3410.0,54925.838,619929.0,619929.0
2014-01-01,2.096,24.0,24.0,48119.904,540036.0,540036.0
2014-02-01,0.503,6.0,6.0,46691.497,545882.0,545882.0
2014-03-01,6001.872,85207.0,85207.0,27373.128,388610.0,388610.0
2014-04-01,1019.498,12183.0,12183.0,41695.502,498276.0,498276.0
2014-05-01,1073.981,12460.0,12460.0,46902.019,544131.0,544131.0
2014-06-01,0.0,0.0,0.0,38413.0,465738.0,465738.0
