measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,4059.0,41249.0,41249.0,608026.0,6179633.0,6179633.0
2003-02-01,4264.0,43554.0,43554.0,558345.0,5703554.0,5703554.0
2003-03-01,3201.0,32930.0,32930.0,564209.0,5803452.0,5803452.0
2003-04-01,6304.0,67824.0,67824.0,235925.0,2538204.0,2538204.0
2003-05-01,7309.0,75663.0,75663.0,490211.0,5074860.0,5074860.0
2003-06-01,2872.0,29488.0,29488.0,488037.0,5011598.0,5011598.0
2003-07-01,4191.0,42951.0,42951.0,569112.0,5832761.0,5832761.0
2003-08-01,3074.0,31815.0,31815.0,580003.0,6002060.0,6002060.0
2003-09-01,3746.0,38593.0,38593.0,477033.0,4914590.0,4914590.0
2003-10-01,3257.0,33930.0,33930.0,490545.0,5110344.0,5110344.0
2003-11-01,2311.0,23053.0,23053.0,554340.0,5529800.0,5529800.0
2003-12-01,3582.0,36993.0,36993.0,535595.0,5530780.0,5530780.0
2004-01-01,1682.0,16983.0,16983.0,584668.0,6015115.0,6015115.0
2004-02-01,1629.0,16251.0,16251.0,334899.0,3404551.0,3404551.0
2004-03-01,2366.0,23901.0,23901.0,222147.0,2286430.0,2286430.0
2004-04-01,3347.0,34939.0,34939.0,348010.0,3702266.0,3702266.0
2004-05-01,2238.0,22755.0,22755.0,419095.0,4260440.0,4260440.0
2004-06-01,1681.0,16809.0,16809.0,552459.0,5522800.0,5522800.0
2004-07-01,1681.0,16809.0,16809.0,605053.0,6049309.0,6049309.0
2004-08-01,2670.0,26794.0,26794.0,571125.0,5732020.0,5732020.0
2004-09-01,2114.0,30009.0,30009.0,561473.0,5611603.0,5611603.0
2004-10-01,2720.0,27144.0,27144.0,591241.0,5900185.0,5900185.0
2004-11-01,1917.0,19202.0,19202.0,538361.0,5393593.0,5393593.0
2004-12-01,2879.0,28851.0,28851.0,618425.0,6197659.0,6197659.0
