measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,3.379,40.0,40.0,68.178,698.21,698.21
2003-02-01,3.1630000000000003,38.0,38.0,63.825,653.63,653.63
2003-03-01,3.056,37.0,37.0,61.661,631.47,631.47
2003-04-01,2.926,35.0,35.0,59.04,604.63,604.63
2003-05-01,2.968,35.0,35.0,59.899,613.43,613.43
2003-06-01,3.0980000000000003,37.0,37.0,62.506,640.12,640.12
2003-07-01,3.572,43.0,43.0,72.081,738.18,738.18
2003-08-01,3.6220000000000003,43.0,43.0,73.081,748.42,748.42
2003-09-01,3.1380000000000003,37.0,37.0,63.326,648.52,648.52
2003-10-01,3.254,39.0,39.0,65.663,672.45,672.45
2003-11-01,3.34,40.0,40.0,67.395,690.19,690.19
2003-12-01,3.486,42.0,42.0,70.345,720.4,720.4
2004-01-01,2.894,37.0,37.0,81.991,821.71,821.71
2004-02-01,0.8390000000000001,11.0,11.0,80.68,808.57,808.57
2004-03-01,0.667,8.0,8.0,127.23100000000001,1275.11,1275.11
2004-04-01,1.576,20.0,20.0,152.693,1530.29,1530.29
2004-05-01,2.9970000000000003,38.0,38.0,163.392,1637.51,1637.51
2004-06-01,1.486,19.0,19.0,253.40400000000002,2539.61,2539.61
2004-07-01,8.218,104.0,104.0,203.544,2039.92,2039.92
2004-08-01,0.9880000000000001,13.0,13.0,164.762,1651.24,1651.24
2004-09-01,3.1710000000000003,40.0,40.0,180.73600000000002,1811.34,1811.34
2004-10-01,0.602,8.0,8.0,211.946,2124.12,2124.12
2004-11-01,0.797,10.0,10.0,186.512,1869.22,1869.22
2004-12-01,3.7640000000000002,48.0,48.0,183.11,1835.13,1835.13
2005-01-01,15.009,137.38,137.38,328.534,3285.01,3285.01
2005-02-01,5.157,47.2,47.2,284.05,2840.21,2840.21
2005-03-01,5.715,52.31,52.31,311.165,3111.34,3111.34
2005-04-01,6.923,63.37,63.37,297.226,2971.96,2971.96
2005-05-01,6.43,58.86,58.86,268.867,2688.4,2688.4
2005-06-01,8.345,76.39,76.39,302.85400000000004,3028.23,3028.23
2005-07-01,8.494,77.75,77.75,325.076,3250.43,3250.43
2005-08-01,9.979000000000001,91.34,91.34,275.055,2750.27,2750.27
2005-09-01,6.532,59.79,59.79,227.59300000000002,2275.7,2275.7
2005-10-01,7.2540000000000004,66.4,66.4,194.247,1942.27,1942.27
2005-11-01,5.832,53.38,53.38,207.883,2078.62,2078.62
2005-12-01,12.331000000000001,112.87,112.87,254.452,2544.27,2544.27
2006-01-01,0.5880000000000001,10.0,10.0,243.097,2411.0,2411.0
2006-02-01,0.307,5.0,5.0,219.20100000000002,2174.0,2174.0
2006-03-01,0.258,5.0,5.0,193.12,1916.0,1916.0
2006-04-01,0.495,9.0,9.0,210.204,2085.0,2085.0
2006-05-01,0.462,8.0,8.0,248.531,2465.0,2465.0
2006-06-01,0.42,7.0,7.0,244.198,2422.0,2422.0
2006-07-01,0.609,11.0,11.0,256.075,2540.0,2540.0
2006-08-01,0.5910000000000001,10.0,10.0,254.225,2522.0,2522.0
2006-09-01,0.271,5.0,5.0,165.02200000000002,1637.0,1637.0
2006-10-01,0.28700000000000003,5.0,5.0,145.479,1443.0,1443.0
2006-11-01,0.338,6.0,6.0,170.40300000000002,1690.0,1690.0
2006-12-01,0.374,7.0,7.0,180.44400000000002,1790.0,1790.0
2007-01-01,3.0020000000000002,35.0,35.0,80.361,794.0,794.0
2007-02-01,6.44,81.0,81.0,47.943000000000005,474.0,474.0
2007-03-01,1.0490000000000002,12.0,12.0,103.221,1020.0,1020.0
2007-04-01,0.744,12.0,12.0,173.598,1716.0,1716.0
2007-05-01,0.918,12.0,12.0,188.87900000000002,1867.0,1867.0
2007-06-01,0.9790000000000001,12.0,12.0,176.734,1747.0,1747.0
2007-07-01,0.775,12.0,12.0,52.326,517.0,517.0
2007-08-01,0.069,0.0,0.0,50.469,499.0,499.0
2007-09-01,0.249,6.0,6.0,96.342,952.0,952.0
2007-10-01,0.219,0.0,0.0,171.041,1691.0,1691.0
2007-11-01,0.85,12.0,12.0,273.35,2702.0,2702.0
2007-12-01,1.367,17.0,17.0,186.566,1844.0,1844.0
2008-01-01,2.587,23.0,23.0,199.55700000000002,1966.0,1966.0
2008-02-01,3.306,35.0,35.0,111.786,1102.0,1102.0
2008-03-01,1.308,12.0,12.0,183.026,1804.0,1804.0
2008-04-01,1.464,17.0,17.0,202.142,1992.0,1992.0
2008-05-01,0.605,6.0,6.0,218.08,2149.0,2149.0
2008-06-01,0.6,6.0,6.0,327.982,3232.0,3232.0
2008-07-01,0.28400000000000003,6.0,6.0,179.79500000000002,1772.0,1772.0
2008-08-01,0.34600000000000003,6.0,6.0,75.924,748.0,748.0
2008-09-01,0.504,6.0,6.0,71.83200000000001,708.0,708.0
2008-10-01,0.389,6.0,6.0,165.256,1628.0,1628.0
2008-11-01,1.302,12.0,12.0,125.248,1234.0,1234.0
2008-12-01,3.305,35.0,35.0,184.372,1817.0,1817.0
2009-01-01,6.41,75.0,75.0,159.643,1558.0,1558.0
2009-02-01,1.096,12.0,12.0,164.672,1607.0,1607.0
2009-03-01,0.648,6.0,6.0,328.747,3209.0,3209.0
2009-04-01,0.921,12.0,12.0,302.921,2957.0,2957.0
2009-05-01,0.645,6.0,6.0,432.81800000000004,4224.0,4224.0
2009-06-01,0.628,6.0,6.0,320.48,3128.0,3128.0
2009-07-01,0.48900000000000005,6.0,6.0,182.23,1779.0,1779.0
2009-08-01,0.616,6.0,6.0,140.03900000000002,1367.0,1367.0
2009-09-01,0.49200000000000005,6.0,6.0,134.755,1315.0,1315.0
2009-10-01,0.7230000000000001,6.0,6.0,135.011,1318.0,1318.0
2009-11-01,0.35600000000000004,6.0,6.0,373.495,3645.0,3645.0
2009-12-01,0.9760000000000001,12.0,12.0,240.18900000000002,2344.0,2344.0
2010-01-01,2.778,29.0,29.0,182.50300000000001,1780.0,1780.0
2010-02-01,1.762,17.0,17.0,181.93800000000002,1775.0,1775.0
2010-03-01,0.466,6.0,6.0,319.89,3121.0,3121.0
2010-04-01,1.239,12.0,12.0,236.56900000000002,2308.0,2308.0
2010-05-01,1.8430000000000002,17.0,17.0,207.245,2022.0,2022.0
2010-06-01,1.028,12.0,12.0,248.905,2428.0,2428.0
2010-07-01,1.079,12.0,12.0,266.24600000000004,2597.0,2597.0
2010-08-01,1.361,12.0,12.0,241.151,2353.0,2353.0
2010-09-01,1.387,17.0,17.0,256.166,2499.0,2499.0
2010-10-01,2.0660000000000003,23.0,23.0,274.493,2678.0,2678.0
2010-11-01,0.9440000000000001,12.0,12.0,324.119,3162.0,3162.0
2010-12-01,1.0470000000000002,12.0,12.0,274.77500000000003,2681.0,2681.0
2011-01-01,0.832,12.0,12.0,232.233,2256.0,2256.0
2011-02-01,0.919,12.0,12.0,212.286,2063.0,2063.0
