measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2005-06-01,3295.1380000000004,48070.85,48070.85,861.3290000000001,11308.72,11308.72
2005-07-01,3540.156,51645.28,51645.28,925.3760000000001,12149.6,12149.6
2005-08-01,3410.141,49748.57,49748.57,891.39,11703.4,11703.4
2005-09-01,3246.686,47364.02,47364.02,848.664,11142.43,11142.43
2005-10-01,2801.8610000000003,40874.72,40874.72,732.39,9615.82,9615.82
2005-11-01,3119.862,45513.85,45513.85,815.513,10707.18,10707.18
2005-12-01,3491.1220000000003,50929.95,50929.95,912.558,11981.32,11981.32
2006-01-01,3686.8680000000004,63283.0,63283.0,1002.895,15755.0,15755.0
2006-02-01,3407.226,58483.0,58483.0,926.8280000000001,14560.0,14560.0
2006-03-01,3758.4,64511.0,64511.0,1022.3530000000001,16060.0,16060.0
2006-04-01,2765.272,47465.0,47465.0,752.2040000000001,11816.0,11816.0
2006-05-01,3380.781,58029.0,58029.0,919.634,14447.0,14447.0
2006-06-01,3541.501,60788.0,60788.0,963.3530000000001,15133.0,15133.0
2006-07-01,3675.491,63088.0,63088.0,999.8,15706.0,15706.0
2006-08-01,3653.3880000000004,62709.0,62709.0,993.788,15611.0,15611.0
2006-09-01,3494.552,59982.0,59982.0,950.582,14933.0,14933.0
2006-10-01,3626.203,62242.0,62242.0,986.393,15495.0,15495.0
2006-11-01,3662.42,62864.0,62864.0,996.245,15650.0,15650.0
2006-12-01,3528.8970000000004,60572.0,60572.0,959.9240000000001,15080.0,15080.0
2007-01-01,3431.6470000000004,62785.0,62785.0,809.628,13630.0,13630.0
2007-02-01,3134.746,57353.0,57353.0,739.58,12451.0,12451.0
2007-03-01,3385.358,61939.0,61939.0,798.707,13446.0,13446.0
2007-04-01,3169.587,57991.0,57991.0,747.8,12589.0,12589.0
2007-05-01,3150.66,57644.0,57644.0,743.3340000000001,12514.0,12514.0
2007-06-01,3335.992,61035.0,61035.0,787.06,13250.0,13250.0
2007-07-01,3407.8650000000002,62350.0,62350.0,804.017,13536.0,13536.0
2007-08-01,3421.7160000000003,62604.0,62604.0,807.284,13591.0,13591.0
2007-09-01,3298.293,60345.0,60345.0,778.165,13101.0,13101.0
2007-10-01,2921.161,53446.0,53446.0,689.1890000000001,11602.0,11602.0
2007-11-01,3361.215,61497.0,61497.0,793.01,13350.0,13350.0
2007-12-01,3408.759,62367.0,62367.0,804.2270000000001,13539.0,13539.0
2008-01-01,3142.141,53138.0,53138.0,612.909,10152.0,10152.0
2008-02-01,3264.2940000000003,55203.0,55203.0,636.736,10546.0,10546.0
2008-03-01,3529.981,59696.0,59696.0,688.561,11405.0,11405.0
2008-04-01,3376.7650000000003,57105.0,57105.0,658.674,10910.0,10910.0
2008-05-01,3027.847,51205.0,51205.0,590.614,9782.0,9782.0
2008-06-01,3252.4990000000003,55004.0,55004.0,634.4350000000001,10508.0,10508.0
2008-07-01,3422.71,57882.0,57882.0,667.6370000000001,11058.0,11058.0
2008-08-01,3520.8940000000002,59543.0,59543.0,686.789,11375.0,11375.0
2008-09-01,3199.947,54115.0,54115.0,624.1840000000001,10339.0,10339.0
2008-10-01,3412.3610000000003,57707.0,57707.0,665.618,11025.0,11025.0
