measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2013-07-01,,,,,,,197.957,1889.0,1889.0
2013-08-01,,,,,,,266.411,2542.0,2542.0
2013-09-01,,,,,,,258.97,2471.0,2471.0
2013-10-01,,,,,,,229.273,2187.0,2187.0
2013-11-01,,,,,,,228.228,2178.0,2178.0
2013-12-01,,,,,,,238.161,2272.0,2272.0
2014-01-01,,,,,,,95.315,906.0,906.0
2014-02-01,,,,,,,108.706,1034.0,1034.0
2014-03-01,,,,,,,191.388,1820.0,1820.0
2014-04-01,,,,,,,226.487,2154.0,2154.0
2014-05-01,,,,,,,260.189,2474.0,2474.0
2014-06-01,,,,,,,288.572,2744.0,2744.0
2014-07-01,,,,,,,267.041,2540.0,2540.0
2014-08-01,,,,,,,288.949,2748.0,2748.0
2014-09-01,,,,,,,281.926,2681.0,2681.0
2014-10-01,,,,,,,254.588,2421.0,2421.0
2014-11-01,,,,,,,211.566,2012.0,2012.0
2014-12-01,,,,,,,144.273,1372.0,1372.0
2015-01-01,,,,,,,109.355,1019.0,1019.0
2015-02-01,,,,,,,137.821,1284.0,1284.0
2015-03-01,,,,,,,201.97,1882.0,1882.0
2015-04-01,,,,,,,226.682,2112.0,2112.0
2015-05-01,,,,,,,227.85,2123.0,2123.0
2015-06-01,,,,,,,234.762,2188.0,2188.0
2015-07-01,,,,,,,242.966,2264.0,2264.0
2015-08-01,,,,,,,245.919,2292.0,2292.0
2015-09-01,,,,,,,202.951,1891.0,1891.0
2015-10-01,,,,,,,170.97,1593.0,1593.0
2015-11-01,,,,,,,158.382,1476.0,1476.0
2015-12-01,,,,,,,130.372,1215.0,1215.0
2016-01-01,,,,,,,98.716,911.0,911.0
2016-02-01,,,,,,,164.768,1521.0,1521.0
2016-03-01,,,,,,,181.871,1679.0,1679.0
2016-04-01,,,,,,,211.868,1956.0,1956.0
2016-05-01,,,,,,,263.362,2431.0,2431.0
2016-06-01,,,,,,,252.593,2332.0,2332.0
2016-07-01,,,,,,,294.875,2722.0,2722.0
2016-08-01,,,,,,,290.793,2685.0,2685.0
2016-09-01,,,,,,,256.565,2369.0,2369.0
2016-10-01,,,,,,,216.282,1997.0,1997.0
2016-11-01,,,,,,,185.796,1715.0,1715.0
2016-12-01,,,,,,,135.511,1251.0,1251.0
2017-01-01,,,,,,,101.151,932.0,932.0
2017-02-01,,,,,,,112.982,1041.0,1041.0
2017-03-01,,,,,,,210.682,1941.0,1941.0
2017-04-01,,,,,,,221.97,2045.0,2045.0
2017-05-01,,,,,,,279.09,2571.0,2571.0
2017-06-01,,,,,,,302.452,2786.0,2786.0
2017-07-01,,,,,,,275.688,2540.0,2540.0
2017-08-01,,,,,,,254.779,2347.0,2347.0
2017-09-01,,,,,,,237.909,2192.0,2192.0
2017-10-01,,,,,,,219.17,2019.0,2019.0
2017-11-01,,,,,,,134.681,1241.0,1241.0
2017-12-01,,,,,,,128.446,1183.0,1183.0
2018-01-01,,,,,,,81.919,746.0,746.0
2018-02-01,,,,,,,115.312,1050.0,1050.0
2018-03-01,,,,,,,131.852,1200.0,1200.0
2018-04-01,,,,,,,164.831,1501.0,1501.0
2018-05-01,,,,,,,198.684,1809.0,1809.0
2018-06-01,,,,,,,214.069,1949.0,1949.0
