measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2006-07-01,,,,,,,36197.0,478824.0,478824.0,27042.0,0.0,0.0
2006-08-01,,,,,,,43569.0,561504.0,561504.0,29524.0,0.0,0.0
2006-09-01,,,,,,,4034.0,72845.0,72845.0,1939.0,0.0,0.0
2006-10-01,,,,,,,25756.0,311988.0,311988.0,13842.0,0.0,0.0
2006-11-01,,,,,,,36819.0,461933.0,461933.0,19010.0,0.0,0.0
2006-12-01,,,,,,,34712.0,400894.0,400894.0,13795.0,0.0,0.0
2007-01-01,2269.365,65662.0,65662.0,4627.197,0.0,0.0,3040.635,87978.0,87978.0,6199.803,0.0,0.0
2007-02-01,11211.681,130512.0,130512.0,5744.549,0.0,0.0,21241.319,247263.0,247263.0,10883.451000000001,0.0,0.0
2007-03-01,2067.916,24116.0,24116.0,1038.188,0.0,0.0,37283.084,434802.0,434802.0,18717.811999999998,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,41827.0,364407.0,364407.0,23074.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,30844.0,365479.0,365479.0,15962.0,0.0,0.0
2007-06-01,1238.001,15956.0,15956.0,772.528,0.0,0.0,33576.999,432744.0,432744.0,20952.472,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,52650.0,667839.0,667839.0,37040.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,61453.0,797304.0,797304.0,41085.0,0.0,0.0
2007-09-01,210.524,2844.0,2844.0,128.085,0.0,0.0,32397.476,437586.0,437586.0,19710.915,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,42795.0,614473.0,614473.0,25143.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20447.0,257045.0,257045.0,10847.0,0.0,0.0
2007-12-01,510.13100000000003,5910.0,5910.0,338.236,0.0,0.0,37410.869,433429.0,433429.0,24804.764,0.0,0.0
2008-01-01,25.287000000000003,245.0,245.0,11.866000000000001,0.0,0.0,22728.713,220304.0,220304.0,11075.134,8464.0,8464.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17893.0,197416.0,197416.0,9198.0,9953.0,9953.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,57911.0,675314.0,675314.0,29869.0,110.0,110.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7646.0,113432.0,113432.0,4955.0,26800.0,26800.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2438.0,42584.0,42584.0,2831.0,28178.0,28178.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12122.0,169038.0,169038.0,7365.0,703.0,703.0
2008-07-01,0.0,0.0,0.0,,,,49343.0,599140.0,599140.0,29146.0,39513.0,39513.0
2008-08-01,0.0,0.0,0.0,,,,46368.0,565907.0,565907.0,29171.0,40444.0,40444.0
2008-09-01,0.0,0.0,0.0,,,,29938.0,379683.0,379683.0,17218.0,11444.0,11444.0
2008-10-01,379.35200000000003,5717.0,5717.0,215.82500000000002,0.0,0.0,8418.648000000001,126875.0,126875.0,5014.175,5948.0,5948.0
2008-11-01,883.5690000000001,10998.0,10998.0,366.5,0.0,0.0,4794.4310000000005,59680.0,59680.0,2210.5,6656.0,6656.0
2008-12-01,0.0,0.0,0.0,,,,27236.0,314423.0,314423.0,13834.0,21482.0,21482.0
2009-01-01,0.0,0.0,0.0,,,,30737.0,316336.0,316336.0,15922.0,25123.0,25123.0
2009-02-01,30.754,465.0,465.0,16.771,0.0,0.0,7095.246,107232.0,107232.0,4111.229,6707.0,6707.0
2009-03-01,0.0,0.0,0.0,,,,12892.0,172765.0,172765.0,6901.0,3596.0,3596.0
2009-04-01,1358.202,16705.0,16705.0,679.71,0.0,0.0,19930.798000000003,245133.0,245133.0,10334.29,8847.0,8847.0
2009-05-01,0.0,0.0,0.0,,,,12739.0,174654.0,174654.0,7528.0,22.0,22.0
2009-06-01,0.0,0.0,0.0,,,,23062.0,292224.0,292224.0,11014.0,2210.0,2210.0
2009-07-01,0.0,0.0,0.0,,,,7604.0,93681.0,93681.0,3997.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,28919.0,349001.0,349001.0,16105.0,8390.0,8390.0
2009-09-01,592.8290000000001,7162.0,7162.0,309.975,0.0,0.0,32260.171000000002,389759.0,389759.0,16868.025,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,17292.0,204538.0,204538.0,9044.0,4019.0,4019.0
2009-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
